Action,Avail,Player,INNs,APP,GS,QS,CG,W,L,S,BS,HD,K,BB,H,ERA,WHIP,Rank
,Dawg,Tarik Skubal P • DET,171,28,28,18,0,13,5,0,0,0,209,30,125,2.32,0.91,14
,Rieken...,Paul Skenes P • PIT,167,29,29,18,1,10,7,0,0,0,199,38,120,1.94,0.95,28
,Trex,Zack Wheeler P • PHI,173,28,28,20,0,12,6,0,0,0,207,40,129,2.86,0.98,37
,Gashou...,Freddy Peralta P • MIL,173,32,32,13,0,14,8,0,0,0,204,64,131,3.22,1.12,52
,Guillo...,Garrett Crochet P • BOS,148,28,26,14,0,11,6,0,0,0,193,36,122,2.91,1.06,63
,Young ...,Logan Webb P • SF,207,34,34,22,1,14,11,0,0,0,202,44,206,3.29,1.2,65
,Big St...,Max Fried P • NYY,165,28,28,16,1,14,6,0,0,0,160,46,140,2.94,1.12,68
,MAGA D...,Yoshinobu Yamamoto P • LAD,142,26,26,14,0,10,6,0,0,0,165,45,100,2.6,1.02,74
,MAGA D...,Nathan Eovaldi P • TEX,144,25,25,14,1,12,5,0,0,0,141,32,112,2.86,1,76
,Runtim...,Hunter Brown P • HOU,174,31,30,18,0,12,10,0,0,0,192,58,145,3.19,1.16,80
,Rieken...,Bryan Woo P • SEA,147,25,25,14,0,11,5,0,0,0,148,28,112,3.06,0.95,81
,Simba'...,Chris Sale P • ATL,136,23,23,12,0,10,4,0,0,0,175,34,111,2.77,1.06,83
,Simba'...,Logan Gilbert P • SEA,165,29,29,14,0,8,8,0,0,0,190,34,130,3.42,0.99,92
,Big St...,Framber Valdez P • HOU,188,30,30,19,2,13,10,0,0,0,184,62,161,3.4,1.19,93
,Guillo...,Cristopher Sanchez P • PHI,175,29,29,18,1,10,6,0,0,0,171,38,158,2.88,1.12,94
,Like a...,Kevin Gausman P • TOR,187,32,32,17,1,12,11,0,0,0,190,53,160,3.6,1.14,96
,MAGA D...,Carlos Rodon P • NYY,162,29,29,14,0,14,9,0,0,0,173,59,126,3.65,1.14,97
,Guillo...,Nick Pivetta P • SD,162,31,26,14,0,10,8,0,0,0,183,46,125,3.43,1.05,98
,Trex,Josh Hader P • HOU,58,58,0,0,0,6,4,31,3,0,86,22,34,2.61,0.95,103
,Rieken...,Joe Ryan P • MIN,158,28,28,14,0,11,9,0,0,0,180,33,133,3.7,1.05,104
,W,Gerrit Cole P • NYY,140,23,23,14,1,11,5,0,0,0,148,37,110,2.95,1.05,105
,Big St...,Edwin Diaz P • NYM,61,59,0,0,0,6,3,25,4,1,93,21,37,2.2,0.95,109
,Like a...,Luis Castillo P • SEA,182,32,32,18,0,12,9,0,0,0,177,48,163,3.51,1.16,111
