#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
1,Tarik Skubal,DET,14,9,0,32,32,199.2,10.92,1.96,0.92,0.289,77.20%,42.30%,2.81,2.79,5.9
2,Paul Skenes,PIT,13,10,0,32,32,194,10.99,2.39,0.81,0.297,75.90%,44.40%,2.91,2.77,5.7
3,Garrett Crochet,BOS,14,9,0,32,32,193,11.14,2.32,0.91,0.3,75.90%,45.60%,3.01,2.84,5.6
4,Cristopher Sánchez,PHI,13,10,0,32,32,198,8.74,2.27,0.8,0.303,74.80%,54.50%,3.16,3.21,4.7
5,Jacob deGrom,TEX,12,10,0,31,31,184.2,10.45,2.02,1.2,0.288,74.70%,37.90%,3.46,3.32,4.3
6,Cole Ragans,KCR,12,9,0,29,29,172,11.01,3.25,0.93,0.292,76.10%,39.90%,3.22,3.22,4.2
7,Chris Sale,ATL,12,8,0,28,28,168.2,10.98,2.36,0.97,0.298,75.00%,41.70%,3.19,3.03,4.1
8,Logan Webb,SFG,12,11,0,32,32,199.1,8.45,2.12,0.76,0.309,73.10%,54.70%,3.32,3.15,4.1
9,Sonny Gray,BOS,11,10,0,31,31,181.1,9.42,2.37,1.05,0.304,73.00%,45.10%,3.68,3.45,3.9
10,Dylan Cease,TOR,12,10,0,32,32,185,10.52,3.29,1.09,0.289,74.90%,38.20%,3.6,3.57,3.8
11,Framber Valdez,,12,10,0,31,31,190.1,8.44,2.96,0.76,0.31,73.30%,55.90%,3.47,3.47,3.7
12,Max Fried,NYY,13,9,0,31,31,189.1,8.5,2.59,0.9,0.299,75.00%,50.60%,3.34,3.52,3.6
13,Yoshinobu Yamamoto,LAD,11,8,0,28,28,161.1,9.46,2.75,0.97,0.299,74.50%,49.40%,3.44,3.45,3.6
14,Hunter Brown,HOU,12,10,0,31,31,184.1,9.78,2.97,1.02,0.3,73.60%,47.30%,3.63,3.54,3.6
15,Hunter Greene,CIN,11,11,0,31,31,183.2,10.78,3.01,1.38,0.286,74.10%,33.70%,3.94,3.9,3.6
16,Jesús Luzardo,PHI,11,10,0,31,31,181,9.89,2.83,1.16,0.29,75.40%,40.50%,3.57,3.65,3.5
17,Blake Snell,LAD,12,8,0,29,29,173.1,11.01,3.94,1.04,0.291,75.70%,43.00%,3.53,3.58,3.5
18,Joe Ryan,MIN,11,10,0,31,31,182.1,9.83,2.18,1.31,0.288,73.40%,33.60%,3.81,3.71,3.4
19,Nathan Eovaldi,TEX,11,9,0,29,29,174.2,8.86,2.26,1.05,0.297,73.40%,46.00%,3.58,3.55,3.4
20,Bryan Woo,SEA,12,11,0,32,32,195,9.03,2.04,1.21,0.284,74.10%,39.50%,3.59,3.67,3.3
21,Ranger Suárez,,11,9,0,29,29,168.2,8.23,2.55,0.95,0.299,73.90%,48.10%,3.55,3.62,3.3
