Rank,Player,Trend,Avg Pos,Hi/Lo,Pct
1,Aaron Judge RF  NYY,1,2.44,1/10,100
2,Shohei Ohtani DH  LAD,1,3,1/9,88.9
3,Juan Soto LF  NYM,-2,3.78,2/9,100
4,Bobby Witt SS  KC,1,4.44,1/6,100
5,Tarik Skubal SP  DET,1,5.22,2/8,100
6,Jose Ramirez 3B  CLE,2,6.78,3/13,100
7,Paul Skenes P  PIT,2,7.89,2/14,100
8,Kyle Tucker RF  LAD,4,14.11,5/25,100
9,Garrett Crochet RP  BOS,6,14.44,6/45,100
10,Corbin Carroll LF  ARI,-3,14.56,5/35,100
11,Vladimir Guerrero Jr. 1B  TOR,2,15.33,7/22,100
12,Julio Rodriguez CF  SEA,-2,16.56,9/24,100
13,Fernando Tatis Jr. RF  SD,1,17.56,11/23,100
14,Francisco Lindor SS  NYM,-3,17.67,8/27,100
15,Ketel Marte 2B  ARI,2,18,10/26,100
16,Cal Raleigh C  SEA,2,18.33,12/31,100
17,Gunnar Henderson 3B  BAL,-1,20.56,9/35,100
18,Elly De La Cruz SS  CIN,1,22.67,10/47,100
19,Kyle Schwarber LF  PHI,1,23.22,9/50,100
20,Nick Kurtz 1B  ATH,3,24.78,6/103,100
21,Ronald Acuna Jr. RF  ATL,1,25,5/90,100
22,Logan Webb SP  SF,4,29.44,11/44,100
23,Jackson Chourio CF  MIL,-2,29.78,12/44,100
24,Cristopher Sanchez SP  PHI,—,30.56,22/43,100
25,Bryan Woo SP  SEA,8,32.78,15/55,100
26,Yoshinobu Yamamoto SP  LAD,6,34,14/62,100
27,Junior Caminero 3B  TB,14,34.11,7/189,100
28,Pete Alonso 1B  BAL,-1,35.33,19/61,100
29,Matt Olson 1B  ATL,-4,35.56,16/68,100
30,Trea Turner SS  PHI,1,36.67,26/53,100
31,Yordan Alvarez DH  HOU,7,37,28/66,88.9
32,Jazz Chisholm CF  NYY,-3,37.22,23/67,100
33,Manny Machado 3B  SD,-3,38.22,14/66,100
34,Hunter Brown SP  HOU,—,39,23/46,100
35,Max Fried SP  NYY,11,40.22,8/68,100
36,Logan Gilbert SP  SEA,3,41.33,19/52,100
37,Rafael Devers 3B  SF,-1,42.11,27/69,100
38,Jesus Made SS  MIL,-1,44,39/49,22.2
39,Byron Buxton DH  MIN,8,48,19/96,100
40,Mookie Betts RF  LAD,3,49.67,29/101,100
41,Leo De Vries SS  ATH,1,50,42/58,22.2
42,Roman Anthony OF  BOS,-14,51.5,22/98,88.9
43,Hunter Greene SP  CIN,25,51.67,14/177,100
44,Freddy Peralta SP  NYM,1,51.78,26/82,100
45,Bryce Harper DH  PHI,6,52.33,25/87,100
46,Wyatt Langford OF  TEX,-6,53.44,32/85,100
47,Cody Bellinger CF  NYY,1,54.44,16/93,100
48,James Wood LF  WAS,-13,54.44,24/111,100
49,Freddie Freeman 1B  LAD,5,54.56,19/110,100
50,Cole Ragans RP  KC,-1,55.75,39/75,88.9
51,Jackson Merrill SS  SD,-7,57.78,25/108,100
52,Framber Valdez SP  DET,17,58.56,17/114,100
53,Alex Bregman 3B  CHC,10,60.22,29/105,100
54,Ben Rice 1B  NYY,-4,61.38,41/83,88.9
55,Chris Sale SP  ATL,21,61.67,31/126,100
56,Brice Turang 2B  MIL,-3,63.78,36/89,100
57,William Contreras C  MIL,1,64.44,25/124,100
58,Geraldo Perdomo SS  ARI,-1,64.56,47/94,100
59,Pete Crow-Armstrong CF  CHC,—,64.78,19/175,100
60,George Kirby SP  SEA,6,65.11,30/84,100
61,Maikel Garcia 3B  KC,-6,66.33,39/83,100
62,Nolan McLean SP  NYM,—,66.62,34/105,88.9
63,Brent Rooker DH  ATH,1,68,42/91,100
64,Jarren Duran CF  BOS,-12,68.11,19/110,100
65,Mason Miller SP  SD,16,68.75,45/112,88.9
66,George Springer RF  TOR,9,70.44,28/148,100
67,Riley Greene CF  DET,-11,71.33,48/108,100
68,Josh Naylor 1B  SEA,9,72.22,33/144,100
69,Austin Riley 3B  ATL,9,75.78,37/165,100
70,Joe Ryan SP  MIN,1,76.44,48/96,100
71,Jesus Luzardo SP  PHI,14,78,35/106,100
72,Eury Perez SP  MIA,-11,80.38,43/125,88.9
73,Kyle Bradish SP  BAL,-1,82,58/105,88.9
74,Jacob deGrom SP  TEX,31,83,26/235,88.9
75,Tyler Soderstrom C  ATH,16,83.25,64/118,88.9
76,Corey Seager SS  TEX,19,84.44,48/158,100
77,Jeremy Pena SS  HOU,16,84.89,43/140,100
78,Kevin Gausman SP  TOR,22,86.44,32/151,100
79,Dylan Cease SP  TOR,13,86.56,55/117,100
80,Nico Hoerner 2B  CHC,2,86.89,23/189,100
81,Jose Altuve 2B  HOU,15,87.44,42/188,100
82,Zachary Neto SS  LAA,-3,88.5,32/187,88.9
83,Chase Burns P  CIN,-13,89,39/127,88.9
84,Edwin Diaz RP  LAD,13,89.78,56/118,100
85,Sebastian Walcott SS  TEX,-1,90,76/104,22.2
86,Zack Wheeler SP  PHI,-12,90.22,10/142,100
87,Nick Pivetta RP  SD,15,93,50/154,100
88,Bo Bichette 3B  NYM,-5,94.38,71/131,88.9
89,Shea Langeliers C  ATH,1,94.44,58/139,100
90,C.J. Abrams SS  WAS,-25,95.12,46/164,88.9
91,Spencer Strider SP  ATL,-5,96,55/113,88.9
92,Michael Busch 3B  CHC,9,99.75,48/132,88.9
93,Andres Munoz RP  SEA,23,99.78,62/127,100
94,Vinnie Pasquantino 1B  KC,5,101.11,46/203,100
95,Randy Arozarena LF  SEA,-15,101.78,24/158,100
96,Luke Keaschall 2B  MIN,-23,102.75,64/189,88.9
97,Oneil Cruz SS  PIT,26,103,46/204,100
98,Jhoan Duran RP  PHI,10,104.67,80/123,100
99,Eugenio Suarez 3B  CIN,-12,106.33,17/177,100
100,Hunter Goodman RF  COL,21,106.78,51/201,100
101,Will Smith C  LAD,5,108.44,62/178,100
102,Steven Kwan LF  CLE,8,109,44/164,100
103,Blake Snell SP  LAD,27,111.38,73/172,88.9
104,Jacob Wilson SS  ATH,-10,112.5,63/196,88.9
105,Matthew Boyd SP  CHC,43,113.38,39/202,88.9
106,Trey Yesavage SP  TOR,-8,114,52/149,88.9
107,Bubba Chandler P  PIT,—,114.62,56/154,88.9
108,Max Clark OF  DET,1,116.67,107/124,33.3
109,Agustin Ramirez C  MIA,3,117.89,83/149,100
110,Ozzie Albies 2B  ATL,1,118.44,70/200,100
111,Cade Smith P  CLE,6,119.33,81/176,100
112,Seiya Suzuki RF  CHC,10,120.33,82/169,100
113,Kyle Stowers RF  MIA,12,120.38,79/171,88.9
114,Gavin Williams SP  CLE,12,121.5,69/148,88.9
115,Jacob Misiorowski SP  MIL,-12,121.5,61/163,88.9
116,Matt Chapman 3B  SF,17,122,68/220,100
117,Nathan Eovaldi SP  TEX,56,127.33,42/222,100
118,Daulton Varsho LF  TOR,20,128.43,88/153,77.8
119,Shota Imanaga RP  CHC,27,129.11,52/222,100
120,Josh Hader RP  HOU,4,129.44,75/173,100
121,Brandon Woodruff SP  MIL,55,129.62,81/231,88.9
122,Ryan Pepiot RP  TB,14,129.88,86/152,88.9
123,Cameron Schlittler SP  NYY,-9,130.62,97/155,88.9
124,Luis Robert CF  NYM,41,131.56,80/212,100
125,Brandon Nimmo CF  TEX,-5,132.44,29/272,100
126,Luis Castillo SP  SEA,11,132.56,37/243,100
127,Michael King SP  SD,—,135.88,98/157,88.9
128,Nick Lodolo SP  CIN,12,135.88,116/158,88.9
129,Drake Baldwin C  ATL,-1,136,90/195,88.9
130,Willy Adames SS  SF,25,137.78,72/187,100
131,Tatsuya Imai SP  HOU,—,139.6,117/169,55.6
132,Ranger Suarez SP  BOS,13,140.44,117/205,100
133,Michael Harris CF  ATL,-4,141,94/259,100
134,Pablo Lopez SP  MIN,8,141.6,119/176,55.6
135,Sonny Gray SP  BOS,19,142.56,40/304,100
136,Aroldis Chapman RP  BOS,47,142.67,82/223,100
137,Spencer Schwellenbach P  ATL,-48,144.14,56/324,77.8
138,Kris Bubic SP  KC,29,145,97/216,88.9
139,Jackson Holliday SS  BAL,-35,145.43,59/282,77.8
140,Tyler Glasnow SP  LAD,41,147.62,104/271,88.9
141,Isaac Paredes 3B  HOU,-2,149.75,87/208,88.9
142,Spencer Torkelson 1B  DET,18,150.67,111/209,66.7
143,Trevor Rogers SP  BAL,45,151.25,103/249,88.9
144,David Bednar RP  NYY,30,151.44,108/249,100
145,Yandy Diaz 1B  TB,16,151.89,72/316,100
146,Jac Caglianone 1B  KC,-86,152.75,30/298,44.4
147,Marcus Semien 2B  NYM,5,153.89,49/238,100
148,Carlos Rodon SP  NYY,20,154,54/251,100
149,Emmet Sheehan SP  LAD,-6,154.12,120/178,88.9
150,Cade Horton P  CHC,-6,154.67,79/236,100
151,Jakob Marsee OF  MIA,5,155.14,143/177,77.8
152,Ian Happ LF  CHC,5,155.33,33/266,100
153,Brandon Lowe 2B  PIT,9,157.67,93/231,100
154,Kazuma Okamoto 3B  TOR,16,157.71,106/226,77.8
155,Walker Jenkins OF  MIN,-20,158.33,118/204,33.3
156,Christian Yelich LF  MIL,-9,158.67,70/229,100
157,Kevin McGonigle SS  DET,-69,159.6,28/273,55.6
158,Colt Emerson SS  SEA,11,161.67,109/232,33.3
159,Samuel Basallo C  BAL,-40,161.83,65/308,66.7
160,Adley Rutschman C  BAL,29,161.89,118/264,100
161,Lawrence Butler CF  ATH,17,162.11,93/219,100
162,Bryan Reynolds LF  PIT,15,164.89,63/233,100
163,Sal Stewart 1B  CIN,-12,165.12,99/232,88.9
164,Luis Arraez 2B  SF,56,165.86,56/270,77.8
165,Raisel Iglesias RP  ATL,40,165.89,78/293,100
166,Jordan Westburg 2B  BAL,13,166.67,127/220,66.7
167,Tanner Bibee SP  CLE,24,167.11,77/224,100
168,Colson Montgomery SS  CHW,16,167.38,84/246,88.9
169,Willson Contreras C  BOS,-28,168,123/224,55.6
170,Mike Trout CF  LAA,42,171.62,149/236,88.9
171,Alejandro Kirk C  TOR,30,172,73/232,66.7
172,Sandy Alcantara SP  MIA,21,172.11,113/275,100
173,Alec Burleson LF  STL,40,172.43,117/202,77.8
174,Jonathan Aranda 1B  TB,62,172.75,98/252,88.9
175,Jo Adell RF  LAA,-16,172.86,110/233,77.8
176,MacKenzie Gore SP  TEX,6,172.88,145/216,88.9
177,Robbie Ray SP  SF,68,173.25,110/271,88.9
178,Munetaka Murakami 1B  CHW,-15,173.6,107/235,55.6
179,Salvador Perez C  KC,29,174,76/338,100
180,Taylor Ward LF  BAL,17,174.44,61/314,100
181,Zac Gallen SP  ARI,17,175.22,55/309,100
182,Jurickson Profar LF  ATL,14,175.25,109/320,88.9
183,Devin Williams RP  NYM,39,176.12,94/277,88.9
184,JJ Wetherholt 2B  STL,-50,177,82/254,88.9
185,Ivan Herrera C  STL,19,177,160/215,66.7
186,Konnor Griffin SS  PIT,-71,177.12,25/336,88.9
187,Sal Frelick RF  MIL,44,177.67,93/247,100
188,Addison Barger SS  TOR,23,177.75,137/237,88.9
189,Merrill Kelly SP  ARI,-3,178,95/262,100
190,Royce Lewis 3B  MIN,29,179.5,100/241,44.4
191,Teoscar Hernandez RF  LAD,3,180.5,64/269,88.9
192,Thomas White SP  MIA,-79,180.67,95/311,33.3
193,Daniel Palencia RP  CHC,42,182.62,145/272,88.9
194,Shane McClanahan SP  TB,15,182.86,142/245,77.8
195,Andrew Abbott SP  CIN,-20,183.33,75/249,100
196,Roki Sasaki P  LAD,-47,183.86,97/287,77.8
197,Noah Cameron P  KC,26,184.11,133/244,100
198,Shane Baz SP  BAL,9,185.62,132/218,88.9
199,Xavier Edwards 2B  MIA,15,187.29,153/206,77.8
200,Carson Benge RF  NYM,-68,188,103/355,44.4
201,Gerrit Cole SP  NYY,1,188.5,73/336,88.9
202,Abner Uribe RP  MIL,28,188.75,165/212,44.4
203,Carlos Estevez RP  KC,12,188.89,84/296,100
204,Ryan Helsley RP  BAL,21,188.89,138/287,100
205,Brendan Donovan 2B  SEA,67,189.25,100/342,88.9
206,Ceddanne Rafaela CF  BOS,12,190.4,147/225,55.6
207,Andy Pages CF  LAD,3,190.62,113/234,88.9
208,Brayan Bello SP  BOS,-8,191,117/261,55.6
209,Trevor Megill RP  MIL,28,191.62,120/293,88.9
210,Noelvi Marte 3B  CIN,-7,193.83,142/264,66.7
211,Joey Wentz SP  ATL,—,194,123/315,33.3
212,Andrew Painter SP  PHI,-32,194.5,85/303,66.7
213,Edward Cabrera SP  CHC,34,194.71,77/257,77.8
214,Travis Bazzana 2B  CLE,-61,195.67,135/286,33.3
215,Ryne Nelson SP  ARI,35,197.33,77/307,100
216,Bryce Rainer SS  DET,10,197.5,180/215,22.2
217,Carter Jensen C  KC,-22,198.86,150/310,77.8
218,Kyle Finnegan RP  DET,-26,199,139/247,33.3
219,Josue De Paula CF  LAD,9,201,194/208,22.2
220,Matt McLain SS  CIN,-49,201.4,86/295,55.6
221,Jack Leiter P  TEX,19,201.71,168/259,77.8
222,Bryce Eldridge 1B  SF,-104,202.25,91/345,44.4
223,Yainer Diaz C  HOU,40,202.86,110/328,77.8
224,Shane Smith RP  CHW,42,203.62,129/248,88.9
225,Jeff Hoffman RP  TOR,18,204,146/303,100
226,Gabriel Moreno C  ARI,6,204.75,144/264,44.4
227,Connelly Early SP  BOS,-10,205.14,141/270,77.8
228,Grayson Rodriguez SP  LAA,23,207,148/245,77.8
229,Drew Rasmussen SP  TB,45,207.62,169/330,88.9
230,Dylan Crews RF  WAS,-64,209,109/297,66.7
231,Mickey Moniak CF  COL,36,209.25,141/243,88.9
232,Luis Pena SS  MIL,6,210,203/217,22.2
233,Edward Florentino CF  PIT,6,210,139/281,22.2
234,Ryan Waldschmidt CF  ARI,-18,210.67,140/246,33.3
235,Robby Snelling SP  MIA,-29,212.6,145/319,55.6
236,Zyhir Hope CF  LAD,6,213,159/267,22.2
237,Logan Henderson P  MIL,24,214.5,175/279,88.9
238,Aaron Nola SP  PHI,48,215.22,111/337,100
239,Shane Bieber SP  TOR,26,217.38,140/360,88.9
240,Alec Bohm 3B  PHI,-6,218.5,105/370,66.7
241,Jorge Polanco 2B  NYM,13,218.83,174/282,66.7
242,Quinn Priester SP  MIL,60,219.71,159/300,77.8
243,Cam Smith 3B  HOU,10,220,82/358,22.2
244,Spencer Jones CF  NYY,11,220.5,51/390,22.2
245,Emilio Pagan RP  CIN,40,221,178/356,88.9
246,Dillon Dingler C  DET,-13,221,131/295,44.4
247,Trevor Story SS  BOS,-3,221.67,124/285,66.7
248,Jack Flaherty SP  DET,41,222,143/365,77.8
249,Wilyer Abreu CF  BOS,10,222.4,199/250,55.6
250,Brady Singer SP  CIN,38,222.57,123/386,77.8
251,Hurston Waldrep SP  ATL,-61,223,152/376,44.4
252,Rainiel Rodriguez C  STL,6,223.5,159/288,22.2
253,Robert Suarez RP  ATL,-4,223.62,88/319,88.9
254,Braxton Ashcraft P  PIT,59,223.71,98/318,77.8
255,Bryan Abreu RP  HOU,43,223.8,166/259,55.6
256,Joshua Baez OF  STL,-71,224,154/333,33.3
257,Gleyber Torres 2B  DET,-1,224.71,58/355,77.8
258,Bryce Miller SP  SEA,15,225,157/278,77.8
259,Pete Fairbanks RP  MIA,17,225.5,154/311,88.9
260,Kade Anderson SP  SEA,-96,226.33,149/362,33.3
261,Marcelo Mayer SS  BOS,-89,227,141/343,44.4
262,Aidan Miller SS  PHI,-104,227,146/374,33.3
263,Kenley Jansen RP  DET,19,228.57,132/322,77.8
264,Ramon Laureano RF  SD,13,230.5,172/287,66.7
265,Spencer Steer 1B  CIN,6,230.67,129/391,66.7
266,Jonah Tong P  NYM,-45,230.75,173/340,44.4
267,Joe Musgrove SP  SD,11,230.83,151/369,66.7
268,Jameson Taillon SP  CHC,65,231.17,85/387,66.7
269,Francisco Alvarez C  NYM,47,233.6,145/323,55.6
270,Eduardo Quintero CF  LAD,-6,234,208/260,22.2
271,Moises Ballesteros C  CHC,10,234,212/252,44.4
272,Kyle Teel C  CHW,-10,235.2,143/310,55.6
273,Seth Hernandez SP  PIT,-5,235.5,181/290,22.2
274,Corbin Burnes SP  ARI,-45,235.6,133/369,55.6
275,Dylan Beavers RF  BAL,-27,236.25,200/299,44.4
276,Carlos Correa SS  HOU,27,237.33,103/348,66.7
277,Ian Seymour P  TB,-7,238,179/302,66.7
278,Max Muncy 3B  LAD,-9,239.29,128/349,77.8
279,Caleb Durbin 3B  BOS,27,239.33,115/399,66.7
280,Mitch Keller SP  PIT,—,240.33,116/370,66.7
281,Bryson Stott 2B  PHI,-54,241.6,80/353,55.6
282,Kristian Campbell 2B  BOS,1,242.5,206/279,22.2
283,Evan Carter LF  TEX,12,243,166/306,44.4
284,Owen Caissie OF  MIA,6,244,203/278,44.4
285,Justin Crawford CF  PHI,-86,244.4,132/396,55.6
286,Cam Caminiti SP  ATL,1,244.5,226/263,22.2
287,Trent Grisham CF  NYY,-8,244.83,165/344,66.7
288,Elmer Rodriguez-Cruz SP  NYY,3,247.5,180/315,22.2
289,Payton Tolle SP  BOS,-37,248.5,202/337,44.4
290,Reid Detmers SP  LAA,30,249,132/363,77.8
291,Jose Ferrer RP  SEA,19,250,232/268,22.2
292,Colton Cowser RF  BAL,4,250.5,172/329,22.2
293,Troy Melton P  DET,4,252,145/365,33.3
294,Christian Walker 1B  HOU,-10,252,162/351,44.4
295,Adolis Garcia RF  PHI,-3,252.29,107/357,77.8
296,Chandler Simpson CF  TB,9,254,207/305,66.7
297,Ralphy Velazquez 1B  CLE,3,255.5,225/286,22.2
298,Jared Jones SP  PIT,-38,255.8,169/375,55.6
299,Ryan Jeffers C  MIN,30,256,167/368,55.6
300,Ryan Sloan SP  SEA,1,256.5,212/301,22.2
301,Jasson Dominguez CF  NYY,-44,256.75,185/359,44.4
302,Nolan Arenado 3B  ARI,54,257,131/436,66.7
303,Kyle Manzardo 1B  CLE,-28,257,216/316,44.4
304,Christian Moore 2B  LAA,—,258.5,218/299,22.2
305,Joey Cantillo SP  CLE,53,258.83,164/385,66.7
306,Luis Garcia 2B  WAS,-60,259.6,125/370,55.6
307,Michael Wacha SP  KC,24,261.14,100/511,77.8
308,Otto Lopez SS  MIA,47,262.67,165/381,66.7
309,Daylen Lile RF  WAS,9,263.2,192/395,55.6
310,Dennis Santana RP  PIT,-2,264.2,190/312,55.6
311,Dansby Swanson SS  CHC,-12,264.4,137/372,55.6
312,Jackson Jobe P  DET,-5,265.5,176/355,22.2
313,Heliot Ramos LF  SF,6,265.5,196/389,66.7
314,Ryan Weathers SP  NYY,49,266.6,191/357,55.6
315,Ethan Holliday SS  COL,-6,267.5,251/284,22.2
316,Eli Willits SS  WAS,-2,270,204/336,22.2
317,Kerry Carpenter RF  DET,-5,270.4,215/332,55.6
318,Luis Morales SP  ATH,5,271.33,254/300,33.3
319,Yusei Kikuchi SP  LAA,22,271.6,119/447,55.6
320,Cody Ponce RP  TOR,57,271.8,152/466,55.6
321,Bailey Ober SP  MIN,3,272.29,146/446,77.8
322,Andrew Saalfrank RP  ARI,-5,272.5,228/317,22.2
323,Tyler Mahle SP  SF,88,274,195/418,55.6
324,Jordan Lawlar SS  ARI,12,275,239/342,33.3
325,Casey Mize SP  DET,32,277.25,212/330,44.4
326,Lazaro Montes CF  SEA,-5,277.5,211/344,22.2
327,Caleb Bonemer SS  CHW,-1,280.5,234/327,22.2
328,Liam Doyle SP  STL,-3,280.5,242/319,22.2
329,Josh Jung 3B  TEX,20,281.25,181/408,44.4
330,Mark Vientos DH  NYM,-37,281.67,196/346,33.3
331,Jett Williams SS  MIL,-4,283.5,255/312,22.2
332,Giancarlo Stanton DH  NYY,48,284,184/432,55.6
333,Tyler Stephenson C  CIN,55,284.2,132/462,55.6
334,Parker Messick P  CLE,-4,284.83,227/402,66.7
335,Griffin Jax RP  TB,15,285.5,214/366,66.7
336,Dean Kremer SP  BAL,-25,285.8,157/382,55.6
337,Kodai Senga SP  NYM,39,287.67,204/424,66.7
338,Seth Lugo SP  KC,16,288.2,93/475,55.6
339,Xander Bogaerts SS  SD,-11,288.25,175/339,44.4
340,TJ Friedl CF  CIN,-8,288.8,111/450,55.6
341,Chase DeLauter OF  CLE,-47,289,223/368,33.3
342,Ernie Clement SS  TOR,32,289.75,210/415,44.4
343,Zebby Matthews P  MIN,2,291.6,230/364,55.6
344,Brandon Pfaadt SP  ARI,3,291.75,188/440,44.4
345,Charlie Condon RF  COL,-10,292.5,256/329,22.2
346,Matt Shaw SS  CHC,-9,293,273/313,22.2
347,Luis Gil SP  NYY,32,293.5,162/395,44.4
348,Braden Montgomery OF  CHW,-10,295,289/301,22.2
349,Miguel Vargas 2B  CHW,-15,295.5,224/360,44.4
350,Ezequiel Tovar SS  COL,-11,298.33,183/410,33.3
351,Tyler Bremner SP  LAA,-9,300.5,269/332,22.2
352,Spencer Arrighetti P  HOU,15,301.6,217/444,55.6
353,Brenton Doyle CF  COL,-10,302,179/396,33.3
354,Jacob Latz RP  TEX,161,302.2,133/664,55.6
355,Nolan Schanuel 1B  LAA,47,303,128/447,44.4
356,Brett Baty 3B  NYM,5,303.75,213/361,44.4
357,Brice Matthews SS  HOU,-13,304,258/350,22.2
358,Jung Hoo Lee CF  SF,29,304.5,188/383,44.4
359,Austin Wells C  NYY,7,304.67,241/347,33.3
360,Coby Mayo 3B  BAL,-38,305.67,216/357,33.3
361,Justin Steele SP  CHC,-10,306.4,235/377,55.6
362,Ryan Walker RP  SF,6,307.8,244/471,55.6
363,Reese Olson SP  DET,-15,308,241/346,33.3
364,Noah Schultz SP  CHW,-12,311,297/325,22.2
365,Zach Cole OF  HOU,-50,313,265/397,33.3
366,Jacob Lopez RP  ATH,32,324.4,215/502,55.6
367,Ryan O'Hearn 1B  PIT,42,326.2,186/480,55.6
368,Will Warren P  NYY,-4,326.5,193/422,44.4
369,Anthony Volpe SS  NYY,-23,327.75,194/432,44.4
370,Anthony Kay RP  CHW,14,328,223/492,33.3
371,Colt Keith 3B  DET,-31,329.67,274/393,33.3
372,Carlos Lagrange SP  NYY,-19,330,229/394,33.3
373,Andrew Vaughn 1B  MIL,26,330,268/392,44.4
374,A.J. Smith-Shawver SP  ATL,-15,331,310/352,22.2
375,Rhett Lowder SP  CIN,-15,331,233/429,22.2
376,Anthony Santander RF  TOR,-14,332,326/338,22.2
377,David Peterson SP  NYM,48,332.25,248/418,44.4
378,Andrew Benintendi LF  CHW,7,332.6,184/469,55.6
379,Michael Burrows SP  HOU,24,334,228/469,55.6
380,Reynaldo Lopez RP  ATL,155,334.2,176/529,55.6
381,Lucas Giolito SP  BOS,-10,334.75,122/533,44.4
382,Jamie Arnold SP  ATH,-17,335,292/378,22.2
383,Matt Svanson P  STL,95,337.6,188/487,55.6
384,George Lombard SS  NYY,-14,338,283/393,22.2
385,J.T. Realmuto C  PHI,25,338,135/596,44.4
386,Kyson Witherspoon SP  BOS,-17,338,266/410,22.2
387,Matthew Liberatore SP  STL,42,341.25,214/466,44.4
388,Jordan Walker RF  STL,-16,342,270/414,22.2
389,Travis Sykora P  WAS,-16,342.5,340/345,22.2
390,Josuar De Jesus Gonzalez SS  SF,-15,344,313/375,22.2
391,Spencer Horwitz 1B  PIT,3,345.5,277/388,44.4
392,Chris Bassitt SP  BAL,39,345.5,101/690,66.7
393,Dalton Rushing C  LAD,8,347.33,289/379,33.3
394,Gage Jump SP  ATH,-16,348.5,282/415,22.2
395,Alfredo Duno C  CIN,-14,350.5,333/368,22.2
396,Jose Soriano RP  LAA,53,350.67,201/457,33.3
397,Seranthony Dominguez RP  CHW,26,351,251/467,33.3
