Rank	Player ID	Player	Team	Position(s)	ADP	Min Pick	Max Pick	Difference	# Picks	Team	Team Pick
1	9810	Ohtani, Shohei	LAD	UT, P	1.18	1	4		749		
2	8956	Judge, Aaron	NYY	OF	1.97	1	4		749		
3	10932	Witt Jr., Bobby	KC	SS	3.19	1	6		749		
4	10030	Soto, Juan	NYM	OF	4.15	1	8		749		
5	8594	Ramirez, Jose	CLE	3B	5.35	2	10		749		
6	10711	Skubal, Tarik	DET	P	7.18	2	20		749		
7	9775	Acuna Jr., Ronald	ATL	OF	7.77	1	17		749		
8	11583	De La Cruz, Elly	CIN	SS	9.01	3	16		749		
9	11025	Carroll, Corbin	ARZ	OF	9.43	4	23		749		
10	10260	Rodriguez, Julio	SEA	OF	9.92	4	16		749		
11	11885	Skenes, Paul	PIT	P	11.18	5	29		749		
12	10900	Crochet, Garrett	BOS	P	12.13	4	28		749		
13	9948	Tatis Jr., Fernando	SD	OF	14.40	5	23		749		
14	11108	Henderson, Gunnar	BAL	SS	14.88	7	25		749		
15	11875	Caminero, Junior	TB	3B	15.17	6	24		749		
16	9787	Tucker, Kyle	LAD	OF	16.25	5	28		749		
17	10866	Raleigh, Cal	SEA	C	17.63	4	28		749		
18	8226	Lindor, Francisco	NYM	SS	18.48	9	49		749		
19	12222	Kurtz, Nick	ATH	1B	18.48	3	31		749		
20	9785	Guerrero Jr., Vladimir	TOR	1B	18.77	8	31		749		
21	11738	Chourio, Jackson	MLW	OF	20.32	11	30		749		
22	10231	Chisholm Jr., Jazz	NYY	2B, 3B	21.21	11	32		749		
23	8940	Schwarber, Kyle	PHI	UT	24.44	11	39		749		
24	10312	Alonso, Pete	BAL	1B	26.31	13	43		749		
25	11883	Yamamoto, Yoshinobu	LAD	P	26.42	11	74		749		
26	9132	Turner, Trea	PHI	SS	26.78	16	44		749		
27	11741	Neto, Zach	LAA	SS	31.00	17	52		749		
28	11864	Crow-Armstrong, Pete	CHC	OF	31.04	14	51		749		
29	11750	Wood, James	WAS	OF	31.68	16	56		749		
30	10770	Sanchez, Cristopher	PHI	P	31.69	14	66		749		
31	9112	Marte, Ketel	ARZ	2B	34.34	19	60		749		
32	7891	Machado, Manny	SD	3B	36.93	19	60		749		
33	9376	Diaz, Edwin	LAD	P	37.93	14	116		749		
34	10712	Gilbert, Logan	SEA	P	38.26	23	87		749		
35	10367	Alvarez, Yordan	HOU	UT	38.81	16	83		749		
36	11435	Brown, Hunter	HOU	P	38.82	17	83		749		
37	11787	Miller, Mason	SD	P	39.00	13	124		749		
38	7887	Sale, Chris	ATL	P	41.13	14	97		749		
39	11800	Woo, Bryan	SEA	P	43.06	16	83		749		
40	10134	Munoz, Andres	SEA	P	43.36	17	128		749		
41	10239	Duran, Jhoan	PHI	P	46.60	19	144		749		
42	11881	Langford, Wyatt	TEX	OF	47.71	25	77		749		
43	7885	Harper, Bryce	PHI	1B	47.93	22	71		749		
44	11982	Smith, Cade	CLE	P	48.46	23	137		749		
45	8690	Olson, Matt	ATL	1B	49.05	24	77		749		
46	10216	Greene, Hunter	CIN	P	50.74	21	112		749		
47	10149	Rooker, Brent	ATH	OF	51.15	26	82		749		
48	8784	deGrom, Jacob	TEX	P	51.37	23	124		749		
49	10364	Contreras, William	MLW	C	52.53	25	78		749		
50	11911	Rice, Ben	NYY	C, 1B	53.48	13	95		749		
51	8638	Betts, Mookie	LAD	SS	53.71	18	82		749		
52	9708	Devers, Rafael	SF	1B	54.31	27	87		749		
53	10845	Langeliers, Shea	ATH	C	54.72	23	80		749		
54	10166	Ragans, Cole	KC	P	55.86	25	120		749		
55	11948	Anthony, Roman	BOS	OF	56.51	25	87		749		
56	11045	Abrams, CJ	WAS	SS	56.65	31	84		749		
57	10151	Turang, Brice	MLW	2B	57.58	30	102		749		
58	8704	Fried, Max	NYY	P	57.82	33	105		749		
59	10480	Webb, Logan	SF	P	60.52	32	102		749		
60	10255	Naylor, Josh	SEA	1B	64.68	21	97		749		
61	10681	Bednar, David	NYY	P	64.72	28	186		749		
62	9915	Peralta, Freddy	NYM	P	64.74	31	139		749		
63	7793	Freeman, Freddie	LAD	1B	65.01	33	93		749		
64	7709	Chapman, Aroldis	BOS	P	66.08	27	187		749		
65	11848	Goodman, Hunter	COL	C	66.96	32	96		749		
66	11891	Merrill, Jackson	SD	OF	69.29	22	100		749		
67	9821	Riley, Austin	ATL	3B	70.72	35	98		749		
68	10824	Duran, Jarren	BOS	OF	72.17	20	103		749		
69	10874	Kirby, George	SEA	P	72.25	45	139		749		
70	10786	Ryan, Joe	MIN	P	73.26	28	157		749		
71	10822	Greene, Riley	DET	OF	73.34	31	105		749		
72	8674	Buxton, Byron	MIN	OF	74.94	37	113		749		
73	10665	Williams, Devin	NYM	P	75.17	31	233		749		
74	9492	Hader, Josh	HOU	P	75.56	33	290		749		
75	11387	Garcia, Maikel	KC	3B	77.21	41	132		749		
76	11985	Ramirez, Agustin	MIA	C	78.03	42	115		749		
77	10397	Perdomo, Geraldo	ARZ	SS	78.17	30	123		749		
78	9649	Bellinger, Cody	NYY	OF	78.98	32	120		749		
79	10191	Cease, Dylan	TOR	P	80.66	44	141		749		
