#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
1,Tarik Skubal,DET,14,7,0,29,29,188.1,10.91,1.83,0.88,0.282,76.90%,,2.72,2.69,5.9
2,Paul Skenes,PIT,12,8,0,30,30,184.1,10.79,2.24,0.75,0.289,76.20%,,2.76,2.67,5.7
3,Garrett Crochet,BOS,14,8,0,29,29,180.1,11.04,2.33,0.96,0.292,76.00%,,3.05,2.93,5
4,Logan Webb,SFG,13,10,0,30,30,192.2,8.53,2.06,0.72,0.305,72.90%,,3.3,3.05,4.8
5,Cristopher Sánchez,PHI,12,7,0,29,29,185,8.74,2.21,0.77,0.295,74.10%,,3.19,3.14,4.5
6,Chris Sale,ATL,11,6,0,25,25,156,11.08,2.37,0.95,0.298,74.80%,,3.18,3.01,3.9
7,Yoshinobu Yamamoto,LAD,12,7,0,26,26,160.1,9.78,2.65,0.89,0.281,73.70%,,3.25,3.21,3.8
8,Cole Ragans,KCR,10,8,0,26,26,151.1,11.16,3.16,0.97,0.291,73.60%,,3.43,3.21,3.7
9,Framber Valdez,DET,13,10,0,29,29,186,8.38,2.96,0.77,0.289,72.50%,,3.49,3.49,3.6
10,Max Fried,NYY,14,8,0,29,29,179.1,8.53,2.63,0.82,0.285,73.80%,,3.32,3.43,3.6
11,Jesús Luzardo,PHI,12,9,0,29,29,175,9.92,2.76,1.1,0.288,72.80%,,3.65,3.53,3.6
12,Dylan Cease,TOR,11,10,0,29,29,171,10.64,3.44,1.09,0.291,73.30%,,3.71,3.59,3.6
13,Hunter Brown,HOU,12,9,0,29,29,178.1,9.75,2.93,0.99,0.288,73.70%,,3.49,3.49,3.5
14,Hunter Greene,CIN,10,8,0,28,28,166.2,10.8,2.89,1.32,0.275,74.10%,,3.66,3.78,3.5
15,Sonny Gray,BOS,11,9,0,28,28,166.2,9.51,2.35,1.11,0.3,71.50%,,3.81,3.5,3.4
16,Bryan Woo,SEA,13,8,0,29,29,183,9.1,1.88,1.18,0.265,73.40%,,3.4,3.57,3.4
17,Jacob deGrom,TEX,10,7,0,26,26,154.2,10.14,2.06,1.23,0.278,74.00%,,3.43,3.43,3.4
18,Ranger Suárez,BOS,11,9,0,27,27,164.2,8.11,2.57,0.92,0.297,72.50%,,3.68,3.61,3.3
19,Logan Gilbert,SEA,10,8,0,28,28,164.1,10.07,2.01,1.18,0.278,73.30%,,3.43,3.38,3.3
20,Joe Ryan,MIN,11,10,0,28,28,168,9.9,2.06,1.35,0.282,71.50%,,3.82,3.72,3.2
21,Kevin Gausman,TOR,11,10,0,29,29,178,8.82,2.56,1.2,0.286,71.50%,,3.91,3.82,3.1
22,George Kirby,SEA,12,9,0,28,28,164,8.8,1.72,1.09,0.291,71.40%,,3.62,3.45,3.1
23,Nathan Eovaldi,TEX,11,8,0,25,25,152.2,8.73,2.18,1.06,0.28,70.90%,,3.66,3.58,2.9
24,Zack Wheeler,PHI,9,5,0,20,20,127,10.39,2.42,1.05,0.284,74.50%,,3.3,3.29,2.9
25,Kyle Bradish,BAL,8,7,0,24,24,135.1,9.71,2.85,1.02,0.289,72.60%,,3.61,3.53,2.9
26,Chase Burns,CIN,7,7,0,29,23,129.2,10.64,2.82,1.2,0.291,74.60%,,3.59,3.52,2.9
27,Freddy Peralta,NYM,12,8,0,28,28,162.1,10.03,3.3,1.2,0.276,73.10%,,3.76,3.87,2.8
28,Drew Rasmussen,TBR,10,8,0,28,28,151.1,8.22,2.29,1,0.282,71.70%,,3.62,3.62,2.8
29,Brandon Woodruff,MIL,10,7,0,25,25,144.1,9.54,2.44,1.28,0.276,72.50%,,3.74,3.8,2.8
30,Michael King,SDP,10,8,0,27,27,155.2,9.4,3.15,1.18,0.285,74.50%,,3.73,3.94,2.7
31,José Soriano,LAA,10,10,0,30,30,169.2,8.34,3.85,0.77,0.289,72.10%,,3.76,3.84,2.7
32,Blake Snell,LAD,9,6,0,22,22,130,11.07,3.81,0.96,0.285,74.50%,,3.45,3.4,2.7
33,Eury Pérez,MIA,9,9,0,27,27,143.1,10.01,2.97,1.26,0.277,71.30%,,3.91,3.82,2.6
34,Jack Flaherty,DET,10,10,0,28,28,156.2,9.9,3.08,1.22,0.296,71.40%,,4.05,3.85,2.6
35,Nick Pivetta,SDP,10,9,0,28,28,167.2,9.82,2.69,1.4,0.276,72.60%,,3.92,3.96,2.6
36,MacKenzie Gore,TEX,10,10,0,28,28,155.2,10.14,3.43,1.16,0.295,72.90%,,3.91,3.83,2.6
37,Spencer Strider,ATL,11,9,0,26,26,156,10.54,3.23,1.21,0.294,72.10%,,3.94,3.76,2.5
38,Kris Bubic,KCR,9,8,0,30,24,137.1,8.73,2.92,0.96,0.294,72.10%,,3.75,3.65,2.5
39,Matthew Boyd,CHC,10,9,0,27,27,158,8.21,2.53,1.19,0.281,71.70%,,3.89,4,2.5
40,Sandy Alcantara,MIA,10,11,0,28,28,176,7.54,2.61,1.05,0.291,69.10%,,4.16,3.97,2.5
41,Tanner Bibee,CLE,11,10,0,29,29,174,8.44,2.67,1.23,0.283,71.60%,,3.98,4.06,2.4
42,Shohei Ohtani,LAD,8,5,0,21,21,111.2,10.69,2.74,1.09,0.282,74.60%,,3.36,3.36,2.4
43,Aaron Nola,PHI,10,10,0,27,27,163.2,8.85,2.48,1.38,0.29,71.40%,,4.15,4.08,2.4
44,Andrew Abbott,CIN,10,9,0,28,28,162.1,8.2,2.78,1.44,0.281,73.40%,,4.11,4.39,2.4
45,Nick Lodolo,CIN,9,8,0,27,27,151,9.13,2.32,1.31,0.289,71.00%,,4.03,4.04,2.4
46,Tyler Glasnow,LAD,8,6,0,22,22,128.2,10.54,3.36,1.1,0.279,72.60%,,3.68,3.58,2.4
