#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
1,Aaron Judge,NYY,141,633,42,109,102,9,17.70%,24.70%,0.3,0.322,0.283,0.415,0.582,0.412,170,-1.7,50.3,-7.5,6.6
2,Bobby Witt Jr.,KCR,140,634,28,99,89,31,7.40%,16.70%,0.226,0.315,0.293,0.351,0.519,0.368,135,3.3,29.5,13,6.6
3,Gunnar Henderson,BAL,146,666,28,101,84,24,10.60%,20.20%,0.214,0.311,0.275,0.357,0.489,0.362,135,2.7,30.6,5.6,6
4,Cal Raleigh,SEA,138,615,38,89,91,8,12.30%,26.60%,0.257,0.254,0.23,0.331,0.487,0.345,129,-1.9,19.2,7.4,5.9
5,Julio Rodríguez,SEA,139,618,30,85,91,23,7.20%,21.70%,0.216,0.31,0.275,0.334,0.491,0.352,133,1.6,25.9,7.6,5.6
6,Juan Soto,NYM,138,621,34,105,89,20,18.90%,17.80%,0.26,0.285,0.273,0.413,0.532,0.403,165,-0.6,47,-13.5,5.5
7,Shohei Ohtani,LAD,142,658,44,120,99,22,13.90%,24.40%,0.302,0.308,0.275,0.38,0.578,0.397,158,1,46.5,-16.6,5.3
8,Ronald Acuña Jr.,ATL,147,676,31,110,84,24,13.40%,20.00%,0.218,0.323,0.285,0.388,0.503,0.383,148,2.5,40.7,-11.5,5.3
9,Vladimir Guerrero Jr.,TOR,143,637,32,94,99,5,11.60%,13.70%,0.234,0.301,0.297,0.383,0.53,0.387,152,-1.4,37.6,-13.4,4.7
10,Fernando Tatis Jr.,SDP,130,579,28,86,83,21,10.90%,19.40%,0.228,0.3,0.275,0.36,0.502,0.369,142,1.7,30.4,-3.6,4.7
11,Elly De La Cruz,CIN,140,617,23,83,82,38,10.20%,25.00%,0.202,0.323,0.263,0.341,0.465,0.345,117,4.2,16.5,8.2,4.6
12,Francisco Lindor,NYM,132,608,25,89,69,22,9.00%,18.40%,0.193,0.283,0.259,0.336,0.452,0.341,123,0.8,17,7.6,4.6
13,Yordan Alvarez,HOU,122,551,30,90,84,4,12.70%,17.00%,0.259,0.316,0.299,0.396,0.558,0.401,162,-1.6,38.3,-12.7,4.6
14,Mookie Betts,LAD,132,591,22,84,79,8,10.80%,11.80%,0.194,0.278,0.273,0.355,0.468,0.355,129,-0.6,19.9,4.8,4.5
15,Corbin Carroll,ARI,135,605,26,90,85,32,10.80%,20.70%,0.237,0.293,0.261,0.348,0.498,0.361,132,5,28,-4.1,4.5
16,Ketel Marte,ARI,133,601,26,90,79,6,10.90%,16.40%,0.214,0.299,0.28,0.364,0.494,0.367,136,-0.7,24.9,-1.2,4.5
17,José Ramírez,CLE,136,604,27,83,88,30,9.60%,12.00%,0.216,0.274,0.275,0.348,0.492,0.351,128,1.9,21.7,0.3,4.4
18,William Contreras,MIL,132,586,20,74,74,6,11.80%,18.80%,0.175,0.307,0.27,0.359,0.445,0.349,125,-1.3,16.3,5.4,4.3
19,Alejandro Kirk,TOR,107,446,14,54,56,1,10.30%,12.40%,0.159,0.286,0.274,0.352,0.433,0.342,121,-2.3,8.6,6.7,4.2
20,Jackson Merrill,SDP,134,586,23,76,76,7,6.70%,19.30%,0.197,0.301,0.269,0.322,0.466,0.338,121,0.9,15.1,5.6,4.1
21,Trea Turner,PHI,132,609,18,86,65,26,6.50%,18.10%,0.161,0.319,0.28,0.332,0.442,0.335,113,3.9,13.5,4.9,4
22,Corey Seager,TEX,114,508,25,71,74,2,10.80%,18.10%,0.223,0.295,0.276,0.359,0.499,0.363,136,-1.7,19.7,1.3,3.9
23,Kyle Tucker,LAD,125,562,27,90,78,18,13.50%,15.20%,0.227,0.275,0.269,0.371,0.496,0.371,140,1,27.6,-8,3.9
24,Bo Bichette,NYM,132,585,18,73,74,6,6.50%,16.30%,0.161,0.32,0.288,0.337,0.449,0.339,121,-0.2,14.6,4.2,3.9
25,Geraldo Perdomo,ARI,126,562,12,77,54,19,12.10%,13.20%,0.141,0.295,0.27,0.365,0.411,0.342,119,0.9,13.7,5.8,3.9
26,Junior Caminero,TBR,119,522,32,71,88,5,6.90%,19.40%,0.255,0.279,0.271,0.324,0.525,0.36,132,-0.5,19,0.7,3.9
27,Alex Bregman,CHC,142,638,23,85,77,3,10.50%,14.00%,0.179,0.271,0.26,0.345,0.439,0.341,121,-1.7,14,1.7,3.8
28,Masyn Winn,STL,147,629,16,71,69,12,7.20%,17.10%,0.143,0.295,0.261,0.319,0.405,0.316,104,1.1,4.2,11.7,3.8
29,Zach Neto,LAA,133,599,26,83,69,27,6.90%,23.90%,0.203,0.295,0.252,0.32,0.455,0.333,112,1.8,10.6,4.9,3.7
30,Maikel Garcia,KCR,138,620,13,82,62,26,8.50%,14.60%,0.142,0.307,0.276,0.339,0.418,0.33,109,2.1,8.7,5.6,3.6
