"last_name, first_name","player_id","year","p_game","p_formatted_ip","hit","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","p_earned_run","p_save","p_blown_save","p_win","p_loss","p_era","p_hold","p_starting_p","xba","xslg","woba","xwoba","xobp","xiso","xwobacon","xbacon","exit_velocity_avg","launch_angle_avg","barrel_batted_rate","z_swing_percent","z_swing_miss_percent","oz_swing_percent","oz_swing_miss_percent","oz_contact_percent","out_zone_swing_miss","out_zone_swing","out_zone_percent","out_zone","meatball_swing_percent","meatball_percent","pitch_count_offspeed","pitch_count_fastball","pitch_count_breaking","pitch_count","iz_contact_percent","in_zone_swing_miss","in_zone_swing","in_zone_percent","in_zone","edge_percent","edge","whiff_percent","swing_percent","groundballs_percent","flyballs_percent","linedrives_percent","popups_percent"
"Jackson, Luke",592426,2023,"33","33.1",26,3,43,15,30.1,10.5,".206",".341",".294","0.635","0.135","11","0","2","2","2","2.97","4","0",".199",".345",".276",".282",".291",".146",".357",".305","88.8","7.7",8.3,70.9,19.7,28.8,54.4,45.6,43,79,52.2,274,73.7,7.2,0,144,381,525,80.3,35,178,47.8,251,39.6,208,30.4,49,51.2,26.2,19,3.6
"Strider, Spencer",675911,2023,"32","186.2",146,22,281,58,36.8,7.6,".210",".355",".279","0.634","0.145","80","0","0","20","5","3.86","0","32",".202",".347",".279",".273",".272",".146",".390",".338","88.5","17",8.2,70.7,26.5,34.3,65,35,336,517,48.6,1506,83.7,7.7,225,1826,1048,3100,73.5,299,1127,51.4,1594,42.8,1326,38.6,53,34.9,31.8,25.8,7.5
"Sheehan, Emmet",686218,2023,"13","60.1",46,11,64,26,25.8,10.5,".210",".416",".294","0.710","0.206","33","1","0","4","1","4.92","0","11",".181",".381",".307",".288",".271",".200",".334",".256","89.7","20.8",10.8,74.3,21.2,30,49.1,50.9,78,159,51.4,530,81.4,6.8,177,619,195,1031,78.8,79,372,48.6,501,41.1,424,29.6,51.5,33.1,38.2,20.4,8.3
"Kinley, Tyler",641755,2023,"18","16.1",21,3,17,6,22.4,7.9,".318",".515",".373","0.888","0.197","11","5","2","0","4","6.06","1","0",".246",".425",".377",".329",".319",".178",".388",".331","88.8","25",7.7,73.5,16.2,25.2,43.2,56.8,16,37,49.3,147,78.9,6.4,5,110,183,298,83.8,18,111,50.7,151,44.6,133,23,49.7,21.2,40.4,30.8,7.7
"Urquidy, José",664353,2023,"16","63.0",65,11,45,25,16.4,9.1,".263",".453",".335","0.788","0.190","37","1","0","3","3","5.29","0","10",".254",".429",".340",".332",".328",".175",".357",".311","86.6","17.4",8.9,72,20.1,33.3,34.4,65.6,67,195,53.4,586,77.1,7.6,237,527,127,1096,79.9,74,368,46.6,511,44.7,490,25,51.4,36.5,27.1,24.1,12.3
"Kirby, George",669923,2023,"31","190.2",179,22,172,19,22.7,2.5,".246",".395",".270","0.665","0.149","71","0","0","13","10","3.35","0","31",".258",".427",".284",".305",".282",".170",".382",".337","89.2","12.4",7.5,70.9,17.2,32.9,39.1,60.9,157,402,43.2,1221,77.9,8.6,222,1721,880,2825,82.8,196,1138,56.8,1604,45.3,1279,22.9,54.5,44.6,25.7,22.1,7.5
"Graterol, Brusdar",660813,2023,"68","67.1",53,3,48,12,18.7,4.7,".221",".296",".262","0.558","0.075","9","7","1","4","2","1.20","19","1",".244",".335",".245",".275",".285",".092",".315",".304","87","1.9",4.6,67.2,10.8,30.7,31.8,68.2,41,129,45.2,420,79.2,7.8,0,703,226,929,89.2,37,342,54.8,509,45.6,424,16.6,50.7,66,16,13.4,4.6
"Castro, Miguel",612434,2023,"75","64.2",51,8,60,25,22.4,9.3,".213",".360",".296","0.656","0.147","31","7","4","6","6","4.31","13","0",".231",".387",".286",".304",".312",".156",".351",".308","86.1","10.5",6.1,61.4,18.4,30,44.1,55.9,67,152,50.1,506,72.7,6.5,156,432,420,1008,81.6,57,309,49.9,503,41.9,423,26.9,45.7,44.4,20,27.8,7.8
"Turnbull, Spencer",605513,2023,"7","31.0",37,5,24,15,16.6,10.3,".291",".488",".379","0.867","0.197","25","0","0","1","4","7.26","0","7",".285",".479",".376",".372",".373",".195",".401",".351","88.4","9.6",8.7,61.5,15.8,28.9,35,65,28,80,49.9,277,73.7,6.8,61,332,162,555,84.2,27,171,50.1,278,45.6,253,21.9,45.2,47.6,25.2,21.4,5.8
"Coulombe, Danny",543056,2023,"61","51.1",45,4,58,12,27.6,5.7,".231",".323",".282","0.605","0.092","16","2","3","5","3","2.81","22","0",".217",".343",".269",".270",".270",".126",".341",".309","85.6","13.7",5.8,62.4,20.5,33.9,43.3,56.7,68,157,55.8,463,64.6,5.8,16,578,89,830,79.5,47,229,44.2,367,41.2,342,29.8,46.5,45.7,26.8,15.2,12.3
