RK,WSID,Player Name,POS,BEST,WORST,AVG.,STD.DEV,ECR VS. ADP
1,,Aaron Judge (NYY),OF1,1,2,1.5,0.5,-
2,,Shohei Ohtani (LAD),DH1,1,2,1.5,0.5,-
3,,Juan Soto (NYM),OF2,3,4,3.3,0.4,-
4,,Bobby Witt Jr. (KC),SS1,3,7,5.3,1.8,-
5,,Ronald Acuna Jr. (ATL),OF3,5,9,6.8,1.8,-
6,,Corbin Carroll (ARI),OF4,5,10,7,1.9,-
7,,Jose Ramirez (CLE),3B1,4,18,8.3,5.7,-
8,,Fernando Tatis Jr. (SD),OF5,8,14,11.3,2.2,-
9,,Tarik Skubal (DET),SP1,6,16,11.8,4.4,-
10,,Julio Rodriguez (SEA),OF6,7,22,14.5,6.2,-
11,,Paul Skenes (PIT),SP2,11,17,14.5,2.6,-
12,,Francisco Lindor (NYM),SS2,12,23,16,4.2,-
13,,Gunnar Henderson (BAL),SS3,12,23,16.8,4,-
14,,Garrett Crochet (BOS),SP3,12,21,18,3.7,-
15,,Vladimir Guerrero Jr. (TOR),1B1,4,29,18.5,9.1,-
16,,Kyle Tucker (FA),OF7,10,27,18.5,6.1,-
17,,Junior Caminero (TB),3B2,11,34,19,9,-
18,,Elly De La Cruz (CIN),SS4,8,37,19.3,11.6,-
19,,Kyle Schwarber (FA),OF8,11,26,20,5.8,-
20,,Ketel Marte (ARI),2B1,15,33,21,7.3,-
21,,Cal Raleigh (SEA),C1,16,24,21.8,3.3,-
22,,Pete Alonso (FA),1B2,20,29,22.8,3.7,-
23,,Yordan Alvarez (HOU),OF9,6,41,24,17,-
24,,Jackson Chourio (MIL),OF10,19,35,25,6.6,-
25,,Matt Olson (ATL),1B3,13,47,26.5,14.4,-
26,,Nick Kurtz (ATH),1B4,16,48,26.8,12.7,-
27,,Bryce Harper (PHI),1B5,14,50,28,15.1,-
28,,Cristopher Sanchez (PHI),SP4,28,32,29,1.7,-
29,,Freddie Freeman (LAD),1B6,9,66,30,23.5,-
30,,Chris Sale (ATL),SP5,30,38,34,3.5,-
31,,Rafael Devers (SF),3B3,24,48,34.5,10.3,-
32,,Manny Machado (SD),3B4,31,41,35.5,4.6,-
33,,Hunter Brown (HOU),SP6,26,55,36.8,11.1,-
34,,Jacob deGrom (TEX),SP7,33,49,39.3,6.2,-
35,,Logan Webb (SF),SP8,30,52,41,8.1,-
36,,Brent Rooker (ATH),OF11,26,60,42,13,-
37,,Mookie Betts (LAD),OF12,26,64,43.3,13.9,-
38,,Yoshinobu Yamamoto (LAD),SP9,22,80,44.8,21.4,-
39,,Bryan Woo (SEA),SP10,40,56,45.8,6.2,-
40,,Zach Neto (LAA),SS5,38,63,47.3,9.4,-
41,,Blake Snell (LAD),SP11,33,58,47.5,9.4,-
42,,Trea Turner (PHI),SS6,25,79,48.5,19.9,-
43,,Max Fried (NYY),SP12,40,58,48.5,6.4,-
44,,Jazz Chisholm Jr. (NYY),OF13,23,112,49.3,36.5,-
45,,James Wood (WSH),OF14,30,76,50.3,16.8,-
46,,Riley Greene (DET),OF15,32,67,51.3,13.2,-
47,,Wyatt Langford (TEX),OF16,29,67,51.5,14.5,-
48,,Cole Ragans (KC),SP13,39,60,53,8.4,-
49,,Hunter Greene (CIN),SP14,44,62,53,7,-
50,,Logan Gilbert (SEA),SP15,37,71,53.3,14.9,-
51,,Austin Riley (ATL),3B5,45,72,55,10.2,-
52,,Freddy Peralta (MIL),SP16,44,68,56.5,9.5,-
53,,Josh Naylor (SEA),1B7,46,73,57.3,10.4,-
54,,Pete Crow-Armstrong (CHC),OF17,25,111,57.5,35.1,-
55,,George Kirby (SEA),SP17,55,65,58.8,3.9,-
56,,Joe Ryan (MIN),SP18,55,64,60.5,3.4,-
57,,Cody Bellinger (FA),OF18,46,85,61,15.7,-
58,,Alex Bregman (FA),3B6,31,112,61.5,30.7,-
59,,Dylan Cease (TOR),SP19,44,78,61.8,12.1,-
60,,Roman Anthony (BOS),OF19,32,132,64.3,39.7,-
61,,Framber Valdez (FA),SP20,54,91,65.5,15.2,-
62,,Jarren Duran (BOS),OF20,52,78,68.3,9.9,-
63,,Jesus Luzardo (PHI),SP21,57,81,68.3,8.5,-
64,,Corey Seager (TEX),SS7,43,96,68.8,18.8,-
65,,Jackson Merrill (SD),CF1,53,81,69,10.1,-
66,,George Springer (TOR),OF21,32,108,69.8,31.2,-
67,,William Contreras (MIL),C2,57,77,71,8.3,-
68,,Seiya Suzuki (CHC),OF22,42,99,72.5,20.6,-
69,,Bo Bichette (FA),SS8,51,111,74,22.4,-
70,,Spencer Strider (ATL),SP22,59,92,75,14.7,-
71,,Nick Pivetta (SD),SP23,60,86,75,10.6,-
72,,Vinnie Pasquantino (KC),1B8,71,88,76.8,6.6,-
73,,Spencer Schwellenbach (ATL),SP24,57,98,78.5,14.7,-
74,,CJ Abrams (WSH),SS9,43,104,82.3,24.3,-
75,,Yandy Diaz (TB),1B9,29,152,83.8,48,-
76,,Sonny Gray (BOS),SP25,36,131,84.8,39,-
77,,Brice Turang (MIL),2B2,62,115,89,23.7,-
78,,Pablo Lopez (MIN),SP26,71,136,89.3,27,-
79,,Tyler Glasnow (LAD),SP27,76,100,89.5,9.9,-
80,,Geraldo Perdomo (ARI),SS10,78,101,89.5,9,-
81,,Randy Arozarena (SEA),OF23,77,103,89.8,9.4,-
82,,Jeremy Pena (HOU),SS11,85,101,90.3,6.4,-
83,,Maikel Garcia (KC),2B3,53,124,91.8,25.6,-
84,,Kyle Bradish (BAL),SP28,83,102,91.8,6.9,-
85,,Kevin Gausman (TOR),SP29,75,125,95.8,18.2,-
86,,Eugenio Suarez (FA),3B7,79,109,95.8,12.7,-
87,,Byron Buxton (MIN),CF2,66,135,97.3,27.4,-
88,,Eury Perez (MIA),SP30,82,140,98.3,24.3,-
