#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
1,Aaron Judge,NYY,145,637,47,107,112,9,17.90%,24.60%,0.325,0.325,0.29,0.422,0.615,0.432,182,-1.5,60.1,-6.2,7.7
2,Bobby Witt Jr.,KCR,151,660,28,100,92,34,7.30%,17.10%,0.225,0.314,0.291,0.347,0.515,0.365,135,3.3,30.8,12,6.7
3,Shohei Ohtani,LAD,148,660,46,122,109,24,13.90%,24.20%,0.317,0.314,0.283,0.387,0.6,0.411,167,1.2,53.7,-14,6.3
4,Juan Soto,NYM,154,675,38,108,99,21,18.40%,17.90%,0.262,0.284,0.273,0.409,0.536,0.402,161,-0.2,48.3,-13.9,5.9
5,Gunnar Henderson,BAL,153,659,26,97,82,24,10.20%,21.20%,0.206,0.311,0.27,0.349,0.476,0.354,130,2.4,25.7,6.7,5.6
6,Julio Rodríguez,SEA,151,659,29,93,91,28,7.20%,22.10%,0.204,0.311,0.271,0.332,0.475,0.345,129,1.7,24.2,6.8,5.5
7,Cal Raleigh,SEA,150,624,39,85,101,8,12.10%,27.00%,0.263,0.251,0.229,0.328,0.492,0.347,130,-1.6,20.4,10,5.3
8,José Ramírez,CLE,151,649,28,92,89,33,9.80%,11.40%,0.213,0.27,0.273,0.347,0.486,0.353,129,2.1,24,1.1,4.9
9,Ketel Marte,ARI,142,622,29,89,87,5,11.00%,16.20%,0.224,0.289,0.275,0.361,0.499,0.367,136,-0.7,25.8,0.2,4.8
10,Fernando Tatis Jr.,SDP,148,646,28,98,81,26,10.90%,19.80%,0.209,0.301,0.27,0.355,0.478,0.359,131,1.8,25.5,-1.4,4.7
11,Ronald Acuña Jr.,ATL,144,630,28,106,78,25,13.60%,21.40%,0.214,0.324,0.28,0.385,0.493,0.379,145,2.2,35.6,-10.6,4.7
12,Kyle Tucker,LAD,143,620,30,94,88,23,13.60%,14.90%,0.23,0.274,0.269,0.371,0.499,0.372,140,1.1,30.5,-6.5,4.6
13,Francisco Lindor,NYM,140,618,25,91,76,22,8.90%,18.30%,0.19,0.282,0.258,0.335,0.449,0.339,118,0.9,13.8,8.8,4.5
14,Corey Seager,TEX,124,529,27,70,76,2,11.30%,18.60%,0.226,0.292,0.273,0.359,0.498,0.363,136,-1.5,21,3.7,4.4
15,Vladimir Guerrero Jr.,TOR,153,662,29,94,95,5,11.30%,13.70%,0.207,0.305,0.294,0.379,0.501,0.376,144,-1.3,33,-13,4.4
16,Corbin Carroll,ARI,138,603,26,97,77,32,10.50%,21.10%,0.236,0.291,0.257,0.344,0.493,0.357,129,4.7,25.5,-3.2,4.3
17,William Contreras,MIL,144,599,19,76,76,6,11.40%,19.30%,0.165,0.306,0.266,0.353,0.431,0.341,120,-1.2,13.2,8.9,4.3
