Action,Avail,Player,AB,R,H,1B,2B,3B,HR,RBI,BB,K,SB,CS,AVG,OBP,SLG,Rank
,MAGA D...,Shohei Ohtani (Batter) DH • LAD,596,134,175,86,29,8,52,109,97,171,32,5,0.294,0.394,0.631,1
,Rieken...,Aaron Judge OF • NYY,512,121,163,82,29,1,51,115,120,157,10,3,0.318,0.45,0.678,2
,Young ...,Juan Soto OF • NYM,575,118,157,88,26,2,41,107,129,130,24,4,0.273,0.406,0.539,3
,Long B...,Bobby Witt SS • KC,630,106,191,113,43,8,27,96,50,118,38,11,0.303,0.357,0.525,4
,Young ...,Jose Ramirez 3B • CLE,605,103,170,99,36,3,32,94,64,76,40,7,0.281,0.35,0.509,5
,Gashou...,Francisco Lindor SS • NYM,628,112,167,98,36,1,32,90,62,131,30,5,0.266,0.342,0.479,6
,Guillo...,Kyle Schwarber DH • PHI,591,110,138,66,22,1,49,118,111,201,6,2,0.234,0.36,0.523,7
,Magnum...,Corbin Carroll OF • ARI,572,113,146,75,29,15,27,79,67,140,37,6,0.255,0.339,0.5,8
,Guillo...,Julio Rodriguez OF • SEA,627,96,170,112,28,2,28,88,43,158,30,6,0.271,0.327,0.456,9
,Runtim...,Elly De La Cruz SS • CIN,578,96,149,91,29,8,21,75,61,185,46,10,0.258,0.331,0.445,10
,Dawg,Cal Raleigh C • SEA,564,92,133,66,21,0,46,108,80,178,9,2,0.236,0.335,0.518,11
,Like a...,Trea Turner SS • PHI,574,94,168,115,30,4,19,68,39,113,30,5,0.293,0.343,0.458,12
,Young ...,Gunnar Henderson SS • BAL,590,98,161,98,32,6,25,78,66,148,23,4,0.273,0.35,0.475,13
,Big St...,Matt Olson 1B • ATL,614,98,164,91,37,2,34,105,88,172,1,0,0.267,0.362,0.5,15
,Rieken...,Freddie Freeman 1B • LAD,568,91,170,102,42,2,24,92,68,118,10,2,0.299,0.379,0.507,16
,Simba'...,Pete Alonso 1B • NYM,608,89,153,80,34,1,38,113,64,163,2,1,0.252,0.336,0.498,17
,Like a...,Nick Kurtz 1B • ATH,420,90,122,58,26,2,36,86,63,151,2,1,0.29,0.383,0.619,18
,MAGA D...,Vladimir Guerrero Jr. 1B • TOR,600,93,178,116,36,0,26,92,76,96,5,3,0.297,0.379,0.487,19
,Magnum...,Josh Naylor 1B • SEA,531,76,149,97,29,0,23,98,48,87,19,2,0.281,0.343,0.465,20
,Runtim...,Manny Machado 3B • SD,594,84,161,103,30,0,28,97,51,124,11,2,0.271,0.328,0.463,21
,Like a...,Fernando Tatis Jr. OF • SD,531,93,142,90,26,2,24,66,65,122,25,5,0.267,0.353,0.46,22
,Runtim...,George Springer OF • TOR,535,93,145,93,24,2,26,73,64,115,18,2,0.271,0.355,0.469,23
,Gashou...,Cody Bellinger OF • NYY,549,85,152,98,25,4,25,92,50,89,13,3,0.277,0.336,0.474,24
