Round 1
Pick,Team,Player,Elig,Elapsed Time,
1,Bashers,Ronald Acuna Jr. OF | ATL ,,
2,Rieken Havoc,Julio Rodriguez OF | SEA,,5 sec
3,Like a Nightmare,Juan Soto OF | NYM,,11 sec
4,Young Guns,Bobby Witt SS | KC,,1 min 38 sec
5,Magnum GI,Kyle Tucker OF | CHC ,,46 sec
6,Simba's Dublin Green Sox,Mookie Betts SS | LAD ,,39 sec
7,Dawg,Corbin Carroll OF | ARI,,14 sec
8,Trex,*Spencer Strider P | ATL,,2 min 2 sec
9,Runtime Terror,"Corbin Burnes P | ARI ",,17 sec
10,Gashouse Gang,Freddie Freeman 1B | LAD,,21 sec
11,Guillotine,Fernando Tatis Jr. OF | SD,,20 sec
12,Big Sticks,Aaron Judge OF | NYY ,,1 min 16 sec
13,Long Balls,Trea Turner SS | PHI,,5 sec
Round 2
Pick,Team,Player,Elig,Elapsed Time,
1,Bashers,Jose Ramirez 3B | CLE,,27 sec
2,Rieken Havoc,Shohei Ohtani DH | LAD ,,33 sec
3,Like a Nightmare,Yordan Alvarez DH | HOU ,,13 sec
4,Young Guns,Bryce Harper 1B | PHI,,1 min 15 sec
5,Magnum GI,Matt Olson 1B | ATL,,25 sec
6,Simba's Dublin Green Sox,Francisco Lindor SS | NYM ,,36 sec
7,Dawg,Rafael Devers 1B | SF,,14 sec
8,Trex,*Vladimir Guerrero Jr. 1B | TOR,,0 sec
9,Runtime Terror,Zack Wheeler P | PHI ,,9 sec
10,Gashouse Gang,Austin Riley 3B | ATL ,,51 sec
11,Guillotine,Pete Alonso 1B | BAL ,,36 sec
12,Big Sticks,Corey Seager SS | TEX ,,1 min 32 sec
13,Long Balls,Marcus Semien 2B | NYM ,,23 sec
Round 3
Pick,Team,Player,Elig,Elapsed Time,
1,Bashers,Zac Gallen P | ARI ,,56 sec
2,Rieken Havoc,Luis Castillo P | SEA,,26 sec
3,Like a Nightmare,Elly De La Cruz SS | CIN ,,38 sec
4,Young Guns,Ozzie Albies 2B | ATL ,,47 sec
5,Magnum GI,Michael Harris OF | ATL,,18 sec
6,Simba's Dublin Green Sox,"Jose Altuve 2B,OF | HOU ",,1 min 15 sec
7,Dawg,Luis Robert OF | CHW ,,33 sec
8,Trex,*Mike Trout OF | LAA ,,0 sec
9,Runtime Terror,Yoshinobu Yamamoto P | LAD,,8 sec
10,Gashouse Gang,Pablo Lopez P | MIN ,,1 min 24 sec
11,Guillotine,Gunnar Henderson SS | BAL,,20 sec
12,Big Sticks,Kyle Schwarber DH | PHI ,,1 min 21 sec
13,Long Balls,Adolis Garcia OF | PHI ,,13 sec
Round 4
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Royce Lewis 3B | MIN,,37 sec
2,Big Sticks,Manny Machado 3B | SD,,1 min 50 sec
3,Guillotine,Oneil Cruz OF | PIT,,5 sec
4,Gashouse Gang,George Kirby P | SEA,,45 sec
5,Runtime Terror,Tyler Glasnow P | LAD,,5 sec
6,Trex,*Logan Webb P | SF,,0 sec
7,Dawg,Framber Valdez P | HOU ,,27 sec
