All First Basemen 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Trex,Paul Goldschmidt 1B | NYY,35,.404,106,115,7,2
Rieken Havoc,Freddie Freeman 1B | LAD,21,.407,117,100,13,3
Simba's Dublin Green Sox,Pete Alonso 1B | BAL ,40,.352,95,131,5,7
MAGA DOGE ,Vladimir Guerrero Jr. 1B | TOR,32,.339,90,97,8,24
Big Sticks,Rafael Devers 1B | SF,27,.358,84,88,3,40
Big Sticks,Christian Walker 1B | HOU,36,.327,84,94,2,50
Big Sticks,Matt Olson 1B | ATL,34,.325,86,103,0,51
MAGA DOGE ,Nate Lowe 1B | BOS ,27,.358,74,76,2,57
W ,C.J. Cron 1B | BOS ,29,.315,79,102,0,61
W ,Jose Abreu 1B | HOU,15,.379,85,75,0,73
W ,Rhys Hoskins 1B | MIL ,30,.332,81,79,2,81
W ,Anthony Rizzo 1B | NYY,32,.338,77,75,6,85
W ,Rowdy Tellez 1B | TEX,35,.305,67,89,2,92
Runtime Terror,Bryce Harper 1B | PHI,18,.364,63,65,11,99
W ,Ty France 1B | TOR,20,.340,65,84,0,105
Trex,Luis Arraez 1B | SD,8,.375,88,49,4,108
W ,Ryan Mountcastle 1B | BAL,22,.305,62,85,4,115
W ,Josh Bell 1B | WAS ,17,.362,78,71,0,127
W ,Justin Turner 1B | CHC ,13,.350,61,81,3,130
Magnum GI,Josh Naylor 1B | SEA ,20,.319,47,79,6,137
Long Balls,Andrew Vaughn 1B | MIL,17,.321,60,76,0,140
W ,Patrick Wisdom 1B | CHC,25,.298,67,66,8,146
Like a Nightmare,Yandy Diaz 1B | TB,9,.401,71,57,3,149
Trex,"Salvador Perez C,1B | KC ",23,.292,48,76,0,153
W ,Willson Contreras 1B | STL ,22,.349,65,55,4,160
W ,Wilmer Flores 1B | SF,19,.316,72,71,0,173
W ,Luke Voit 1B | NYM ,22,.308,55,69,1,192
W ,Trey Mancini 1B | ARI ,18,.319,56,63,0,212
W ,Carlos Santana 1B | CHC,19,.316,52,60,0,262
W ,Joey Meneses 1B | NYM ,13,.367,33,34,1,266
W ,J.D. Davis 1B | LAA,12,.340,46,35,1,324
W ,Garrett Cooper 1B | ATL ,9,.337,37,50,0,330
W ,Keston Hiura 1B | COL,14,.316,34,32,5,356
W ,Joey Gallo 1B | CHW ,19,.281,48,47,3,364
W ,Jared Walsh 1B | TEX ,15,.269,41,44,2,368
W ,Bobby Dalbec 1B | CHW,12,.283,40,39,3,385
Trex,Vinnie Pasquantino 1B | KC,10,.383,25,26,1,403
W ,"Enrique Hernandez 1B,3B,OF | LAD ",6,.291,48,45,0,417
