All First Basemen 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Big Sticks,Matt Olson 1B | ATL,54,.389,127,139,1,2
Rieken Havoc,Freddie Freeman 1B | LAD,29,.410,131,102,23,3
Simba's Dublin Green Sox,Pete Alonso 1B | BAL ,46,.318,92,118,4,26
Big Sticks,Christian Walker 1B | HOU,33,.333,86,103,11,29
Big Sticks,Rafael Devers 1B | SF,33,.351,90,100,5,31
Like a Nightmare,Yandy Diaz 1B | TB,22,.410,95,78,0,37
Trex,Paul Goldschmidt 1B | NYY,25,.363,89,80,11,45
MAGA DOGE ,Spencer Steer 1B | CIN,23,.356,74,86,15,49
W ,Justin Turner 1B | CHC ,23,.345,86,96,4,50
Runtime Terror,Bryce Harper 1B | PHI,21,.401,84,72,11,54
MAGA DOGE ,Vladimir Guerrero Jr. 1B | TOR,26,.345,78,94,5,62
Long Balls,Spencer Torkelson 1B | DET,31,.313,88,94,3,69
Trex,Luis Arraez 1B | SD,10,.393,71,69,3,71
Magnum GI,Josh Naylor 1B | SEA ,17,.353,52,97,10,72
W ,Jake Burger 1B | TEX ,34,.309,71,80,1,87
W ,Carlos Santana 1B | CHC,23,.318,78,86,6,101
MAGA DOGE ,Nate Lowe 1B | BOS ,17,.360,89,82,1,107
W ,Joey Meneses 1B | NYM ,13,.321,71,89,0,135
Long Balls,Andrew Vaughn 1B | MIL,21,.314,67,80,0,141
W ,Triston Casas 1B | BOS ,24,.366,66,65,0,147
Trex,"Salvador Perez C,1B | KC ",23,.292,59,80,0,154
W ,Ryan Mountcastle 1B | BAL,18,.328,64,68,3,161
W ,Willson Contreras 1B | STL ,20,.358,55,67,6,164
W ,Wilmer Flores 1B | SF,23,.355,51,60,0,174
W ,"Luke Raley 1B,OF | SEA",19,.333,56,49,14,179
W ,Jose Abreu 1B | HOU,18,.296,62,90,0,187
W ,Josh Bell 1B | WAS ,22,.325,52,74,0,195
W ,J.D. Davis 1B | LAA,18,.325,61,69,1,197
Simba's Dublin Green Sox,"Ryan O'Hearn 1B,OF | SD",14,.322,48,60,5,198
W ,"Ezequiel Duran 1B,SS | TEX",14,.324,55,46,8,211
W ,Ty France 1B | TOR,12,.337,79,58,1,216
W ,"LaMonte Wade 1B,OF | LAA",17,.373,64,45,2,233
W ,"Edouard Julien 1B,2B | MIN",16,.381,60,37,3,249
W ,Ryan Noda 1B | BAL ,16,.364,63,54,3,250
W ,Garrett Cooper 1B | ATL ,17,.304,42,61,0,270
W ,"Enrique Hernandez 1B,3B,OF | LAD ",11,.289,57,61,4,273
W ,Patrick Wisdom 1B | CHC,23,.289,43,46,4,276
W ,Dominic Smith 1B | SF,12,.326,57,46,1,299
W ,Anthony Rizzo 1B | NYY,12,.328,45,41,0,381
W ,Christian Encarnacion-Strand 1B | CIN,13,.328,29,37,2,382
W ,Donovan Solano 1B | TEX,5,.369,43,38,0,391
W ,Joey Gallo 1B | CHW ,21,.301,39,40,1,394
W ,C.J. Cron 1B | BOS ,12,.295,38,37,0,399
W ,Elehuris Montero 1B | COL ,11,.290,40,39,0,403
Young Guns,"Alec Burleson 1B,OF | STL",8,.300,34,36,3,449
W ,Rowdy Tellez 1B | TEX,13,.291,26,47,0,469
Dawg,"Jared Triolo 1B,3B,SS | PIT",3,.388,30,21,6,478
W ,Joey Votto 1B | TOR ,14,.314,26,38,0,483
W ,"Jake Bauers 1B,OF | MIL ",12,.279,28,30,3,505
W ,Nick Pratto 1B | KC,7,.307,33,35,1,509
Simba's Dublin Green Sox,"Miguel Vargas 1B,3B | CHW",7,.305,36,32,3,542
Trex,Vinnie Pasquantino 1B | KC,9,.324,24,26,0,545
W ,Enmanuel Valdez 1B | PIT ,6,.311,17,19,5,562
W ,Trey Mancini 1B | ARI ,4,.299,31,28,0,590
W ,Pavin Smith 1B | ARI ,7,.317,26,30,1,611
W ,Kole Calhoun 1B | CLE,6,.282,18,25,0,661
Rieken Havoc,"Josh H. Smith 1B,3B,SS | TEX",6,.304,29,15,1,714
