All First Basemen 2024  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
MAGA DOGE ,Vladimir Guerrero Jr. 1B | TOR,30,.396,98,103,2,13
Runtime Terror,Bryce Harper 1B | PHI,30,.373,85,87,7,28
Magnum GI,Josh Naylor 1B | SEA ,31,.320,84,108,6,34
Rieken Havoc,Freddie Freeman 1B | LAD,22,.378,81,89,9,39
Big Sticks,Rafael Devers 1B | SF,28,.354,87,83,3,45
Simba's Dublin Green Sox,Pete Alonso 1B | BAL ,34,.330,91,88,3,48
MAGA DOGE ,Spencer Steer 1B | CIN,20,.319,74,92,25,58
Big Sticks,Matt Olson 1B | ATL,29,.333,78,98,0,65
Trex,"Salvador Perez C,1B | KC ",27,.330,58,104,0,66
Young Guns,"Alec Burleson 1B,OF | STL",21,.314,71,78,9,78
Big Sticks,Christian Walker 1B | HOU,26,.335,72,84,2,90
W ,Jake Burger 1B | TEX ,29,.300,68,76,1,107
Trex,Vinnie Pasquantino 1B | KC,19,.315,64,97,1,111
Trex,Luis Arraez 1B | SD,4,.346,83,46,9,119
Trex,Paul Goldschmidt 1B | NYY,22,.301,70,65,11,120
W ,"Luke Raley 1B,OF | SEA",22,.320,58,58,11,148
Dawg,Michael Busch 1B | CHC,21,.335,73,65,2,150
W ,Carlos Santana 1B | CHC,23,.328,63,71,4,156
Rieken Havoc,"Josh H. Smith 1B,3B,SS | TEX",13,.337,67,62,11,158
W ,Rhys Hoskins 1B | MIL ,26,.303,59,82,3,159
W ,Michael Toglia 1B | COL ,25,.311,62,55,10,166
MAGA DOGE ,Nate Lowe 1B | BOS ,16,.361,62,69,2,171
W ,Josh Bell 1B | WAS ,19,.319,62,71,0,184
Like a Nightmare,Yandy Diaz 1B | TB,14,.341,55,65,0,194
Simba's Dublin Green Sox,"Ryan O'Hearn 1B,OF | SD",15,.334,60,59,3,199
Long Balls,Andrew Vaughn 1B | MIL,19,.297,55,70,2,206
Trex,Nolan Schanuel 1B | LAA,13,.343,62,54,10,207
W ,Ryan Mountcastle 1B | BAL,13,.308,54,63,3,209
W ,Justin Turner 1B | CHC ,11,.354,59,55,0,273
W ,Willson Contreras 1B | STL ,15,.380,48,36,4,295
W ,"Jake Bauers 1B,OF | MIL ",12,.301,45,43,13,315
W ,Spencer Horwitz 1B | PIT,12,.357,46,40,0,328
W ,Rowdy Tellez 1B | TEX,13,.299,38,56,1,332
W ,Ty France 1B | TOR,13,.305,46,51,1,357
W ,"LaMonte Wade 1B,OF | LAA",8,.380,45,34,2,398
Dawg,"Jared Triolo 1B,3B,SS | PIT",9,.296,41,46,8,402
W ,Donovan Solano 1B | TEX,8,.343,31,35,2,412
W ,"Enrique Hernandez 1B,3B,OF | LAD ",12,.281,44,42,0,416
Gashouse Gang,"Romy Gonzalez 1B,2B | BOS",6,.306,25,29,11,431
W ,Pavin Smith 1B | ARI ,9,.348,26,36,1,448
W ,Triston Casas 1B | BOS ,13,.337,28,32,0,456
Long Balls,Spencer Torkelson 1B | DET,10,.295,45,37,0,458
W ,Juan Yepez 1B | WAS ,6,.335,32,26,2,462
Magnum GI,"Lenyn Sosa 1B,2B | CHW",8,.283,28,35,3,463
W ,Anthony Rizzo 1B | NYY,8,.301,38,35,0,508
W ,Abraham Toro 1B | BOS ,6,.293,34,26,4,521
W ,Dominic Smith 1B | SF,6,.313,33,34,1,527
W ,"Edouard Julien 1B,2B | MIN",8,.292,36,21,6,547
W ,Joey Meneses 1B | NYM ,3,.291,19,42,2,605
Long Balls,"Tyler Soderstrom 1B,OF | ATH",9,.315,18,26,0,609
W ,Enmanuel Valdez 1B | PIT ,6,.270,23,28,1,629
W ,Joey Gallo 1B | CHW ,10,.277,24,27,3,646
W ,Patrick Wisdom 1B | CHC,8,.237,16,23,5,659
W ,"Ezequiel Duran 1B,SS | TEX",3,.288,26,20,1,666
Young Guns,Jonathan Aranda 1B | TB,6,.308,22,14,0,676
W ,Elehuris Montero 1B | COL ,4,.267,23,28,0,702
W ,Tyler Nevin 1B | ATH,7,.288,22,20,1,708
Runtime Terror,"Ben Rice C,1B | NYY ",7,.264,20,23,0,717
Runtime Terror,"Kody Clemens 1B,2B,OF | MIN ",5,.258,17,18,0,718
W ,Wilmer Flores 1B | SF,4,.277,19,26,0,755
Young Guns,Kyle Manzardo 1B | CLE ,5,.282,11,15,0,791
W ,Andres Chaparro 1B | WAS,4,.280,12,15,1,811
W ,Nick Sogard 1B | BOS,0,.326,13,8,3,827
Simba's Dublin Green Sox,"Miguel Vargas 1B,3B | CHW",5,.249,22,16,3,864
W ,Christian Encarnacion-Strand 1B | CIN,2,.220,13,16,0,902
W ,Niko Kavadas 1B | LAA ,4,.283,11,8,1,908
W ,J.D. Davis 1B | LAA,4,.293,13,6,0,919
W ,"Eric Wagaman 1B,OF | MIA",2,.270,6,10,0,925
W ,"Curtis Mead 1B,3B | CHW",1,.282,10,7,2,927
W ,Bligh Madris 1B | DET ,1,.324,8,5,0,966
W ,Jared Walsh 1B | TEX ,1,.317,9,7,0,972
W ,Garrett Cooper 1B | ATL ,1,.267,6,11,0,1071
W ,David Villar 1B | SF,1,.270,3,4,0,1089
W ,Tyler Black 1B | MIL,0,.316,4,2,3,1101
W ,Bobby Dalbec 1B | CHW,1,.217,6,8,3,1123
W ,"Tyler Locklear 1B | ARI ",2,.225,3,3,1,1152
W ,Austin Shenton 1B | SEA ,1,.340,3,3,0,1167
W ,Jason Vosler 1B | SEA ,0,.233,2,3,0,1248
W ,Matthew Batten 1B | ATL ,0,.333,0,0,0,1270
W ,Nick Pratto 1B | KC,0,.000,0,0,0,1276
W ,Edwin Rios 1B | CIN ,0,.200,1,0,0,1301
W ,Jose Abreu 1B | HOU,2,.167,10,7,0,1304
W ,Matt Mervis 1B | MIA ,0,.148,1,3,0,1328
W ,Keston Hiura 1B | COL,0,.148,1,1,0,1343
W ,Ryan Noda 1B | BAL ,1,.255,8,4,0,1348
W ,Coby Mayo 1B | BAL,0,.196,4,0,0,1373
W ,Justin Foscue 1B | TEX,0,.091,3,1,0,1396
W ,Christian Williams 1B | TOR ,0,.000,0,0,0,9999
W ,Cristian Santana 1B | DET ,0,.000,0,0,0,9999
W ,KJ Harrison 1B | WAS ,0,.000,0,0,0,9999
W ,Evan White 1B | LAA ,0,.000,0,0,0,9999
W ,Brad Zunica 1B | SD ,0,.000,0,0,0,9999
W ,Luke Adams 1B | MIL ,0,.000,0,0,0,9999
W ,Luis Castro 1B | HOU ,0,.000,0,0,0,9999
W ,Hunter Fitz-Gerald 1B | SEA ,0,.000,0,0,0,9999
W ,Tre' Morgan 1B | TB ,0,.000,0,0,0,9999
W ,Kyle Roller 1B | TB ,0,.000,0,0,0,9999
W ,Randolph Gassaway 1B | PIT ,0,.000,0,0,0,9999
W ,Tony Blanco 1B | PIT ,0,.000,0,0,0,9999
W ,Gerald Bautista 1B | CLE ,0,.000,0,0,0,9999
W ,Jay Beshears 1B | MIA ,0,.000,0,0,0,9999
W ,Ewry Espinal 1B | PIT ,0,.000,0,0,0,9999
W ,Preston Beck 1B | TEX ,0,.000,0,0,0,9999
W ,Tyler Durna 1B | CHC ,0,.000,0,0,0,9999
W ,Trae Santos 1B | SD ,0,.000,0,0,0,9999
W ,Jeff Malm 1B | TB ,0,.000,0,0,0,9999
W ,Yasiel Balaguert 1B | CHC ,0,.000,0,0,0,9999
W ,K.J. Woods 1B | MIA ,0,.000,0,0,0,9999
W ,Arturo Disla 1B | TEX ,0,.000,0,0,0,9999
W ,Matt Dean 1B | TOR ,0,.000,0,0,0,9999
W ,Dillon Paulson 1B | LAD ,0,.000,0,0,0,9999
W ,K.C. Hobson 1B | SF ,0,.000,0,0,0,9999
W ,Yoshitomo Tsutsugo 1B | SF ,0,.000,0,0,0,9999
W ,Kyle Nevin 1B | LAD ,0,.000,0,0,0,9999
W ,Nelson Maldonado 1B | CHC ,0,.000,0,0,0,9999
W ,Gabriel Moncada 1B | SEA ,0,.000,0,0,0,9999
W ,Brady Whalen 1B | SF ,0,.000,0,0,0,9999
W ,Jake Brodt 1B | TOR ,0,.000,0,0,0,9999
W ,Trey Vavra 1B | MIN ,0,.000,0,0,0,9999
W ,Jacob Rogers 1B | CHC ,0,.000,0,0,0,9999
W ,Edgar Alvarez 1B | CHC ,0,.000,0,0,0,9999
W ,Patrick Leonard 1B | MIL ,0,.000,0,0,0,9999
W ,Dexture McCall 1B | HOU ,0,.000,0,0,0,9999
Like a Nightmare,Nick Kurtz 1B | ATH ,0,.000,0,0,0,9999
