All First Basemen 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Simba's Dublin Green Sox,Pete Alonso 1B | BAL ,38,.347,87,126,1,21
Magnum GI,Josh Naylor 1B | SEA ,20,.353,81,92,30,23
Big Sticks,Rafael Devers 1B | SF,35,.372,99,109,1,32
Like a Nightmare,Nick Kurtz 1B | ATH ,36,.383,90,86,2,33
Big Sticks,Matt Olson 1B | ATL,29,.366,98,95,1,42
MAGA DOGE ,Vladimir Guerrero Jr. 1B | TOR ,23,.381,96,84,6,43
Rieken Havoc,Freddie Freeman 1B | LAD ,24,.367,81,90,6,49
Trex,Vinnie Pasquantino 1B | KC,32,.323,72,113,1,51
Dawg,Michael Busch 1B | CHC,34,.343,78,90,4,57
Like a Nightmare,Yandy Diaz 1B | TB,25,.366,79,83,3,61
Long Balls,"Tyler Soderstrom 1B,OF | ATH",25,.346,75,93,8,63
Runtime Terror,Bryce Harper 1B | PHI,27,.357,72,75,12,77
Long Balls,Spencer Torkelson 1B | DET,31,.333,82,78,2,87
Big Sticks,Christian Walker 1B | HOU,27,.297,72,88,2,103
W ,Willson Contreras 1B | STL ,20,.344,70,80,5,108
Runtime Terror,"Ben Rice C,1B | NYY ",26,.337,74,65,3,109
Trex,"Salvador Perez C,1B | KC ",30,.284,54,100,0,110
Young Guns,"Alec Burleson 1B,OF | STL",18,.343,54,69,5,124
Trex,Luis Arraez 1B | SD,8,.327,66,61,11,131
MAGA DOGE ,Spencer Steer 1B | CIN,21,.312,66,75,7,133
Magnum GI,"Lenyn Sosa 1B,2B | CHW",22,.293,57,75,2,134
Simba's Dublin Green Sox,"Ryan O'Hearn 1B,OF | SD",17,.366,67,63,3,139
Young Guns,Jonathan Aranda 1B | TB,14,.393,56,59,0,170
Simba's Dublin Green Sox,"Miguel Vargas 1B,3B | CHW",16,.316,80,60,6,173
Young Guns,Kyle Manzardo 1B | CLE ,27,.313,47,70,2,189
MAGA DOGE ,Nate Lowe 1B | BOS ,18,.307,64,84,1,193
Trex,Paul Goldschmidt 1B | NYY,10,.328,76,45,5,196
Trex,Nolan Schanuel 1B | LAA,12,.353,64,53,5,211
W ,Josh Bell 1B | WAS ,22,.327,54,63,0,217
Gashouse Gang,"Romy Gonzalez 1B,2B | BOS",9,.343,47,53,6,222
Rieken Havoc,"Josh H. Smith 1B,3B,SS | TEX",10,.335,70,35,12,237
W ,Wilmer Flores 1B | SF,16,.307,44,71,1,248
W ,Spencer Horwitz 1B | PIT,11,.353,55,51,0,264
Runtime Terror,"Kody Clemens 1B,2B,OF | MIN ",19,.281,46,52,5,277
W ,"Eric Wagaman 1B,OF | MIA",9,.296,56,53,4,284
Long Balls,Andrew Vaughn 1B | MIL,14,.307,35,65,0,287
W ,Jake Burger 1B | TEX ,16,.269,43,53,1,294
W ,Carlos Santana 1B | CHC,11,.308,49,54,7,307
W ,Ty France 1B | TOR,7,.320,50,52,1,321
W ,Rowdy Tellez 1B | TEX,17,.276,34,49,1,330
W ,Rhys Hoskins 1B | MIL ,12,.332,30,43,2,405
Dawg,"Jared Triolo 1B,3B,SS | PIT",7,.311,41,24,13,411
W ,"Liam Hicks C,1B | MIA",6,.346,37,45,2,423
W ,Pavin Smith 1B | ARI ,8,.362,36,28,2,450
W ,Ryan Mountcastle 1B | BAL,7,.286,34,35,3,453
W ,"Jake Bauers 1B,OF | MIL ",7,.353,28,28,8,461
W ,Dominic Smith 1B | SF,5,.333,26,33,2,480
W ,Coby Mayo 1B | BAL,11,.299,30,28,3,506
W ,Abraham Toro 1B | BOS,7,.289,33,27,2,515
W ,"Enrique Hernandez 1B,3B,OF | LAD ",10,.255,30,35,0,532
W ,"Tim Tawa 1B,2B,OF | ARI",7,.274,29,18,8,553
W ,Michael Toglia 1B | COL ,11,.258,22,32,3,609
W ,"Curtis Mead 1B,3B | CHW",3,.299,26,19,5,629
W ,"Ezequiel Duran 1B,SS | TEX",0,.266,16,14,11,696
W ,"Luke Raley 1B,OF | SEA",4,.319,23,19,2,722
W ,Warming Bernabel 1B | COL ,4,.288,15,14,1,734
W ,Christian Encarnacion-Strand 1B | CIN,6,.234,13,19,0,758
W ,Donovan Solano 1B | TEX,3,.290,10,21,0,782
W ,Justin Turner 1B | CHC ,3,.288,14,18,2,784
W ,Matt Mervis 1B | MIA ,7,.254,15,14,0,803
W ,Sal Stewart 1B | CIN,5,.293,11,8,0,804
W ,Blaine Crim 1B | COL,5,.270,10,12,0,832
W ,Nick Sogard 1B | BOS,0,.317,13,9,2,859
W ,"Edouard Julien 1B,2B | MIN",3,.309,13,12,0,918
W ,"Tyler Locklear 1B | ARI ",3,.267,11,6,3,943
W ,Enmanuel Valdez 1B | PIT ,2,.294,7,12,0,966
W ,"LaMonte Wade 1B,OF | LAA",2,.271,19,18,1,995
