Round 1
Pick,Team,Player,Elig,Elapsed Time,
1,Guillotine,Ronald Acuna Jr. OF | ATL ,,
2,Like a Nightmare,Jacob deGrom P | TEX,,57 sec
3,Magnum GI,Mookie Betts SS | LAD ,,1 min 22 sec
4,Young Guns,Mike Trout OF | LAA ,,2 min 50 sec
5,Southpaw,Juan Soto OF | NYM,,23 sec
6,Big Sticks,Fernando Tatis Jr. OF | SD,,2 min 19 sec
7,Trex,Trea Turner SS | PHI,,20 sec
8,Dawg,Christian Yelich DH | MIL,,1 min 15 sec
9,Simba&#39;s Dublin Green Sox,"Gerrit Cole P | NYY ",,47 sec
10,Seventh-inning Nachos,Shane Bieber P | TOR ,,28 sec
11,Bashers,Trevor Story SS | BOS ,,17 sec
12,Rieken Havoc,Jose Ramirez 3B | CLE,,13 sec
13,Runtime Terror,Freddie Freeman 1B | LAD,,1 min 21 sec
14,Gashouse Gang,Trevor Bauer P | LAD,,13 sec
15,Carolina Reapers,Bryce Harper 1B | PHI,,14 sec
16,Long Balls,Lucas Giolito P | BOS ,,1 min 59 sec
Round 2
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Yu Darvish P | SD ,,3 sec
2,Carolina Reapers,Max Scherzer P | TOR ,,50 sec
3,Gashouse Gang,Aaron Nola P | PHI,,14 sec
4,Runtime Terror,Luis Castillo P | SEA,,1 min 38 sec
5,Rieken Havoc,Cody Bellinger OF | NYY ,,25 sec
6,Bashers,Francisco Lindor SS | NYM ,,11 sec
7,Seventh-inning Nachos,Anthony Rendon 3B | LAA ,,7 sec
8,Simba&#39;s Dublin Green Sox,Adalberto Mondesi SS | BOS,,1 min 12 sec
9,Dawg,Manny Machado 3B | SD,,1 min 26 sec
10,Trex,Clayton Kershaw P | LAD,,11 sec
11,Big Sticks,Walker Buehler P | PHI,,1 min 31 sec
12,Southpaw,Jack Flaherty P | DET ,,20 sec
13,Young Guns,Bo Bichette SS | TOR ,,56 sec
14,Magnum GI,Starling Marte DH | NYM,,53 sec
15,Like a Nightmare,Corey Seager SS | TEX ,,46 sec
16,Guillotine,Ozzie Albies 2B | ATL ,,22 sec
Round 3
Pick,Team,Player,Elig,Elapsed Time,
1,Guillotine,Brandon Woodruff P | MIL ,,13 sec
2,Like a Nightmare,Vladimir Guerrero Jr. 1B | TOR,,12 sec
3,Magnum GI,Blake Snell P | LAD,,1 min 7 sec
4,Young Guns,Aaron Judge OF | NYY ,,44 sec
5,Southpaw,Kenta Maeda P | NYY ,,12 sec
6,Big Sticks,Tyler Glasnow P | LAD ,,2 min 2 sec
7,Trex,*DJ LeMahieu 2B | NYY,,3 min 3 sec
8,Dawg,Stephen Strasburg SP | ,,1 min 45 sec
9,Simba&#39;s Dublin Green Sox,Pete Alonso 1B | BAL ,,1 min 44 sec
10,Seventh-inning Nachos,Whit Merrifield 2B | ATL,,11 sec
11,Bashers,Rafael Devers 1B | SF,,9 sec
12,Rieken Havoc,Kyle Tucker OF | CHC ,,1 min 12 sec
13,Runtime Terror,Lance Lynn SP | ,,21 sec
14,Gashouse Gang,Xander Bogaerts SS | SD,,16 sec
