Round 1
Pick,Team,Player,Elig,Elapsed Time,
1,Rieken Havoc,Juan Soto OF | NYM,,
2,Gashouse Gang,Jose Ramirez 3B | CLE,,16 sec
3,Trex,Trea Turner SS | PHI,,7 sec
4,Big Sticks,Bryce Harper 1B | PHI,,2 min 30 sec
5,Simba&#39;s Dublin Green Sox,"Gerrit Cole P | NYY ",,14 sec
6,Dawg,Vladimir Guerrero Jr. 1B | TOR,,1 min 4 sec
7,Bashers,Mike Trout OF | LAA ,,1 min 44 sec
8,Young Guns,"Corbin Burnes P | ARI ",,2 min 59 sec
9,Guillotine,Walker Buehler P | PHI,,34 sec
10,Runtime Terror,Shohei Ohtani DH | LAD ,,26 sec
11,Long Balls,Brandon Woodruff P | MIL ,,39 sec
12,Like a Nightmare,Freddie Freeman 1B | LAD,,1 min 6 sec
13,Magnum GI,Rafael Devers 1B | SF,,1 min 26 sec
Round 2
Pick,Team,Player,Elig,Elapsed Time,
1,Magnum GI,Teoscar Hernandez OF | LAD,,10 sec
2,Like a Nightmare,Mookie Betts SS | LAD ,,1 min 30 sec
3,Long Balls,Bo Bichette SS | TOR ,,1 min 9 sec
4,Runtime Terror,Ronald Acuna Jr. OF | ATL ,,10 sec
5,Guillotine,Kyle Tucker OF | CHC ,,1 min 57 sec
6,Young Guns,Max Scherzer P | TOR ,,1 min 45 sec
7,Bashers,Manny Machado 3B | SD,,10 sec
8,Dawg,Trevor Story SS | BOS ,,1 min 49 sec
9,Simba&#39;s Dublin Green Sox,Matt Olson 1B | ATL,,51 sec
10,Big Sticks,Julio Urias P | LAD,,41 sec
11,Trex,Shane Bieber P | TOR ,,21 sec
12,Gashouse Gang,Aaron Nola P | PHI,,1 min 44 sec
13,Rieken Havoc,Luis Robert OF | CHW ,,5 sec
Round 3
Pick,Team,Player,Elig,Elapsed Time,
1,Rieken Havoc,Ozzie Albies 2B | ATL ,,4 sec
2,Gashouse Gang,Xander Bogaerts SS | SD,,1 min 10 sec
3,Trex,Zack Wheeler P | PHI ,,31 sec
4,Big Sticks,Marcus Semien 2B | NYM ,,4 sec
5,Simba&#39;s Dublin Green Sox,Lucas Giolito P | BOS ,,32 sec
6,Dawg,Josh Hader P | HOU ,,1 min 43 sec
7,Bashers,Aaron Judge OF | NYY ,,11 sec
8,Young Guns,Cedric Mullins OF | TB ,,2 min 14 sec
9,Guillotine,Liam Hendriks P | BOS ,,58 sec
10,Runtime Terror,Sandy Alcantara P | MIA,,2 sec
11,Long Balls,Robbie Ray P | SF,,1 min 32 sec
12,Like a Nightmare,Starling Marte DH | NYM,,1 min 8 sec
13,Magnum GI,Yu Darvish P | SD ,,1 min 32 sec
Round 4
Pick,Team,Player,Elig,Elapsed Time,
1,Magnum GI,Max Fried P | NYY,,2 min 10 sec
2,Like a Nightmare,Yordan Alvarez DH | HOU ,,1 min 14 sec
3,Long Balls,Byron Buxton OF | MIN,,23 sec
4,Runtime Terror,Jacob deGrom P | TEX,,2 min 40 sec
5,Guillotine,Whit Merrifield 2B | ATL,,15 sec
6,Young Guns,Pete Alonso 1B | BAL ,,50 sec
7,Bashers,Kevin Gausman P | TOR ,,35 sec
8,Dawg,Nick Castellanos OF | PHI ,,2 min 31 sec
