Round 1
Pick,Team,Player,Elig,Elapsed Time,
1,Trex,Trea Turner SS | PHI,,
2,Guillotine,Ronald Acuna Jr. OF | ATL ,,5 min 34 sec
3,Big Sticks,Aaron Judge OF | NYY ,,2 min 46 sec
4,Simba&#39;s Dublin Green Sox,Jose Ramirez 3B | CLE,,30 sec
5,Dawg,Juan Soto OF | NYM,,1 min 20 sec
6,Runtime Terror,Yordan Alvarez DH | HOU ,,6 sec
7,Rieken Havoc,Kyle Tucker OF | CHC ,,1 min 5 sec
8,Gashouse Gang,Julio Rodriguez OF | SEA,,60 sec
9,Long Balls,Mookie Betts SS | LAD ,,1 min 8 sec
10,Magnum GI,Shohei Ohtani DH | LAD ,,2 min 46 sec
11,Young Guns,Vladimir Guerrero Jr. 1B | TOR,,1 min 38 sec
12,Bashers,Freddie Freeman 1B | LAD,,9 sec
13,Like a Nightmare,"Gerrit Cole P | NYY ",,52 sec
Round 2
Pick,Team,Player,Elig,Elapsed Time,
1,Trex,Manny Machado 3B | SD,,1 min 15 sec
2,Guillotine,Rafael Devers 1B | SF,,15 sec
3,Big Sticks,Fernando Tatis Jr. OF | SD,,5 min 53 sec
4,Simba&#39;s Dublin Green Sox,"Corbin Burnes P | ARI ",,50 sec
5,Dawg,Mike Trout OF | LAA ,,34 sec
6,Runtime Terror,Pete Alonso 1B | BAL ,,24 sec
7,Rieken Havoc,Bo Bichette SS | TOR ,,34 sec
8,Gashouse Gang,Bobby Witt SS | KC,,1 min 16 sec
9,Long Balls,Austin Riley 3B | ATL ,,52 sec
10,Magnum GI,Randy Arozarena OF | SEA,,2 min 4 sec
11,Young Guns,Paul Goldschmidt 1B | NYY,,27 sec
12,Bashers,"Jose Altuve 2B,OF | HOU ",,16 sec
13,Like a Nightmare,Jacob deGrom P | TEX,,18 sec
Round 3
Pick,Team,Player,Elig,Elapsed Time,
1,Trex,Sandy Alcantara P | MIA,,25 sec
2,Guillotine,Brandon Woodruff P | MIL ,,1 min 34 sec
3,Big Sticks,Francisco Lindor SS | NYM ,,2 min 39 sec
4,Simba&#39;s Dublin Green Sox,Matt Olson 1B | ATL,,32 sec
5,Dawg,Max Scherzer P | TOR ,,51 sec
6,Runtime Terror,Spencer Strider P | ATL,,11 sec
7,Rieken Havoc,Justin Verlander P | SF,,2 min 22 sec
8,Gashouse Gang,Kevin Gausman P | TOR ,,37 sec
9,Long Balls,Kyle Schwarber DH | PHI ,,1 min 14 sec
10,Magnum GI,Aaron Nola P | PHI,,16 sec
11,Young Guns,Shane McClanahan P | TB ,,1 min 17 sec
12,Bashers,Zack Wheeler P | PHI ,,58 sec
13,Like a Nightmare,Marcus Semien 2B | NYM ,,22 sec
Round 4
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Cedric Mullins OF | TB ,,8 sec
2,Bashers,Nolan Arenado 3B | STL,,47 sec
3,Young Guns,Michael Harris OF | ATL,,9 sec
4,Magnum GI,Starling Marte DH | NYM,,1 min 16 sec
5,Long Balls,"Jazz Chisholm 2B,3B | NYY ",,1 min 4 sec
6,Gashouse Gang,J.T. Realmuto C | PHI,,26 sec
7,Rieken Havoc,Ozzie Albies 2B | ATL ,,1 min 5 sec
8,Runtime Terror,Corey Seager SS | TEX ,,4 sec
9,Dawg,Shane Bieber P | TOR ,,1 min 14 sec
10,Simba&#39;s Dublin Green Sox,Will Smith C | LAD ,,48 sec
11,Big Sticks,Daulton Varsho OF | TOR,,3 min 17 sec
12,Guillotine,Emmanuel Clase P | CLE ,,39 sec
13,Trex,Luis Robert OF | CHW ,,17 sec
Round 5
Pick,Team,Player,Elig,Elapsed Time,
1,Trex,Dylan Cease P | TOR ,,1 min 6 sec
2,Guillotine,Luis Castillo P | SEA,,1 min 27 sec
3,Big Sticks,Julio Urias P | LAD,,48 sec
4,Simba&#39;s Dublin Green Sox,"Tommy Edman 2B,OF | LAD ",,1 min 35 sec
5,Dawg,Adolis Garcia OF | PHI ,,1 min 32 sec
6,Runtime Terror,Alek Manoah P | LAA ,,2 min 55 sec
7,Rieken Havoc,Cristian Javier P | HOU,,1 min 4 sec
8,Gashouse Gang,Max Fried P | NYY,,50 sec
9,Long Balls,Corbin Carroll OF | ARI,,2 min 41 sec
10,Magnum GI,Yu Darvish P | SD ,,1 min 39 sec
11,Young Guns,George Springer OF | TOR ,,1 min 46 sec
12,Bashers,Josh Hader P | HOU ,,13 sec
13,Like a Nightmare,"Carlos Rodon P | NYY ",,7 sec
Round 6
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Alex Bregman 3B | BOS ,,57 sec
2,Bashers,Devin Williams P | NYM ,,25 sec
3,Young Guns,Teoscar Hernandez OF | LAD,,4 min 32 sec
4,Magnum GI,Anthony Rizzo 1B | NYY,,3 min 5 sec
5,Long Balls,Framber Valdez P | HOU ,,13 sec
6,Gashouse Gang,Ryan Pressly P | CHC,,12 sec
7,Rieken Havoc,Zac Gallen P | ARI ,,1 min 8 sec
8,Runtime Terror,Byron Buxton OF | MIN,,18 sec
9,Dawg,Xander Bogaerts SS | SD,,7 sec
10,Simba&#39;s Dublin Green Sox,Raisel Iglesias P | ATL ,,55 sec
11,Big Sticks,Triston McKenzie P | CLE ,,2 min 39 sec
12,Guillotine,Oneil Cruz OF | PIT,,28 sec
13,Trex,Jordan Romano P | LAA ,,39 sec
Round 7
Pick,Team,Player,Elig,Elapsed Time,
1,Trex,Ryan Helsley P | BAL ,,8 sec
2,Guillotine,Gunnar Henderson SS | BAL,,2 min 9 sec
3,Big Sticks,Robbie Ray P | SF,,1 min 57 sec
4,Simba&#39;s Dublin Green Sox,Andres Gimenez 2B | TOR,,29 sec
5,Dawg,Jose Abreu 1B | HOU,,2 min 7 sec
6,Runtime Terror,Eloy Jimenez DH | TB,,18 sec
7,Rieken Havoc,Felix Bautista P | BAL ,,1 min 6 sec
8,Gashouse Gang,Max Muncy 3B | LAD ,,34 sec
9,Long Balls,Camilo Doval P | NYY,,3 min 7 sec
10,Magnum GI,Tim Anderson SS | LAA,,1 min 3 sec
11,Young Guns,Adley Rutschman C | BAL,,42 sec
12,Bashers,Dansby Swanson SS | CHC,,1 min 7 sec
13,Like a Nightmare,Wander Franco SS | TB ,,6 sec
Round 8
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Clay Holmes P | NYM,,54 sec
2,Bashers,Clayton Kershaw P | LAD,,1 min 7 sec
3,Young Guns,Giancarlo Stanton OF | NYY,,1 min 12 sec
4,Magnum GI,Blake Snell P | LAD,,3 min 27 sec
5,Long Balls,Kenley Jansen P | DET ,,3 min 9 sec
6,Gashouse Gang,Eugenio Suarez 3B | SEA,,42 sec
7,Rieken Havoc,Bryan Reynolds OF | PIT,,28 sec
8,Runtime Terror,Joe Musgrove P | SD ,,47 sec
9,Dawg,"Salvador Perez C,1B | KC ",,3 min 23 sec
10,Simba&#39;s Dublin Green Sox,Tyler O'Neill OF | BAL ,,50 sec
11,Big Sticks,David Bednar P | NYY,,2 min 1 sec
12,Guillotine,Vinnie Pasquantino 1B | KC,,53 sec
13,Trex,Nate Lowe 1B | BOS ,,3 min 5 sec
Round 9
Pick,Team,Player,Elig,Elapsed Time,
1,Trex,Willy Adames SS | SF,,46 sec
2,Guillotine,Willson Contreras 1B | STL ,,40 sec
3,Big Sticks,Rhys Hoskins 1B | MIL ,,1 min 47 sec
4,Simba&#39;s Dublin Green Sox,Nestor Cortes P | SD,,22 sec
5,Dawg,Luis Severino P | ATH,,38 sec
6,Runtime Terror,Brandon Lowe 2B | TB ,,29 sec
7,Rieken Havoc,Christian Yelich DH | MIL,,1 min 2 sec
8,Gashouse Gang,Christian Walker 1B | HOU,,35 sec
9,Long Balls,Chris Sale P | ATL ,,2 min 41 sec
10,Magnum GI,Anthony Santander OF | TOR ,,47 sec
11,Young Guns,Hunter Greene P | CIN,,55 sec
12,Bashers,Logan Webb P | SF,,57 sec
13,Like a Nightmare,George Kirby P | SEA,,17 sec
Round 10
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Jeremy Pena SS | HOU,,27 sec
2,Bashers,Kris Bryant DH | COL ,,32 sec
3,Young Guns,Freddy Peralta P | MIL ,,1 min 39 sec
4,Magnum GI,Pete Fairbanks P | TB ,,1 min 13 sec
5,Long Balls,Dustin May P | STL ,,54 sec
6,Gashouse Gang,C.J. Cron 1B | BOS,,40 sec
7,Rieken Havoc,Bryce Harper 1B | PHI,,2 min 33 sec
8,Runtime Terror,Lance Lynn SP | ,,19 sec
9,Dawg,Gleyber Torres 2B | DET ,,8 sec
10,Simba&#39;s Dublin Green Sox,Jeffrey Springs P | ATH,,1 min 12 sec
11,Big Sticks,"Carlos Correa 3B,SS | HOU",,3 min 7 sec
12,Guillotine,Logan Gilbert P | SEA,,30 sec
13,Trex,Steven Kwan OF | CLE,,16 sec
Round 11
Pick,Team,Player,Elig,Elapsed Time,
1,Trex,Jordan Walker OF | STL ,,17 sec
2,Guillotine,Jake McCarthy OF | ARI ,,45 sec
3,Big Sticks,Matt Chapman 3B | SF,,2 min 47 sec
4,Simba&#39;s Dublin Green Sox,Nick Castellanos OF | PHI ,,53 sec
5,Dawg,Nick Lodolo P | CIN,,27 sec
6,Runtime Terror,Lucas Giolito P | BOS ,,28 sec
7,Rieken Havoc,Tyler Glasnow P | LAD ,,40 sec
8,Gashouse Gang,Vaughn Grissom 2B | LAA ,,1 min 11 sec
9,Long Balls,Charlie Morton P | ATL,,33 sec
10,Magnum GI,Jesus Luzardo P | PHI,,1 min 9 sec
11,Young Guns,Kyle Wright P | KC ,,1 min 38 sec
12,Bashers,Alexis Diaz P | TEX ,,14 sec
13,Like a Nightmare,Drew Rasmussen P | TB,,2 min 10 sec
Round 12
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Luis Garcia P | HOU ,,7 sec
2,Bashers,Taylor Ward OF | BAL ,,12 sec
3,Young Guns,Joe Ryan P | MIN,,1 min 51 sec
4,Magnum GI,Whit Merrifield 2B | ATL,,41 sec
5,Long Balls,Jack Flaherty P | DET ,,3 min 19 sec
6,Gashouse Gang,Mike Yastrzemski OF | KC ,,40 sec
7,Rieken Havoc,Jhoan Duran P | PHI,,16 sec
8,Runtime Terror,Ketel Marte 2B | ARI,,54 sec
9,Dawg,"Javier Baez 3B,SS,OF | DET",,10 sec
10,Simba&#39;s Dublin Green Sox,Chris Bassitt P | TOR,,10 sec
11,Big Sticks,Brandon Nimmo OF | TEX ,,5 min 23 sec
12,Guillotine,Hunter Renfroe OF | KC,,5 sec
13,Trex,Alejandro Kirk C | TOR ,,18 sec
Round 13
Pick,Team,Player,Elig,Elapsed Time,
1,Trex,Lars Nootbaar OF | STL ,,12 sec
2,Guillotine,Andres Munoz P | SEA ,,1 min 18 sec
3,Big Sticks,MJ Melendez OF | KC ,,1 min 18 sec
4,Simba&#39;s Dublin Green Sox,Paul Sewald P | DET ,,43 sec
5,Dawg,Scott Barlow P | CIN ,,57 sec
6,Runtime Terror,Andrew Heaney P | LAD,,17 sec
7,Rieken Havoc,Andrew Vaughn 1B | MIL,,3 min 19 sec
8,Gashouse Gang,David Robertson P | PHI,,60 sec
9,Long Balls,Ryan Mountcastle 1B | BAL,,1 min 22 sec
10,Magnum GI,Daniel Bard P | COL,,1 min 58 sec
11,Young Guns,Pablo Lopez P | MIN ,,26 sec
12,Bashers,Sean Murphy C | ATL ,,44 sec
13,Like a Nightmare,"Jonathan India 2B,3B,OF | KC ",,35 sec
Round 14
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Masataka Yoshida DH | BOS,,2 min 11 sec
2,Bashers,Mitch Haniger OF | SEA,,10 sec
3,Young Guns,Grayson Rodriguez P | LAA ,,11 sec
4,Magnum GI,Ryan McMahon 3B | NYY,,3 min 41 sec
5,Long Balls,Riley Greene OF | DET,,1 min 4 sec
6,Gashouse Gang,Jordan Montgomery P | MIL,,29 sec
7,Rieken Havoc,Jose Leclerc P | ATH,,2 min 0 sec
8,Runtime Terror,Adalberto Mondesi SS | BOS,,26 sec
9,Dawg,Ke'Bryan Hayes 3B | CIN,,1 min 30 sec
10,Simba&#39;s Dublin Green Sox,Josh Bell 1B | WAS ,,54 sec
11,Big Sticks,Kyle Finnegan P | DET ,,5 min 0 sec
12,Guillotine,Reid Detmers P | LAA ,,9 sec
13,Trex,Tony Gonsolin P | LAD ,,23 sec
Round 15
Pick,Team,Player,Elig,Elapsed Time,
1,Trex,Kodai Senga P | NYM,,21 sec
2,Guillotine,Rowdy Tellez 1B | TEX,,1 min 23 sec
3,Big Sticks,Alex Lange P | KC ,,2 min 7 sec
4,Simba&#39;s Dublin Green Sox,Oscar Gonzalez OF | SD,,2 min 20 sec
5,Dawg,Seiya Suzuki OF | CHC,,13 sec
6,Runtime Terror,Anthony Rendon 3B | LAA ,,11 sec
7,Rieken Havoc,Brusdar Graterol P | LAD ,,1 min 32 sec
8,Gashouse Gang,Adam Duvall OF | ATL,,46 sec
9,Long Balls,Cody Bellinger OF | NYY ,,1 min 6 sec
10,Magnum GI,Jake Cronenworth 2B | SD,,1 min 21 sec
11,Young Guns,Craig Kimbrel P | HOU,,1 min 20 sec
12,Bashers,Jorge Polanco 2B | NYM ,,20 sec
13,Like a Nightmare,Tyler Stephenson C | CIN,,60 sec
Round 16
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Seranthony Dominguez P | TOR,,38 sec
2,Bashers,Ty France 1B | TOR,,1 min 20 sec
3,Young Guns,Amed Rosario 3B | NYY ,,7 sec
4,Magnum GI,Cal Raleigh C | SEA,,4 min 13 sec
5,Long Balls,Ezequiel Tovar SS | COL,,2 min 7 sec
6,Gashouse Gang,William Contreras C | MIL ,,20 sec
7,Rieken Havoc,Jose Miranda 3B | MIN ,,2 min 41 sec
8,Runtime Terror,Ian Happ OF | CHC,,7 sec
9,Dawg,Triston Casas 1B | BOS ,,19 sec
10,Simba&#39;s Dublin Green Sox,"Josh Rojas 2B,3B | CHW",,54 sec
11,Big Sticks,Thairo Estrada 2B | COL ,,34 sec
12,Guillotine,Evan Phillips P | LAD ,,27 sec
13,Trex,Hunter Brown P | HOU,,8 sec
