All Utility Players 2024  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
MAGA DOGE ,Shohei Ohtani (Batter) DH | LAD ,54,.390,134,130,59,1
Rieken Havoc,Aaron Judge OF | NYY ,58,.458,122,144,10,2
Long Balls,Bobby Witt SS | KC,32,.389,125,109,31,3
Young Guns,Jose Ramirez 3B | CLE,39,.335,114,118,41,4
Runtime Terror,Elly De La Cruz SS | CIN ,25,.339,105,76,67,5
Young Guns,Juan Soto OF | NYM,41,.419,128,109,7,6
Young Guns,Gunnar Henderson SS | BAL,37,.364,118,92,21,7
Gashouse Gang,Francisco Lindor SS | NYM ,33,.344,107,91,29,8
Big Sticks,Brent Rooker OF | ATH,39,.365,82,112,11,10
Young Guns,Jarren Duran OF | BOS ,21,.342,111,75,34,11
Trex,Marcell Ozuna DH | ATL,39,.379,96,104,1,12
MAGA DOGE ,Vladimir Guerrero Jr. 1B | TOR,30,.396,98,103,2,13
Big Sticks,Willy Adames SS | SF,32,.331,93,112,21,14
MAGA DOGE ,Ketel Marte 2B | ARI,36,.372,93,95,7,17
Guillotine,Kyle Schwarber DH | PHI ,38,.366,110,104,5,18
Long Balls,Yordan Alvarez DH | HOU ,35,.392,88,86,6,19
Magnum GI,Corbin Carroll OF | ARI,22,.322,121,74,35,20
Big Sticks,Teoscar Hernandez OF | LAD,33,.340,84,99,12,21
Long Balls,"Jazz Chisholm 2B,3B | NYY ",24,.324,74,73,40,22
Runtime Terror,Manny Machado 3B | SD,29,.325,77,105,11,23
MAGA DOGE ,Anthony Santander OF | TOR ,44,.308,91,102,2,24
Dawg,"Jose Altuve 2B,OF | HOU ",20,.350,94,65,22,25
Trex,Jackson Merrill OF | SD,24,.326,77,90,16,26
Gashouse Gang,William Contreras C | MIL ,23,.365,99,92,9,27
Runtime Terror,Bryce Harper 1B | PHI,30,.373,85,87,7,28
Like a Nightmare,Brenton Doyle OF | COL,23,.317,82,72,30,29
Guillotine,Jurickson Profar OF | ATL,24,.380,94,85,10,31
Rieken Havoc,Jackson Chourio OF | MIL,21,.327,80,79,22,32
Like a Nightmare,Trea Turner SS | PHI,21,.338,88,62,19,33
Magnum GI,Josh Naylor 1B | SEA ,31,.320,84,108,6,34
MAGA DOGE ,Matt Chapman 3B | SF,27,.328,98,78,15,36
Guillotine,Eugenio Suarez 3B | SEA,30,.319,90,101,2,37
Rieken Havoc,Zachary Neto SS | LAA ,23,.318,70,77,30,38
Rieken Havoc,Freddie Freeman 1B | LAD,22,.378,81,89,9,39
Guillotine,Julio Rodriguez OF | SEA,20,.325,76,68,24,41
Simba's Dublin Green Sox,Brice Turang 2B | MIL,7,.316,72,57,50,44
Big Sticks,Rafael Devers 1B | SF,28,.354,87,83,3,45
Runtime Terror,C.J. Abrams SS | WAS,20,.315,79,65,31,46
Simba's Dublin Green Sox,Pete Alonso 1B | BAL ,34,.330,91,88,3,48
Dawg,Bryan Reynolds OF | PIT,24,.344,73,88,10,49
Runtime Terror,Ian Happ OF | CHC,25,.341,89,86,13,50
Like a Nightmare,Mookie Betts SS | LAD ,19,.372,75,75,16,52
Dawg,Seiya Suzuki OF | CHC,21,.366,74,73,16,53
Trex,Oneil Cruz OF | PIT,21,.324,72,76,22,55
Trex,Ezequiel Tovar SS | COL,26,.295,83,78,6,56
MAGA DOGE ,Spencer Steer 1B | CIN,20,.319,74,92,25,58
Runtime Terror,Brandon Nimmo OF | TEX ,23,.327,88,90,15,60
Dawg,Cal Raleigh C | SEA,34,.312,73,100,6,61
W ,Luis Garcia 2B | WAS,18,.318,58,70,22,64
Big Sticks,Matt Olson 1B | ATL,29,.333,78,98,0,65
Trex,"Salvador Perez C,1B | KC ",27,.330,58,104,0,66
Dawg,Jeremy Pena SS | HOU,15,.308,78,70,20,67
Like a Nightmare,Nico Hoerner 2B | CHC,7,.335,86,48,31,69
W ,Corey Seager SS | TEX ,30,.353,68,74,1,72
W ,Nick Castellanos OF | PHI ,23,.311,80,86,6,73
Young Guns,Marcus Semien 2B | NYM ,23,.308,101,74,8,74
Young Guns,"Anthony Volpe SS | NYY ",12,.293,90,60,28,77
Young Guns,"Alec Burleson 1B,OF | STL",21,.314,71,78,9,78
Gashouse Gang,Cedric Mullins OF | TB ,18,.305,69,54,32,79
Big Sticks,Yainer Diaz C | HOU,16,.325,70,84,2,80
Dawg,Riley Greene OF | DET,24,.348,82,74,4,81
Long Balls,Wyatt Langford OF | TEX ,16,.325,74,74,19,82
Gashouse Gang,Alex Bregman 3B | BOS ,26,.316,79,75,3,83
Rieken Havoc,Lane Thomas OF | KC ,15,.309,65,63,32,85
Rieken Havoc,Maikel Garcia 3B | KC ,7,.281,84,58,37,86
MAGA DOGE ,"Lourdes Gurriel OF | ARI ",18,.322,72,75,7,88
Guillotine,Alec Bohm 3B | PHI,15,.332,62,97,5,89
Big Sticks,Christian Walker 1B | HOU,26,.335,72,84,2,90
Long Balls,Lawrence Butler OF | ATH ,22,.317,63,57,18,92
Gashouse Gang,Cody Bellinger OF | NYY ,18,.325,72,78,9,93
Dawg,Dansby Swanson SS | CHC,16,.312,82,66,19,94
W ,Colton Cowser OF | BAL,24,.321,77,69,9,97
Simba's Dublin Green Sox,"Ceddanne Rafaela 2B,OF | BOS ",15,.274,70,75,19,99
W ,Jake McCarthy OF | ARI ,8,.349,66,56,25,101
Young Guns,Tyler O'Neill OF | BAL ,31,.336,74,61,4,102
Runtime Terror,Taylor Ward OF | BAL ,25,.323,73,75,6,103
Young Guns,Bryson Stott 2B | PHI,11,.315,65,57,32,105
W ,Jake Burger 1B | TEX ,29,.300,68,76,1,107
Big Sticks,Adolis Garcia OF | PHI ,25,.284,68,85,11,108
Dawg,Steven Kwan OF | CLE,14,.368,83,44,12,109
W ,Andres Gimenez 2B | TOR,9,.298,64,63,30,110
Trex,Vinnie Pasquantino 1B | KC,19,.315,64,97,1,111
W ,Masyn Winn SS | STL ,15,.314,85,57,11,113
W ,Joc Pederson DH | TEX,23,.393,62,64,7,115
Trex,Luis Arraez 1B | SD,4,.346,83,46,9,119
Trex,Paul Goldschmidt 1B | NYY,22,.301,70,65,11,120
Guillotine,Randy Arozarena OF | SEA,20,.332,77,60,20,121
Trex,Kyle Tucker OF | CHC ,23,.408,56,49,11,122
Like a Nightmare,Fernando Tatis Jr. OF | SD,21,.340,64,49,11,123
W ,"Willi Castro 2B,3B,OF | CHC",12,.331,89,60,14,124
Like a Nightmare,"Jose Caballero 2B,3B,SS,OF | NYY",9,.283,53,44,44,125
Runtime Terror,Mark Vientos 3B | NYM,27,.322,58,71,0,126
W ,"Jonathan India 2B,3B,OF | KC ",15,.357,84,58,13,127
MAGA DOGE ,Heliot Ramos OF | SF,22,.322,54,72,6,128
W ,Jesus Sanchez OF | HOU,18,.313,60,64,16,130
W ,Will Smith C | LAD ,20,.327,77,75,1,132
Magnum GI,Brendan Donovan 2B | STL ,14,.342,65,73,5,133
Rieken Havoc,Shea Langeliers C | ATH,29,.288,58,80,4,134
Simba's Dublin Green Sox,Nolan Arenado 3B | STL,16,.325,70,71,2,136
W ,Jacob Young OF | WAS,3,.316,75,36,33,137
Gashouse Gang,Brandon Marsh OF | PHI,16,.328,55,60,19,138
W ,Jake Cronenworth 2B | SD,17,.324,72,83,5,140
W ,Jorge Soler OF | LAA ,21,.338,84,64,1,142
Trex,Byron Buxton OF | MIN,18,.335,62,56,7,145
W ,Matt Vierling OF | DET ,16,.312,80,57,6,146
Guillotine,Adley Rutschman C | BAL,19,.318,68,79,1,147
W ,"Luke Raley 1B,OF | SEA",22,.320,58,58,11,148
Dawg,Michael Busch 1B | CHC,21,.335,73,65,2,150
Big Sticks,Gleyber Torres 2B | DET ,15,.330,80,63,4,151
Runtime Terror,George Springer OF | TOR ,19,.303,74,56,16,155
W ,Carlos Santana 1B | CHC,23,.328,63,71,4,156
