Round 1
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Bobby Witt SS | KC,,
2,MAGA DOGE ,Shohei Ohtani (Batter) DH | LAD ,,48 sec
3,Rieken Havoc,Aaron Judge OF | NYY ,,9 sec
4,Young Guns,Juan Soto OF | NYM,,19 sec
5,Runtime Terror,Elly De La Cruz SS | CIN ,,14 sec
6,Dawg,Jose Ramirez 3B | CLE,,39 sec
7,Trex,Kyle Tucker OF | CHC ,,42 sec
8,Magnum GI,Corbin Carroll OF | ARI,,54 sec
9,Simba's Dublin Green Sox,Mookie Betts SS | LAD ,,20 sec
10,Gashouse Gang,Francisco Lindor SS | NYM ,,1 min 1 sec
11,Big Sticks,Gunnar Henderson SS | BAL,,16 sec
12,Guillotine,Julio Rodriguez OF | SEA,,52 sec
13,Like a Nightmare,Fernando Tatis Jr. OF | SD,,7 sec
Round 2
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Yordan Alvarez DH | HOU ,,35 sec
2,MAGA DOGE ,Vladimir Guerrero Jr. 1B | TOR,,46 sec
3,Rieken Havoc,Paul Skenes P | PIT ,,2 min 8 sec
4,Young Guns,Tarik Skubal P | DET ,,22 sec
5,Runtime Terror,Bryce Harper 1B | PHI,,7 sec
6,Dawg,Jackson Chourio OF | MIL,,1 min 10 sec
7,Trex,Zack Wheeler P | PHI ,,1 min 2 sec
8,Magnum GI,Cole Ragans P | KC,,3 min 6 sec
9,Simba's Dublin Green Sox,Logan Gilbert P | SEA,,25 sec
10,Gashouse Gang,William Contreras C | MIL ,,1 min 1 sec
11,Big Sticks,Matt Olson 1B | ATL,,1 min 50 sec
12,Guillotine,Garrett Crochet P | BOS,,16 sec
13,Like a Nightmare,Trea Turner SS | PHI,,50 sec
Round 3
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,"Jazz Chisholm 2B,3B | NYY ",,47 sec
2,MAGA DOGE ,Ketel Marte 2B | ARI,,1 min 47 sec
3,Rieken Havoc,Freddie Freeman 1B | LAD,,22 sec
4,Young Guns,Jarren Duran OF | BOS ,,2 min 54 sec
5,Runtime Terror,Manny Machado 3B | SD,,16 sec
6,Dawg,Austin Riley 3B | ATL ,,2 min 54 sec
7,Trex,Jackson Merrill OF | SD,,32 sec
8,Magnum GI,Michael Harris OF | ATL,,2 min 12 sec
9,Simba's Dublin Green Sox,Pete Alonso 1B | BAL ,,29 sec
10,Gashouse Gang,Dylan Cease P | TOR ,,58 sec
11,Big Sticks,Rafael Devers 1B | SF,,8 sec
12,Guillotine,Kyle Schwarber DH | PHI ,,1 min 42 sec
13,Like a Nightmare,Corey Seager SS | TEX ,,1 min 45 sec
Round 4
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Chris Sale P | ATL ,,7 sec
2,Guillotine,Blake Snell P | LAD,,7 sec
3,Big Sticks,Ronald Acuna Jr. OF | ATL ,,48 sec
4,Gashouse Gang,Emmanuel Clase P | CLE ,,21 sec
5,Simba's Dublin Green Sox,Marcus Semien 2B | NYM ,,2 min 5 sec
6,Magnum GI,Michael King P | SD ,,36 sec
7,Trex,Oneil Cruz OF | PIT,,37 sec
8,Dawg,"Jose Altuve 2B,OF | HOU ",,1 min 43 sec
9,Runtime Terror,C.J. Abrams SS | WAS,,1 min 26 sec
10,Young Guns,"Corbin Burnes P | ARI ",,52 sec
11,Rieken Havoc,Ozzie Albies 2B | ATL ,,2 min 39 sec
12,MAGA DOGE ,Yoshinobu Yamamoto P | LAD ,,34 sec
13,Long Balls,Wyatt Langford OF | TEX ,,1 min 8 sec
Round 5
Pick,Team,Player,Elig,Elapsed Time,
1,Long Balls,Lawrence Butler OF | ATH ,,10 sec
2,MAGA DOGE ,Mike Trout OF | LAA ,,1 min 14 sec
3,Rieken Havoc,James Wood OF | WAS,,46 sec
4,Young Guns,Framber Valdez P | HOU ,,1 min 59 sec
5,Runtime Terror,Jacob deGrom P | TEX,,10 sec
6,Dawg,Devin Williams P | NYM ,,1 min 18 sec
7,Trex,Marcell Ozuna DH | ATL,,31 sec
8,Magnum GI,Josh Naylor 1B | SEA ,,1 min 27 sec
9,Simba's Dublin Green Sox,Shota Imanaga P | CHC ,,36 sec
10,Gashouse Gang,Xander Bogaerts SS | SD,,1 min 39 sec
11,Big Sticks,Brent Rooker OF | ATH,,1 min 14 sec
12,Guillotine,Mason Miller P | SD ,,37 sec
13,Like a Nightmare,Tyler Glasnow P | LAD ,,1 min 7 sec
Round 6
Pick,Team,Player,Elig,Elapsed Time,
1,Like a Nightmare,Edwin Diaz P | LAD ,,56 sec
2,Guillotine,Bryce Miller P | SEA ,,1 min 11 sec
3,Big Sticks,Teoscar Hernandez OF | LAD,,2 min 13 sec
4,Gashouse Gang,Cody Bellinger OF | NYY ,,49 sec
5,Simba's Dublin Green Sox,Pablo Lopez P | MIN ,,1 min 35 sec
6,Magnum GI,Hunter Greene P | CIN,,44 sec
7,Trex,Josh Hader P | HOU ,,1 min 13 sec
8,Dawg,Aaron Nola P | PHI,,1 min 53 sec
9,Runtime Terror,Spencer Strider P | ATL,,5 sec
10,Young Guns,Brenton Doyle OF | COL,,2 min 28 sec
11,Rieken Havoc,Bo Bichette SS | TOR ,,3 min 18 sec
12,MAGA DOGE ,Raisel Iglesias P | ATL ,,17 sec
13,Long Balls,Luis Robert OF | CHW ,,1 min 26 sec
Round 7
Pick,Team,Player,Elig,Elapsed Time,
