All Second Basemen 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Young Guns,Marcus Semien 2B | NYM ,29,.348,122,100,14,11
Rieken Havoc,Ozzie Albies 2B | ATL ,33,.336,96,109,13,13
Like a Nightmare,Nico Hoerner 2B | CHC,9,.346,98,68,43,25
MAGA DOGE ,Ketel Marte 2B | ARI,25,.358,94,82,8,42
Young Guns,Bryson Stott 2B | PHI,15,.329,78,62,31,44
Big Sticks,Gleyber Torres 2B | DET ,25,.347,90,68,13,47
W ,Andres Gimenez 2B | TOR,15,.314,76,62,30,81
Dawg,"Jose Altuve 2B,OF | HOU ",17,.393,76,51,14,91
W ,Whit Merrifield 2B | ATL,11,.318,66,67,26,93
W ,Brandon Drury 2B | CHW,26,.306,61,83,0,117
W ,Thairo Estrada 2B | COL ,14,.315,63,49,23,121
W ,"Nolan Gorman 2B,3B | STL",27,.328,59,76,7,123
W ,"Jonathan India 2B,3B,OF | KC ",17,.338,78,61,14,126
MAGA DOGE ,Matt McLain 2B | CIN,16,.357,65,50,14,130
W ,"Tommy Edman 2B,OF | LAD ",13,.307,69,47,27,132
Long Balls,"Jazz Chisholm 2B,3B | NYY ",19,.304,50,51,22,143
W ,"Willi Castro 2B,3B,OF | CHC",9,.339,60,34,33,149
W ,"Jeff McNeil 2B,OF | NYM ",10,.333,75,55,10,169
Magnum GI,Brandon Lowe 2B | TB ,21,.328,58,68,7,182
W ,"Orlando Arcia 2B,3B,SS | COL",17,.321,66,65,1,186
W ,"Mauricio Dubon 2B,3B,SS,OF | ATL ",10,.309,76,46,7,190
W ,"Adam Frazier 2B,OF | KC",13,.300,59,60,11,207
W ,"Luis Rengifo 2B,3B | LAA",16,.339,55,51,6,213
W ,Luis Garcia 2B | WAS,9,.303,61,50,9,225
W ,"Edouard Julien 1B,2B | MIN",16,.381,60,37,3,249
W ,Zack Gelof 2B | ATH ,14,.337,40,32,14,262
Magnum GI,Brendan Donovan 2B | STL ,11,.365,48,34,5,291
Simba's Dublin Green Sox,Brice Turang 2B | MIL,6,.285,46,34,26,296
W ,DJ LeMahieu 2B | NYY,15,.327,55,44,2,301
W ,Michael Massey 2B | KC,15,.274,42,55,6,302
Simba's Dublin Green Sox,Jorge Polanco 2B | NYM ,14,.335,38,48,4,305
W ,Kyle Farmer 2B | COL ,11,.314,49,46,2,323
Like a Nightmare,"Jose Caballero 2B,3B,SS,OF | NYY",4,.343,37,26,26,329
W ,Jake Cronenworth 2B | SD,10,.311,54,48,6,333
