All Second Basemen 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Simba's Dublin Green Sox,Brice Turang 2B | MIL,18,.359,97,81,24,26
Long Balls,"Jazz Chisholm 2B,3B | NYY ",31,.332,75,80,31,30
Like a Nightmare,Nico Hoerner 2B | CHC,7,.345,89,61,29,60
MAGA DOGE ,Ketel Marte 2B | ARI,28,.376,87,72,4,68
Dawg,"Jose Altuve 2B,OF | HOU ",26,.329,80,77,10,71
Magnum GI,Brandon Lowe 2B | TB ,31,.307,79,83,3,75
Simba's Dublin Green Sox,"Ceddanne Rafaela 2B,OF | BOS ",16,.294,84,63,20,90
Simba's Dublin Green Sox,Jorge Polanco 2B | NYM ,26,.326,64,78,6,91
Young Guns,Bryson Stott 2B | PHI,13,.328,66,66,24,100
W ,"Xavier Edwards 2B,SS | MIA",3,.343,75,43,27,113
Like a Nightmare,"Jose Caballero 2B,3B,SS,OF | NYY",5,.339,52,36,49,114
Young Guns,"Otto Lopez 2B,SS | MIA",15,.305,66,77,15,115
Rieken Havoc,Ozzie Albies 2B | ATL ,16,.306,74,74,14,116
W ,Luis Garcia 2B | WAS,16,.289,67,66,14,122
Big Sticks,Gleyber Torres 2B | DET ,16,.358,79,74,4,125
Magnum GI,"Lenyn Sosa 1B,2B | CHW",22,.293,57,75,2,134
Trex,Jackson Holliday 2B | BAL,17,.314,70,55,17,140
Magnum GI,"Ernie Clement 2B,3B,SS | TOR",9,.313,83,50,6,165
MAGA DOGE ,Matt McLain 2B | CIN,15,.300,73,50,18,181
Young Guns,Marcus Semien 2B | NYM ,15,.305,62,62,11,195
W ,"Brett Baty 2B,3B | NYM ",18,.313,53,50,8,200
Magnum GI,Brendan Donovan 2B | STL ,10,.353,64,50,3,207
Gashouse Gang,"Romy Gonzalez 1B,2B | BOS",9,.343,47,53,6,222
W ,Jake Cronenworth 2B | SD,11,.367,61,59,3,247
W ,"Brooks Lee 2B,3B,SS | MIN",16,.285,50,64,3,253
W ,"Colt Keith 2B,3B | DET",13,.333,65,45,1,256
Runtime Terror,"Kody Clemens 1B,2B,OF | MIN ",19,.281,46,52,5,277
W ,"Luis Rengifo 2B,3B | LAA",9,.287,55,43,10,291
W ,"Adam Frazier 2B,OF | KC",7,.319,43,44,8,296
W ,"Angel Martinez 2B,OF | CLE",11,.269,56,45,8,298
W ,"Willi Castro 2B,3B,OF | CHC",11,.314,58,33,10,302
W ,"Jeff McNeil 2B,OF | NYM ",12,.335,42,54,3,306
W ,"Tommy Edman 2B,OF | LAD ",13,.274,49,49,3,312
W ,"Gabriel Arias 2B,SS | CLE",11,.275,44,54,8,319
W ,"Chase Meidroth 2B,SS | CHW",5,.329,54,23,14,323
W ,"Daniel Schneemann 2B,3B,OF | CLE",12,.283,48,41,9,345
W ,"Jonathan India 2B,3B,OF | KC ",9,.323,63,45,0,346
Guillotine,Luke Keaschall 2B | MIN ,4,.382,25,28,14,369
W ,"Nolan Gorman 2B,3B | STL",14,.296,48,46,1,377
W ,"Edmundo Sosa 2B,3B | PHI",11,.307,30,39,1,378
W ,"Dylan Moore 2B,OF | TEX",11,.268,35,25,14,388
W ,"Ramon Urias 2B,3B | HOU ",11,.292,33,44,3,394
W ,"Javier Sanoja 2B,3B,OF | MIA",6,.287,40,38,6,402
W ,David Hamilton 2B | BOS,6,.257,27,19,22,408
W ,Andres Gimenez 2B | TOR,7,.285,39,35,12,417
W ,"Brayan Rocchio 2B,SS | CLE",5,.290,34,44,8,424
W ,"Casey Schmitt 2B,3B | SF ",12,.305,34,40,0,431
W ,"Davis Schneider 2B,OF | TOR",11,.361,33,31,3,432
W ,"Miguel Rojas 2B,3B,SS | LAD ",7,.319,35,27,5,433
W ,"Mauricio Dubon 2B,3B,SS,OF | ATL ",7,.289,43,33,3,447
W ,Nick Gonzales 2B | PIT,5,.299,39,30,0,488
W ,Hye Seong Kim 2B | LAD,3,.314,19,17,13,496
W ,Luisangel Acuna 2B | NYM,0,.293,30,8,16,540
W ,"Jose Iglesias 2B,3B,SS | SD",3,.298,29,36,5,541
W ,"Tim Tawa 1B,2B,OF | ARI",7,.274,29,18,8,553
W ,"Christian Koss 2B,SS | SF",3,.308,25,23,4,557
W ,Luis Urias 2B | ATH,8,.315,27,25,2,572
W ,Kyle Farmer 2B | COL ,8,.280,24,31,0,583
W ,"Thomas Saggese 2B,SS | STL",2,.299,25,25,3,592
W ,Kristian Campbell 2B | BOS ,6,.319,24,21,2,644
W ,"Max Muncy 2B,3B | ATH",9,.259,17,23,1,656
W ,Tyler Fitzgerald 2B | SF,4,.279,19,14,9,660
Big Sticks,Christian Moore 2B | LAA,7,.284,20,16,3,679
W ,Leonardo Rivas 2B | SEA,2,.387,19,9,6,684
W ,Michael Massey 2B | KC,3,.268,20,20,2,689
W ,Cole Young 2B | SEA ,4,.302,24,24,1,698
W ,"Ryan Ritter 2B,SS | COL",1,.296,22,18,3,700
W ,Thairo Estrada 2B | COL ,3,.285,14,21,1,710
W ,Ildemaro Vargas 2B | ARI ,3,.292,12,19,0,731
W ,"Max Schuemann 2B,3B,SS | ATH",2,.295,20,13,7,756
W ,Cody Freeman 2B | TEX,3,.258,13,15,1,799
W ,DJ LeMahieu 2B | NYY,2,.338,13,12,0,821
W ,Ryan Fitzgerald 2B | MIN,4,.302,10,9,1,845
W ,Jose Fermin 2B | STL,1,.377,5,9,2,896
W ,Tristan Gray 2B | BOS ,3,.282,9,9,0,904
W ,Brice Matthews 2B | HOU,4,.222,6,9,1,905
W ,"Edouard Julien 1B,2B | MIN",3,.309,13,12,0,918
W ,Nick Yorke 2B | PIT,1,.264,7,8,1,962
W ,"Josh Rojas 2B,3B | CHW",2,.252,14,11,4,972
W ,Brendan Rodgers 2B | HOU,2,.266,12,11,0,979
W ,"Orlando Arcia 2B,3B,SS | COL",3,.238,13,13,0,996
