All Third Basemen 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Young Guns,Jose Ramirez 3B | CLE,29,.355,90,126,20,5
Runtime Terror,Manny Machado 3B | SD,32,.366,100,102,9,8
W ,Austin Riley 3B | ATL ,38,.349,90,93,2,27
Simba's Dublin Green Sox,Nolan Arenado 3B | STL,30,.358,73,103,5,31
Gashouse Gang,Alex Bregman 3B | BOS ,23,.366,93,93,1,66
W ,Amed Rosario 3B | NYY ,11,.312,86,71,18,67
Guillotine,Eugenio Suarez 3B | SEA,31,.332,76,87,0,87
Gashouse Gang,"Carlos Correa 3B,SS | HOU",22,.366,70,64,0,104
MAGA DOGE ,Matt Chapman 3B | SF,27,.324,83,76,2,107
W ,"Josh Rojas 2B,3B | CHW",9,.348,66,56,23,114
Guillotine,Alec Bohm 3B | PHI,13,.315,79,72,2,116
W ,Ryan McMahon 3B | NYY,20,.327,67,67,7,133
W ,"Javier Baez 3B,SS,OF | DET",17,.278,64,67,9,154
W ,Gio Urshela 3B | ATH,13,.338,61,64,1,158
W ,"Isiah Kiner-Falefa 3B,SS | TOR",4,.314,66,48,22,162
W ,Jon Berti 3B | CHC,4,.324,47,28,41,169
W ,Eduardo Escobar 3B | TOR ,20,.295,58,69,0,183
W ,"Luis Rengifo 2B,3B | LAA",17,.294,45,52,6,194
Dawg,Max Muncy 3B | LAD ,21,.329,69,69,2,195
W ,Jose Miranda 3B | MIN ,15,.325,45,66,1,197
W ,Ke'Bryan Hayes 3B | CIN,7,.314,55,41,20,214
Long Balls,"Jazz Chisholm 2B,3B | NYY ",14,.325,39,45,12,216
W ,"Ramon Urias 2B,3B | HOU ",16,.305,50,51,1,237
W ,Santiago Espinal 3B | CIN ,7,.322,51,51,6,238
W ,"Jose Iglesias 2B,3B,SS | SD",3,.328,48,47,2,264
Long Balls,Isaac Paredes 3B | HOU ,20,.304,48,45,0,280
W ,Hunter Dozier 3B | LAA,12,.292,51,41,4,296
W ,"Jonathan India 2B,3B,OF | KC ",10,.327,48,41,3,301
W ,"Willi Castro 2B,3B,OF | CHC",8,.284,47,31,9,322
W ,Emmanuel Rivera 3B | BAL ,12,.292,46,40,1,340
