All Third Basemen 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
W ,Austin Riley 3B | ATL ,37,.345,117,97,3,15
Young Guns,Jose Ramirez 3B | CLE,24,.356,87,80,28,23
Gashouse Gang,Alex Bregman 3B | BOS ,25,.363,103,98,3,40
Dawg,Max Muncy 3B | LAD ,36,.333,95,105,1,46
Runtime Terror,Manny Machado 3B | SD,30,.320,75,91,3,65
Long Balls,Isaac Paredes 3B | HOU ,31,.352,71,98,1,73
Simba's Dublin Green Sox,Nolan Arenado 3B | STL,26,.315,71,93,3,76
Guillotine,Alec Bohm 3B | PHI,20,.327,74,97,4,77
W ,Jeimer Candelario 3B | NYY ,22,.336,77,70,8,108
Magnum GI,Josh Jung 3B | TEX,23,.315,75,70,1,119
W ,"Nolan Gorman 2B,3B | STL",27,.328,59,76,7,123
W ,"Jonathan India 2B,3B,OF | KC ",17,.338,78,61,14,126
W ,Ryan McMahon 3B | NYY,23,.322,80,70,5,131
Guillotine,Eugenio Suarez 3B | SEA,22,.323,68,96,2,139
Long Balls,"Jazz Chisholm 2B,3B | NYY ",19,.304,50,51,22,143
W ,Ke'Bryan Hayes 3B | CIN,15,.309,65,61,10,148
W ,"Willi Castro 2B,3B,OF | CHC",9,.339,60,34,33,149
Rieken Havoc,Maikel Garcia 3B | KC ,4,.323,59,50,23,183
W ,Amed Rosario 3B | NYY ,6,.305,70,58,15,185
W ,"Orlando Arcia 2B,3B,SS | COL",17,.321,66,65,1,186
W ,"Mauricio Dubon 2B,3B,SS,OF | ATL ",10,.309,76,46,7,190
W ,"Luis Rengifo 2B,3B | LAA",16,.339,55,51,6,213
W ,Jon Berti 3B | CHC,7,.344,53,33,16,221
MAGA DOGE ,Matt Chapman 3B | SF,17,.331,66,54,4,226
Long Balls,Royce Lewis 3B | MIN,15,.372,36,52,6,228
Gashouse Gang,"Carlos Correa 3B,SS | HOU",18,.312,60,65,0,248
W ,"Javier Baez 3B,SS,OF | DET",9,.267,58,59,12,271
W ,"Enrique Hernandez 1B,3B,OF | LAD ",11,.289,57,61,4,273
W ,"Zach McKinstry 3B,SS,OF | DET",9,.302,60,35,16,282
W ,Nick Senzel 3B | CHW,13,.297,49,42,6,306
Like a Nightmare,"Jose Caballero 2B,3B,SS,OF | NYY",4,.343,37,26,26,329
W ,"Josh Rojas 2B,3B | CHW",4,.303,47,40,12,338
W ,"Isiah Kiner-Falefa 3B,SS | TOR",6,.306,39,37,14,347
W ,Andy Ibanez 3B | DET ,11,.311,42,41,1,349
W ,Mike Moustakas 3B | CHW ,12,.293,43,48,0,350
W ,Yoan Moncada 3B | LAA,11,.305,39,40,1,375
W ,"Ramon Urias 2B,3B | HOU ",4,.328,45,42,3,388
W ,"Miguel Rojas 2B,3B,SS | LAD ",5,.290,49,31,8,417
W ,Paul DeJong 3B | WAS,14,.258,41,38,4,424
W ,"Edmundo Sosa 2B,3B | PHI",10,.293,34,30,4,431
W ,Nick Madrigal 3B | NYM ,2,.311,34,28,10,444
Dawg,"Jared Triolo 1B,3B,SS | PIT",3,.388,30,21,6,478
W ,Kevin Newman 3B | LAA ,3,.311,28,28,8,492
W ,"Brett Baty 2B,3B | NYM ",9,.275,41,34,2,494
W ,Oswaldo Cabrera 3B | NYY ,5,.275,35,29,8,513
W ,Emmanuel Rivera 3B | BAL ,4,.315,32,29,1,518
W ,Evan Longoria 3B | ARI,11,.295,25,28,0,537
W ,Gio Urshela 3B | ATH,2,.329,22,24,3,539
Simba's Dublin Green Sox,"Miguel Vargas 1B,3B | CHW",7,.305,36,32,3,542
W ,Eduardo Escobar 3B | TOR ,6,.270,32,31,2,546
Rieken Havoc,Jordan Westburg 3B | BAL,3,.311,26,23,4,557
W ,Nicky Lopez 3B | ARI ,1,.326,32,25,6,564
Guillotine,"Noelvi Marte 3B,OF | CIN",3,.366,15,15,6,578
W ,Santiago Espinal 3B | CIN ,2,.309,30,25,2,587
W ,"Miles Mastrobuoni 3B,OF | SEA",1,.308,24,5,13,598
W ,Jordan Diaz 3B | ATH ,10,.273,20,27,0,612
W ,"Casey Schmitt 2B,3B | SF ",5,.256,28,30,2,625
Runtime Terror,Mark Vientos 3B | NYM,9,.253,19,22,1,652
W ,Anthony Rendon 3B | LAA ,2,.361,23,22,2,654
W ,"Miguel Andujar 3B,OF | CIN",4,.300,9,18,2,713
Rieken Havoc,"Josh H. Smith 1B,3B,SS | TEX",6,.304,29,15,1,714
W ,Ronny Mauricio 3B | NYM,2,.296,11,9,7,727
W ,Matt Duffy 3B | TEX,2,.306,17,16,1,747
Magnum GI,"Ernie Clement 2B,3B,SS | TOR",1,.385,7,10,1,788
W ,Oswald Peraza 3B | LAA,2,.267,15,14,4,845
W ,Jose Miranda 3B | MIN ,3,.263,12,13,0,880
W ,"Curtis Mead 1B,3B | CHW",1,.326,12,5,0,919
W ,Hunter Dozier 3B | LAA,2,.253,8,9,2,941
W ,Vidal Brujan 3B | ATL ,0,.241,14,6,3,942
W ,Eguy Rosario 3B | SD ,2,.270,6,6,0,948
W ,Mike Brosseau 3B | SD ,4,.256,4,8,0,961
W ,Josh Harrison 3B | CIN ,2,.263,8,10,0,994
Trex,Junior Caminero 3B | TB,1,.278,4,7,0,1021
W ,Andre Lipcius 3B | CHW ,1,.342,3,4,0,1045
W ,Jonathan Arauz 3B | LAD ,3,.203,3,9,0,1094
W ,Cole Tucker 3B | LAA,0,.600,2,2,0,1113
W ,Danny Mendick 3B | CHW ,1,.232,4,4,1,1137
W ,Jonah Bride 3B | MIN ,0,.286,9,7,0,1170
W ,Jose Tena 3B | WAS,0,.294,2,3,0,1181
W ,Grae Kessinger 3B | ARI ,1,.289,3,1,0,1187
W ,Drew Maggi 3B | PIT,0,.333,1,1,0,1190
W ,Vinny Capra 3B | CHW ,0,.250,3,1,0,1209
W ,Charlie Culberson 3B | ATL,0,1.000,0,0,0,1219
W ,Matt Reynolds 3B | CIN ,0,.200,1,0,0,1237
W ,Diego Castillo 3B | MIN,0,.000,0,0,0,1257
W ,Buddy Kennedy 3B | LAD ,0,.310,1,1,0,1278
W ,Jordan Lawlar 3B | ARI ,0,.206,2,0,1,1289
W ,Juniel Querecuto 3B | STL,0,.143,2,0,0,1307
W ,Ehire Adrianza 3B | LAA,0,.091,0,0,0,1325
W ,Gage Workman 3B | DET ,0,.000,0,0,0,9999
W ,Rubel Cespedes 3B | MIN ,0,.000,0,0,0,9999
W ,Esteban Mejia 3B | TEX ,0,.000,0,0,0,9999
