All Catchers 2021  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Trex,"Salvador Perez C,1B | KC ",48,.316,88,121,1,9
W ,Will Smith C | LAD ,25,.365,71,76,3,95
MAGA DOGE ,J.T. Realmuto C | PHI,17,.343,64,73,13,105
W ,Yasmani Grandal C | PIT,23,.420,60,62,0,168
W ,Eric Haase C | MIL,22,.286,48,61,2,197
W ,Tyler Stephenson C | CIN,10,.366,56,45,0,231
W ,Gary Sanchez C | BAL,23,.307,54,54,0,236
W ,Elias Diaz C | SD ,18,.310,52,44,0,241
W ,Omar Narvaez C | HOU ,11,.342,54,49,0,245
W ,Yan Gomes C | CHC,14,.301,49,52,0,249
W ,Christian Vazquez C | MIN,6,.308,51,49,8,255
W ,Sean Murphy C | ATL ,17,.306,47,59,0,274
W ,Luis Torrens C | NYM,15,.299,39,47,0,298
W ,Carson Kelly C | CHC,13,.343,41,46,0,306
W ,Max Stassi C | SF ,13,.326,45,35,0,314
W ,Jacob Stallings C | BAL,8,.335,38,53,0,323
W ,Tucker Barnhart C | TEX,7,.317,41,48,0,336
W ,Mitch Garver C | SEA ,13,.358,29,34,1,337
W ,James McCann C | ARI ,10,.294,29,46,1,377
W ,Francisco Mejia C | TB ,6,.323,31,35,0,406
W ,Danny Jansen C | TEX ,11,.299,32,28,0,413
W ,Victor Caratini C | HOU,7,.309,33,39,2,416
W ,Ryan Jeffers C | MIN,14,.270,28,35,0,431
W ,Tom Murphy C | SF ,11,.304,35,34,0,435
W ,Jorge Alfaro C | WAS ,4,.283,22,30,8,445
W ,Dom Nunez C | CLE ,10,.293,31,33,0,473
W ,Jonah Heim C | TEX ,10,.239,22,32,3,500
W ,Martin Maldonado C | SD,12,.272,40,36,0,509
W ,Alejandro Kirk C | TOR ,8,.328,19,24,0,510
W ,Jose Trevino C | CIN,5,.267,23,30,1,516
W ,Austin Hedges C | CLE,10,.220,32,31,1,520
W ,Austin Barnes C | LAD,6,.299,28,23,1,523
W ,Kyle Higashioka C | TEX,10,.246,20,29,0,542
W ,Travis d'Arnaud C | LAA ,7,.284,21,26,0,544
Gashouse Gang,William Contreras C | MIL ,8,.303,19,23,0,546
W ,Austin Nola C | COL ,2,.340,15,29,0,551
W ,Zack Collins C | CLE,4,.330,25,26,1,560
W ,Jake Rogers C | DET ,6,.306,17,17,1,567
W ,Curt Casali C | ATL ,5,.313,20,26,0,594
W ,Kevin Plawecki C | TEX ,3,.349,15,15,0,596
W ,Keibert Ruiz C | WAS ,3,.333,10,15,0,644
W ,Seby Zavala C | BOS,5,.240,15,15,0,657
W ,Reese McGuire C | CHC ,1,.310,22,10,0,666
W ,Tomas Nido C | DET ,3,.261,16,13,1,676
W ,Nick Fortes C | TB,4,.353,6,7,1,691
W ,Roberto Perez C | BOS ,7,.245,13,17,1,693
W ,Austin Wynns C | ATH ,4,.232,14,14,1,698
W ,Tres Barrera C | TB ,2,.374,8,10,0,720
W ,Riley Adams C | WAS ,2,.358,13,10,0,728
W ,Yohel Pozo C | STL ,1,.312,8,9,0,734
W ,Michael Perez C | BAL ,7,.221,19,21,0,737
W ,Cam Gallagher C | PHI ,1,.297,9,7,0,766
W ,Sandy Leon C | ATL,4,.237,15,14,0,772
W ,Aramis Garcia C | ARI ,3,.239,8,7,0,778
W ,Rafael Marchan C | PHI ,1,.286,7,4,0,810
W ,Luke Maile C | KC,0,.382,6,3,0,815
W ,Ben Rortvedt C | CIN ,3,.229,8,7,0,822
W ,Andrew Knizner C | SEA ,1,.281,18,9,0,850
W ,Alex Jackson C | MIN ,3,.252,13,12,0,852
Dawg,Cal Raleigh C | SEA,2,.223,6,13,0,876
W ,Austin Allen C | NYM ,1,.250,2,1,0,883
W ,Andrew Knapp C | SF ,2,.215,13,11,0,888
W ,Connor Wong C | BOS ,0,.357,3,1,0,891
W ,Chadwick Tromp C | BAL ,1,.222,1,2,0,897
W ,Joey Bart C | PIT,0,.333,1,1,0,918
W ,Anthony Bemboom C | DET ,0,.250,2,2,0,921
W ,Chad Wallach C | LAA,0,.242,2,6,0,986
W ,Jakson Reetz C | NYM ,0,.500,1,0,0,987
W ,Ali Sanchez C | BOS,0,.500,0,0,0,991
W ,Ronaldo Hernandez C | NYY ,0,.000,0,0,0,1004
W ,Sam Huff C | SF ,0,.000,0,0,0,1004
W ,Mark Kolozsvary C | BOS ,0,.000,0,0,0,1004
