All Outfielders 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Rieken Havoc,Aaron Judge OF | NYY ,62,.425,133,131,16,1
Trex,Kyle Tucker OF | CHC ,30,.330,71,107,25,14
Big Sticks,Adolis Garcia OF | PHI ,27,.300,88,101,25,16
Guillotine,Julio Rodriguez OF | SEA,28,.345,84,75,25,17
Dawg,"Jose Altuve 2B,OF | HOU ",28,.387,103,57,18,19
Guillotine,Randy Arozarena OF | SEA,20,.327,72,89,32,32
Runtime Terror,Mike Trout OF | LAA ,40,.369,85,80,1,33
Gashouse Gang,Cedric Mullins OF | TB ,16,.318,89,64,34,41
Runtime Terror,George Springer OF | TOR ,25,.342,89,76,14,45
W ,"Tommy Edman 2B,OF | LAD ",13,.324,95,57,32,47
Magnum GI,Michael Harris OF | ATL,19,.339,75,64,20,56
Magnum GI,Daulton Varsho OF | TOR,27,.302,79,74,16,69
MAGA DOGE ,Anthony Santander OF | TOR ,33,.318,78,89,0,71
Big Sticks,Ronald Acuna Jr. OF | ATL ,15,.351,71,50,29,76
Big Sticks,Teoscar Hernandez OF | LAD,25,.316,71,77,6,80
Dawg,Steven Kwan OF | CLE,6,.373,89,52,19,82
Young Guns,Juan Soto OF | NYM,27,.401,93,62,6,84
Runtime Terror,Brandon Nimmo OF | TEX ,16,.367,102,64,3,86
Dawg,Bryan Reynolds OF | PIT,27,.345,74,62,7,89
Runtime Terror,Taylor Ward OF | BAL ,23,.360,73,65,5,90
Runtime Terror,Ian Happ OF | CHC,17,.342,72,72,9,97
W ,"Jeff McNeil 2B,OF | NYM ",9,.382,73,62,4,98
W ,Hunter Renfroe OF | KC,29,.315,62,72,1,112
W ,Jorge Mateo OF | BAL ,13,.267,63,50,35,117
W ,Tommy Pham OF | PIT ,17,.312,89,63,8,126
W ,Seth Brown OF | ATH,25,.304,55,73,11,128
W ,Alex Verdugo OF | ATL,11,.328,75,74,1,129
W ,Randal Grichuk OF | KC ,19,.299,60,73,4,134
Gashouse Gang,Cody Bellinger OF | NYY ,19,.266,70,68,14,141
Long Balls,Giancarlo Stanton OF | NYY,31,.297,53,78,0,142
Trex,Byron Buxton OF | MIN,28,.306,61,51,6,144
W ,Jake McCarthy OF | ARI ,8,.342,53,43,23,145
Long Balls,Luis Robert OF | CHW ,12,.319,54,56,11,152
W ,"Javier Baez 3B,SS,OF | DET",17,.278,64,67,9,154
Guillotine,Jurickson Profar OF | ATL,15,.331,82,58,5,159
W ,Mark Canha OF | KC,13,.367,71,61,3,161
W ,Nick Castellanos OF | PHI ,13,.305,56,62,7,174
Young Guns,Tyler O'Neill OF | BAL ,14,.308,56,58,14,175
Magnum GI,Austin Hays OF | CIN ,16,.306,66,60,2,184
W ,Andrew Benintendi OF | CHW ,5,.373,54,51,8,185
Rieken Havoc,Lane Thomas OF | KC ,17,.301,62,52,8,186
Dawg,Seiya Suzuki OF | CHC,14,.336,54,46,9,193
W ,Mike Yastrzemski OF | KC ,17,.305,73,57,5,198
W ,Christopher Morel OF | MIA ,16,.308,55,47,10,200
Trex,Oneil Cruz OF | PIT,17,.294,45,54,10,201
W ,Gavin Lux OF | CIN,6,.346,66,42,7,211
Gashouse Gang,Brandon Marsh OF | PHI,11,.295,49,52,10,222
W ,MJ Melendez OF | KC ,18,.313,57,62,2,224
MAGA DOGE ,"Lourdes Gurriel OF | ARI ",5,.344,52,52,3,225
W ,Nick Gordon OF | BAL ,9,.316,45,50,6,234
W ,Raimel Tapia OF | TB,7,.292,47,52,8,235
W ,Tyrone Taylor OF | NYM ,17,.286,49,51,3,239
W ,Austin Slater OF | NYY,7,.366,49,34,12,248
W ,Oscar Gonzalez OF | SD ,11,.327,39,43,1,250
W ,Chas McCormick OF | HOU ,14,.332,47,44,4,253
Simba's Dublin Green Sox,Lars Nootbaar OF | STL ,14,.340,53,40,4,259
W ,David Peralta OF | SD,12,.316,39,59,1,269
W ,Myles Straw OF | TOR,0,.291,72,32,21,270
Simba's Dublin Green Sox,Trent Grisham OF | NYY ,17,.284,58,53,7,272
W ,"Dylan Moore 2B,OF | TEX",6,.368,41,24,21,275
W ,Michael Taylor OF | CHW,9,.313,49,43,4,278
W ,Bryan De La Cruz OF | NYY ,13,.294,38,43,4,279
W ,Trayce Thompson OF | BOS ,13,.353,36,41,4,281
Simba's Dublin Green Sox,Ramon Laureano OF | SD ,13,.287,49,34,11,282
W ,"Adam Frazier 2B,OF | KC",3,.301,61,42,11,284
W ,Tyler Naquin OF | CHW,11,.282,47,46,4,288
