All Shortstops 2021  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Rieken Havoc,Bo Bichette SS | TOR ,29,.344,121,102,25,2
Like a Nightmare,Trea Turner SS | PHI,28,.375,107,77,32,3
W ,"Javier Baez 3B,SS,OF | DET",31,.319,80,87,18,36
Gashouse Gang,"Carlos Correa 3B,SS | HOU",26,.366,104,92,0,45
W ,Tim Anderson SS | LAA,17,.338,94,61,18,46
Long Balls,Trevor Story SS | BOS ,24,.329,88,75,20,54
Gashouse Gang,Xander Bogaerts SS | SD,23,.370,90,79,5,55
Dawg,Dansby Swanson SS | CHC,27,.311,78,88,9,69
Like a Nightmare,Mookie Betts SS | LAD ,23,.367,93,58,10,78
Big Sticks,Willy Adames SS | SF,25,.337,77,73,5,90
W ,"Isiah Kiner-Falefa 3B,SS | TOR",8,.312,74,53,20,117
Gashouse Gang,Francisco Lindor SS | NYM ,20,.322,73,63,10,128
Rieken Havoc,J.P. Crawford SS | SEA,9,.338,89,54,3,149
W ,Corey Seager SS | TEX ,16,.394,54,57,1,162
W ,"Miguel Rojas 2B,3B,SS | LAD ",9,.322,66,48,13,174
W ,"Jose Iglesias 2B,3B,SS | SD",9,.309,65,48,5,201
W ,Wander Franco SS | TB ,7,.347,53,39,2,271
W ,Jace Peterson SS | ARI,6,.348,36,31,10,326
W ,Aledmys Diaz SS | HOU,8,.317,28,45,0,358
W ,Nick Ahmed SS | TEX,5,.280,46,38,7,372
W ,Yu Chang SS | TB ,9,.267,32,39,1,379
W ,Adalberto Mondesi SS | BOS,6,.271,19,17,15,397
Guillotine,Ha-seong Kim SS | ATL ,8,.270,27,34,6,444
W ,"Zach McKinstry 3B,SS,OF | DET",7,.263,19,29,1,515
W ,"Mauricio Dubon 2B,3B,SS,OF | ATL ",5,.278,20,22,2,529
W ,Erik Gonzalez SS | CIN ,2,.258,17,21,2,625
W ,Zack Short SS | HOU ,6,.239,21,20,2,645
W ,Taylor Walls SS | TB ,1,.314,15,15,4,673
Magnum GI,"Ernie Clement 2B,3B,SS | TOR",3,.285,16,9,0,692
W ,Chris Owings SS | LAD ,1,.420,9,5,2,699
W ,Andrew Velazquez SS | NYY ,1,.235,11,6,4,704
W ,"Orlando Arcia 2B,3B,SS | COL",2,.258,9,14,1,723
W ,Luke Williams SS | ATL,1,.315,8,6,2,750
W ,Alan Trejo SS | COL ,1,.260,7,3,0,832
MAGA DOGE ,Geraldo Perdomo SS | ARI,0,.378,5,1,0,882
W ,Tucupita Marcano SS | SD,0,.280,7,3,0,893
W ,"Gabriel Arias 2B,SS | CLE",0,.000,0,0,0,1004
Young Guns,"Otto Lopez 2B,SS | MIA",0,.000,0,0,0,1037
W ,Kevin Smith SS | NYY ,1,.194,2,1,0,1058
W ,Johan Camargo SS | SF,0,.111,1,0,0,1085
W ,Nic Kent SS | COL ,0,.000,0,0,0,9999
W ,AJ Graffanino SS | BAL ,0,.000,0,0,0,9999
W ,Masyn Winn SS | STL ,0,.000,0,0,0,9999
W ,"Darell Hernaiz 3B,SS | ATH",0,.000,0,0,0,9999
W ,Dauri Fernandez SS | CLE ,0,.000,0,0,0,9999
W ,Kevin Kendall SS | NYM ,0,.000,0,0,0,9999
W ,"Xavier Edwards 2B,SS | MIA",0,.000,0,0,0,9999
Like a Nightmare,"Jose Caballero 2B,3B,SS,OF | NYY",0,.000,0,0,0,9999
W ,Dakota Harris SS | STL ,0,.000,0,0,0,9999
W ,Michael Paez SS | NYM ,0,.000,0,0,0,9999
W ,Dalton Shuffield SS | MIN ,0,.000,0,0,0,9999
W ,Jim Jarvis SS | ATL ,0,.000,0,0,0,9999
W ,Adriam Santana SS | TB ,0,.000,0,0,0,9999
W ,Damon Dues SS | SF ,0,.000,0,0,0,9999
W ,Clay Dungan SS | SD ,0,.000,0,0,0,9999
W ,Connor Justus SS | LAA ,0,.000,0,0,0,9999
W ,Grant Massey SS | CHW ,0,.000,0,0,0,9999
W ,Cade Doughty SS | TOR ,0,.000,0,0,0,9999
W ,Felnin Celesten SS | SEA ,0,.000,0,0,0,9999
W ,Danny Black SS | MIA ,0,.000,0,0,0,9999
W ,Emerson Purroy SS | CLE ,0,.000,0,0,0,9999
W ,Mylz Jones SS | COL ,0,.000,0,0,0,9999
W ,Carlos Santiago SS | MIA ,0,.000,0,0,0,9999
W ,Gianfranco Wawoe SS | SEA ,0,.000,0,0,0,9999
Long Balls,Bobby Witt SS | KC,0,.000,0,0,0,9999
W ,Aaron Blanton SS | MIA ,0,.000,0,0,0,9999
W ,Narbe Cruz SS | HOU ,0,.000,0,0,0,9999
W ,Jimmy Glowenke SS | SF ,0,.000,0,0,0,9999
W ,D'Andre Smith SS | NYM ,0,.000,0,0,0,9999
W ,Francisco Acuna SS | SD ,0,.000,0,0,0,9999
W ,Jose Izarra SS | LAD ,0,.000,0,0,0,9999
W ,Angel Ortega SS | MIL ,0,.000,0,0,0,9999
W ,Logan Ratledge SS | PIT ,0,.000,0,0,0,9999
W ,Bjay Cooke SS | ATH ,0,.000,0,0,0,9999
W ,Delvin Zinn SS | CHC ,0,.000,0,0,0,9999
W ,Eugene Helder SS | SEA ,0,.000,0,0,0,9999
W ,Jared Reaves SS | DET ,0,.000,0,0,0,9999
W ,Dillon Moyer SS | LAD ,0,.000,0,0,0,9999
W ,Mack Chambers SS | STL ,0,.000,0,0,0,9999
W ,Dominic Pitelli SS | CIN ,0,.000,0,0,0,9999
W ,Chase Jaworsky SS | MIA ,0,.000,0,0,0,9999
W ,Jose Baez SS | CLE ,0,.000,0,0,0,9999
W ,Kayson Cunningham SS | ARI ,0,.000,0,0,0,9999
W ,Jacob Amaya SS | CHW ,0,.000,0,0,0,9999
W ,Christopher Torres SS | SEA,0,.000,0,0,0,9999
W ,Wilber Sanchez SS | CHW ,0,.000,0,0,0,9999
W ,Antonio Lamas SS | ATH ,0,.000,0,0,0,9999
W ,Ben Ramirez SS | SEA ,0,.000,0,0,0,9999
W ,Garabez Rosa SS | BAL ,0,.000,0,0,0,9999
W ,A.J. Lee SS | HOU ,0,.000,0,0,0,9999
W ,"Max Schuemann 2B,3B,SS | ATH",0,.000,0,0,0,9999
W ,William Lugo SS | NYM ,0,.000,0,0,0,9999
W ,Demetrius Sims SS | MIA ,0,.000,0,0,0,9999
W ,Dyan Jorge SS | COL ,0,.000,0,0,0,9999
W ,Connor Heady SS | LAD ,0,.000,0,0,0,9999
W ,Grayson Byrd SS | CHC ,0,.000,0,0,0,9999
W ,Roberto Baldoquin SS | LAA ,0,.000,0,0,0,9999
W ,Sammy Stafura SS | CIN ,0,.000,0,0,0,9999
W ,Maick Collado SS | CLE ,0,.000,0,0,0,9999
W ,Jared Serna SS | MIA ,0,.000,0,0,0,9999
W ,Dorian Soto SS | BOS ,0,.000,0,0,0,9999
W ,Mott Hyde SS | HOU ,0,.000,0,0,0,9999
W ,Johnny Adams SS | SEA ,0,.000,0,0,0,9999
W ,Emmanuel Marrero SS | PHI ,0,.000,0,0,0,9999
