All Shortstops 2025  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Long Balls,Bobby Witt SS | KC,23,.351,99,88,38,7
Gashouse Gang,Francisco Lindor SS | NYM ,31,.346,117,86,31,8
MAGA DOGE ,Geraldo Perdomo SS | ARI,20,.389,98,100,27,16
Runtime Terror,Elly De La Cruz SS | CIN ,22,.336,102,86,37,17
Long Balls,Trevor Story SS | BOS ,25,.308,91,96,31,20
Like a Nightmare,Trea Turner SS | PHI,15,.355,94,69,36,22
Young Guns,Gunnar Henderson SS | BAL,17,.349,85,68,30,44
Runtime Terror,C.J. Abrams SS | WAS,19,.316,92,60,31,50
Rieken Havoc,Zachary Neto SS | LAA ,26,.319,82,62,26,52
Rieken Havoc,Bo Bichette SS | TOR ,18,.357,78,94,4,56
Big Sticks,Willy Adames SS | SF,30,.318,94,87,12,67
Dawg,Dansby Swanson SS | CHC,24,.300,84,77,20,69
Dawg,Jeremy Pena SS | HOU,17,.363,68,62,20,73
Like a Nightmare,Mookie Betts SS | LAD ,20,.326,95,82,8,78
W ,"Xavier Edwards 2B,SS | MIA",3,.343,75,43,27,113
Like a Nightmare,"Jose Caballero 2B,3B,SS,OF | NYY",5,.339,52,36,49,114
Young Guns,"Otto Lopez 2B,SS | MIA",15,.305,66,77,15,115
Magnum GI,Jacob Wilson SS | ATH,13,.355,62,63,5,118
Gashouse Gang,Xander Bogaerts SS | SD,11,.329,63,53,20,145
W ,"Zach McKinstry 3B,SS,OF | DET",12,.333,68,49,19,149
Young Guns,"Anthony Volpe SS | NYY ",19,.272,65,72,18,150
Magnum GI,"Ernie Clement 2B,3B,SS | TOR",9,.313,83,50,6,165
Rieken Havoc,J.P. Crawford SS | SEA,12,.352,69,58,8,172
W ,Corey Seager SS | TEX ,21,.373,61,50,2,175
W ,Masyn Winn SS | STL ,9,.310,72,51,9,210
Gashouse Gang,"Carlos Correa 3B,SS | HOU",13,.332,63,52,0,219
Rieken Havoc,"Josh H. Smith 1B,3B,SS | TEX",10,.335,70,35,12,237
W ,"Javier Baez 3B,SS,OF | DET",12,.282,55,57,5,239
W ,Colson Montgomery SS | CHW,21,.311,43,55,0,251
W ,"Brooks Lee 2B,3B,SS | MIN",16,.285,50,64,3,253
W ,Joseph Ortiz SS | MIL,7,.276,62,45,14,272
W ,"Isiah Kiner-Falefa 3B,SS | TOR",2,.297,45,40,15,301
W ,"Gabriel Arias 2B,SS | CLE",11,.275,44,54,8,319
W ,"Chase Meidroth 2B,SS | CHW",5,.329,54,23,14,323
Trex,Ezequiel Tovar SS | COL,9,.294,44,33,5,367
W ,Taylor Walls SS | TB ,4,.280,36,38,14,398
Dawg,"Jared Triolo 1B,3B,SS | PIT",7,.311,41,24,13,411
W ,"Brayan Rocchio 2B,SS | CLE",5,.290,34,44,8,424
W ,"Miguel Rojas 2B,3B,SS | LAD ",7,.319,35,27,5,433
W ,"Mauricio Dubon 2B,3B,SS,OF | ATL ",7,.289,43,33,3,447
W ,"Jose Iglesias 2B,3B,SS | SD",3,.298,29,36,5,541
W ,"Christian Koss 2B,SS | SF",3,.308,25,23,4,557
W ,Trey Sweeney SS | DET,6,.258,36,32,3,580
W ,"Thomas Saggese 2B,SS | STL",2,.299,25,25,3,592
Guillotine,Ha-seong Kim SS | ATL ,5,.304,19,17,6,616
W ,Nasim Nunez SS | WAS,4,.297,13,13,9,626
W ,Andruw Monasterio SS | MIL,4,.319,19,16,2,646
W ,Nick Allen SS | HOU ,0,.284,32,22,8,659
W ,"Ezequiel Duran 1B,SS | TEX",0,.266,16,14,11,696
W ,"Ryan Ritter 2B,SS | COL",1,.296,22,18,3,700
W ,"Max Schuemann 2B,3B,SS | ATH",2,.295,20,13,7,756
W ,"Darell Hernaiz 3B,SS | ATH",2,.292,17,16,3,759
W ,Liover Peguero SS | PIT ,4,.273,9,8,4,830
Rieken Havoc,Carson Williams SS | TB,5,.219,11,12,2,846
W ,Zack Short SS | HOU ,2,.291,9,7,0,947
W ,Luke Williams SS | ATL,0,.176,5,5,5,983
W ,"Orlando Arcia 2B,3B,SS | COL",3,.238,13,13,0,996
W ,Denzer Guzman SS | LAA,2,.209,4,3,0,1109
W ,Mason McCoy SS | SD,0,.269,5,1,2,1125
W ,Tim Anderson SS | LAA,0,.258,8,3,1,1138
W ,Jacob Amaya SS | CHW ,0,.139,7,8,2,1181
W ,Jonathan Ornelas SS | ATL ,0,.300,1,0,0,1267
W ,Nick Ahmed SS | TEX,0,.100,1,0,1,1288
W ,Alan Trejo SS | COL ,0,.191,3,1,0,1315
W ,Tsung-Che Cheng SS | PIT,0,.000,0,0,0,1343
W ,Alexander Vargas SS | NYY ,0,.000,0,0,0,9999
W ,Ali Camarillo SS | ATH ,0,.000,0,0,0,9999
W ,Luis Pintor SS | MIA ,0,.000,0,0,0,9999
W ,Tyler Depreta-Johnson SS | TEX ,0,.000,0,0,0,9999
W ,Collin Burns SS | BAL ,0,.000,0,0,0,9999
W ,Ben Ramirez SS | SEA ,0,.000,0,0,0,9999
W ,A.J. Lee SS | HOU ,0,.000,0,0,0,9999
W ,Marcus Lemon SS | CHW ,0,.000,0,0,0,9999
W ,Cito Culver SS | MIA ,0,.000,0,0,0,9999
W ,Aledmys Diaz SS | HOU,0,.000,0,0,0,9999
W ,Austin Aune SS | NYY ,0,.000,0,0,0,9999
W ,Josh Kasevich SS | TOR,0,.000,0,0,0,9999
W ,Robelys Reyes SS | STL ,0,.000,0,0,0,9999
W ,Garrett Mattlage SS | DET ,0,.000,0,0,0,9999
W ,Tucupita Marcano SS | SD,0,.000,0,0,0,9999
W ,Yosmany Guerra SS | MIA ,0,.000,0,0,0,9999
W ,Dawel Joseph SS | SEA ,0,.000,0,0,0,9999
