All Utility Players 2022  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Rieken Havoc,Aaron Judge OF | NYY ,62,.425,133,131,16,1
Trex,Paul Goldschmidt 1B | NYY,35,.404,106,115,7,2
Rieken Havoc,Freddie Freeman 1B | LAD,21,.407,117,100,13,3
Young Guns,Jose Ramirez 3B | CLE,29,.355,90,126,20,5
Like a Nightmare,Trea Turner SS | PHI,21,.343,101,100,27,6
Simba's Dublin Green Sox,Pete Alonso 1B | BAL ,40,.352,95,131,5,7
Runtime Terror,Manny Machado 3B | SD,32,.366,100,102,9,8
Like a Nightmare,Mookie Betts SS | LAD ,35,.340,117,82,12,9
Long Balls,Yordan Alvarez DH | HOU ,37,.406,95,97,1,10
Gashouse Gang,Francisco Lindor SS | NYM ,26,.339,98,107,16,12
Dawg,Dansby Swanson SS | CHC,25,.329,99,96,18,13
Trex,Kyle Tucker OF | CHC ,30,.330,71,107,25,14
MAGA DOGE ,Shohei Ohtani (Batter) DH | LAD ,34,.356,90,95,11,15
Big Sticks,Adolis Garcia OF | PHI ,27,.300,88,101,25,16
Guillotine,Julio Rodriguez OF | SEA,28,.345,84,75,25,17
Dawg,"Jose Altuve 2B,OF | HOU ",28,.387,103,57,18,19
Guillotine,Kyle Schwarber DH | PHI ,46,.323,100,94,10,20
Rieken Havoc,Bo Bichette SS | TOR ,24,.333,91,93,13,23
MAGA DOGE ,Vladimir Guerrero Jr. 1B | TOR,32,.339,90,97,8,24
Young Guns,Marcus Semien 2B | NYM ,26,.304,101,83,25,25
W ,Austin Riley 3B | ATL ,38,.349,90,93,2,27
Simba's Dublin Green Sox,Nolan Arenado 3B | STL,30,.358,73,103,5,31
Guillotine,Randy Arozarena OF | SEA,20,.327,72,89,32,32
Runtime Terror,Mike Trout OF | LAA ,40,.369,85,80,1,33
Long Balls,Bobby Witt SS | KC,20,.294,82,80,30,36
MAGA DOGE ,J.T. Realmuto C | PHI,22,.342,75,84,21,39
Big Sticks,Rafael Devers 1B | SF,27,.358,84,88,3,40
Gashouse Gang,Cedric Mullins OF | TB ,16,.318,89,64,34,41
Runtime Terror,George Springer OF | TOR ,25,.342,89,76,14,45
W ,"Tommy Edman 2B,OF | LAD ",13,.324,95,57,32,47
Big Sticks,Willy Adames SS | SF,31,.298,83,98,8,48
Big Sticks,Christian Walker 1B | HOU,36,.327,84,94,2,50
Big Sticks,Matt Olson 1B | ATL,34,.325,86,103,0,51
Magnum GI,Michael Harris OF | ATL,19,.339,75,64,20,56
MAGA DOGE ,Nate Lowe 1B | BOS ,27,.358,74,76,2,57
W ,Corey Seager SS | TEX ,33,.317,91,83,3,59
W ,Brandon Drury 2B | CHW,28,.320,87,87,2,60
W ,C.J. Cron 1B | BOS ,29,.315,79,102,0,61
W ,Andres Gimenez 2B | TOR,17,.371,66,69,20,63
Gashouse Gang,Xander Bogaerts SS | SD,15,.377,84,73,8,64
Gashouse Gang,Alex Bregman 3B | BOS ,23,.366,93,93,1,66
W ,Amed Rosario 3B | NYY ,11,.312,86,71,18,67
W ,Starling Marte DH | NYM,16,.346,76,63,18,68
Magnum GI,Daulton Varsho OF | TOR,27,.302,79,74,16,69
MAGA DOGE ,Anthony Santander OF | TOR ,33,.318,78,89,0,71
W ,Jose Abreu 1B | HOU,15,.379,85,75,0,73
Big Sticks,Ronald Acuna Jr. OF | ATL ,15,.351,71,50,29,76
Big Sticks,Gleyber Torres 2B | DET ,24,.310,73,76,10,77
MAGA DOGE ,Christian Yelich DH | MIL,14,.355,99,57,19,79
Big Sticks,Teoscar Hernandez OF | LAD,25,.316,71,77,6,80
W ,Rhys Hoskins 1B | MIL ,30,.332,81,79,2,81
Dawg,Steven Kwan OF | CLE,6,.373,89,52,19,82
Young Guns,Juan Soto OF | NYM,27,.401,93,62,6,84
W ,Anthony Rizzo 1B | NYY,32,.338,77,75,6,85
Runtime Terror,Brandon Nimmo OF | TEX ,16,.367,102,64,3,86
Guillotine,Eugenio Suarez 3B | SEA,31,.332,76,87,0,87
Dawg,Bryan Reynolds OF | PIT,27,.345,74,62,7,89
Runtime Terror,Taylor Ward OF | BAL ,23,.360,73,65,5,90
W ,Rowdy Tellez 1B | TEX,35,.305,67,89,2,92
W ,Thairo Estrada 2B | COL ,14,.322,71,62,21,94
W ,Will Smith C | LAD ,24,.343,68,87,1,95
Runtime Terror,Ian Happ OF | CHC,17,.342,72,72,9,97
W ,"Jeff McNeil 2B,OF | NYM ",9,.382,73,62,4,98
Runtime Terror,Bryce Harper 1B | PHI,18,.364,63,65,11,99
Dawg,Jeremy Pena SS | HOU,22,.289,72,63,11,103
Gashouse Gang,"Carlos Correa 3B,SS | HOU",22,.366,70,64,0,104
W ,Ty France 1B | TOR,20,.340,65,84,0,105
MAGA DOGE ,Matt Chapman 3B | SF,27,.324,83,76,2,107
Trex,Luis Arraez 1B | SD,8,.375,88,49,4,108
W ,Jake Cronenworth 2B | SD,17,.332,88,88,3,109
W ,Hunter Renfroe OF | KC,29,.315,62,72,1,112
W ,"Josh Rojas 2B,3B | CHW",9,.348,66,56,23,114
W ,Ryan Mountcastle 1B | BAL,22,.305,62,85,4,115
Guillotine,Alec Bohm 3B | PHI,13,.315,79,72,2,116
W ,Jorge Mateo OF | BAL ,13,.267,63,50,35,117
W ,Joc Pederson DH | TEX,23,.353,57,70,3,119
Like a Nightmare,Nico Hoerner 2B | CHC,10,.327,60,55,20,121
W ,Tommy Pham OF | PIT ,17,.312,89,63,8,126
W ,Josh Bell 1B | WAS ,17,.362,78,71,0,127
W ,Seth Brown OF | ATH,25,.304,55,73,11,128
W ,Alex Verdugo OF | ATL,11,.328,75,74,1,129
W ,Justin Turner 1B | CHC ,13,.350,61,81,3,130
W ,Ryan McMahon 3B | NYY,20,.327,67,67,7,133
W ,Randal Grichuk OF | KC ,19,.299,60,73,4,134
W ,J.D. Martinez DH | NYM,16,.341,76,62,0,136
Magnum GI,Josh Naylor 1B | SEA ,20,.319,47,79,6,137
W ,Whit Merrifield 2B | ATL,11,.298,70,58,16,138
W ,Kolten Wong 2B | BAL ,15,.339,65,47,17,139
Long Balls,Andrew Vaughn 1B | MIL,17,.321,60,76,0,140
Gashouse Gang,Cody Bellinger OF | NYY ,19,.266,70,68,14,141
Long Balls,Giancarlo Stanton OF | NYY,31,.297,53,78,0,142
Trex,Byron Buxton OF | MIN,28,.306,61,51,6,144
W ,Jake McCarthy OF | ARI ,8,.342,53,43,23,145
W ,Patrick Wisdom 1B | CHC,25,.298,67,66,8,146
Like a Nightmare,Yandy Diaz 1B | TB,9,.401,71,57,3,149
W ,Andrew McCutchen DH | PIT,17,.316,66,69,8,150
Long Balls,Trevor Story SS | BOS ,16,.303,53,66,13,151
Long Balls,Luis Robert OF | CHW ,12,.319,54,56,11,152
Trex,"Salvador Perez C,1B | KC ",23,.292,48,76,0,153
W ,"Javier Baez 3B,SS,OF | DET",17,.278,64,67,9,154
W ,Gio Urshela 3B | ATH,13,.338,61,64,1,158
Guillotine,Jurickson Profar OF | ATL,15,.331,82,58,5,159
W ,Willson Contreras 1B | STL ,22,.349,65,55,4,160
W ,Mark Canha OF | KC,13,.367,71,61,3,161
W ,"Isiah Kiner-Falefa 3B,SS | TOR",4,.314,66,48,22,162
W ,Kyle Farmer 2B | COL ,14,.315,58,78,4,165
W ,Alejandro Kirk C | TOR ,14,.371,59,63,0,166
W ,Sean Murphy C | ATL ,18,.332,67,66,1,167
W ,Travis d'Arnaud C | LAA ,18,.319,61,60,0,168
W ,Jon Berti 3B | CHC,4,.324,47,28,41,169
W ,Brendan Rodgers 2B | HOU,13,.325,72,63,0,170
W ,Wilmer Flores 1B | SF,19,.316,72,71,0,173
W ,Nick Castellanos OF | PHI ,13,.305,56,62,7,174
Young Guns,Tyler O'Neill OF | BAL ,14,.308,56,58,14,175
Guillotine,Ha-seong Kim SS | ATL ,11,.325,58,59,12,180
W ,Eduardo Escobar 3B | TOR ,20,.295,58,69,0,183
Magnum GI,Austin Hays OF | CIN ,16,.306,66,60,2,184
W ,Andrew Benintendi OF | CHW ,5,.373,54,51,8,185
Rieken Havoc,Lane Thomas OF | KC ,17,.301,62,52,8,186
Gashouse Gang,William Contreras C | MIL ,20,.354,51,45,2,188
W ,DJ LeMahieu 2B | NYY,12,.357,74,46,4,189
W ,Luke Voit 1B | NYM ,22,.308,55,69,1,192
Dawg,Seiya Suzuki OF | CHC,14,.336,54,46,9,193
W ,"Luis Rengifo 2B,3B | LAA",17,.294,45,52,6,194
Dawg,Max Muncy 3B | LAD ,21,.329,69,69,2,195
Dawg,Cal Raleigh C | SEA,27,.284,46,63,1,196
W ,Jose Miranda 3B | MIN ,15,.325,45,66,1,197
W ,Mike Yastrzemski OF | KC ,17,.305,73,57,5,198
W ,Christopher Morel OF | MIA ,16,.308,55,47,10,200
Trex,Oneil Cruz OF | PIT,17,.294,45,54,10,201
Trex,Marcell Ozuna DH | ATL,23,.274,56,56,2,202
Guillotine,Adley Rutschman C | BAL,13,.362,70,42,4,205
W ,Eloy Jimenez DH | TB ,16,.358,40,54,0,209
W ,Gavin Lux OF | CIN,6,.346,66,42,7,211
W ,Trey Mancini 1B | ARI ,18,.319,56,63,0,212
MAGA DOGE ,Ketel Marte 2B | ARI,12,.321,68,52,5,213
W ,Ke'Bryan Hayes 3B | CIN,7,.314,55,41,20,214
W ,Harold Ramirez DH | WAS,6,.343,46,58,3,215
Long Balls,"Jazz Chisholm 2B,3B | NYY ",14,.325,39,45,12,216
Young Guns,Bryson Stott 2B | PHI,10,.295,58,49,12,219
Simba's Dublin Green Sox,Jorge Polanco 2B | NYM ,16,.346,54,56,3,220
Gashouse Gang,Brandon Marsh OF | PHI,11,.295,49,52,10,222
W ,MJ Melendez OF | KC ,18,.313,57,62,2,224
MAGA DOGE ,"Lourdes Gurriel OF | ARI ",5,.344,52,52,3,225
W ,Tim Anderson SS | LAA,6,.339,50,25,13,228
W ,Daniel Vogelbach DH | TOR,18,.360,47,59,0,229
Magnum GI,Brendan Donovan 2B | STL ,5,.394,64,45,2,232
W ,Nick Gordon OF | BAL ,9,.316,45,50,6,234
W ,Raimel Tapia OF | TB,7,.292,47,52,8,235
W ,"Ramon Urias 2B,3B | HOU ",16,.305,50,51,1,237
W ,Santiago Espinal 3B | CIN ,7,.322,51,51,6,238
W ,Tyrone Taylor OF | NYM ,17,.286,49,51,3,239
W ,Tony Kemp 2B | MIN ,7,.307,61,46,11,245
W ,Luis Urias 2B | ATH,16,.335,54,47,1,246
W ,Austin Slater OF | NYY,7,.366,49,34,12,248
W ,Oscar Gonzalez OF | SD ,11,.327,39,43,1,250
W ,Yuli Gurriel DH | SD,8,.288,53,53,8,251
W ,Chas McCormick OF | HOU ,14,.332,47,44,4,253
Simba's Dublin Green Sox,Lars Nootbaar OF | STL ,14,.340,53,40,4,259
W ,Jonah Heim C | TEX ,16,.298,51,48,2,261
W ,Carlos Santana 1B | CHC,19,.316,52,60,0,262
W ,"Jose Iglesias 2B,3B,SS | SD",3,.328,48,47,2,264
W ,Christian Vazquez C | MIN,9,.315,41,52,1,265
W ,Joey Meneses 1B | NYM ,13,.367,33,34,1,266
W ,David Peralta OF | SD,12,.316,39,59,1,269
W ,Myles Straw OF | TOR,0,.291,72,32,21,270
Simba's Dublin Green Sox,Trent Grisham OF | NYY ,17,.284,58,53,7,272
W ,Wander Franco SS | TB ,6,.329,46,33,8,274
W ,"Dylan Moore 2B,OF | TEX",6,.368,41,24,21,275
W ,Danny Jansen C | TEX ,15,.339,34,44,1,277
W ,Michael Taylor OF | CHW,9,.313,49,43,4,278
W ,Bryan De La Cruz OF | NYY ,13,.294,38,43,4,279
Long Balls,Isaac Paredes 3B | HOU ,20,.304,48,45,0,280
W ,Trayce Thompson OF | BOS ,13,.353,36,41,4,281
Simba's Dublin Green Sox,Ramon Laureano OF | SD ,13,.287,49,34,11,282
W ,"Adam Frazier 2B,OF | KC",3,.301,61,42,11,284
W ,Eric Haase C | MIL,14,.305,41,44,0,285
W ,Jace Peterson SS | ARI,8,.316,44,34,12,287
W ,Tyler Naquin OF | CHW,11,.282,47,46,4,288
W ,Rougned Odor 2B | SD ,13,.275,49,53,6,290
Like a Nightmare,Harrison Bader OF | PHI ,5,.294,38,30,17,292
W ,Yonathan Daza OF | COL ,2,.349,56,34,0,294
W ,Hunter Dozier 3B | LAA,12,.292,51,41,4,296
W ,Gary Sanchez C | BAL,16,.282,42,61,2,298
W ,Jack Suwinski OF | PIT ,19,.298,45,38,4,299
W ,Dylan Carlson OF | BAL ,8,.316,56,42,5,300
W ,"Jonathan India 2B,3B,OF | KC ",10,.327,48,41,3,301
W ,Manuel Margot OF | DET ,4,.325,36,47,7,302
W ,Chris Taylor OF | LAA,10,.304,45,43,10,305
W ,Gavin Sheets OF | SD,15,.295,34,53,0,306
