All Utility Players 2023  Season MLB Scoring Categories
Avail,Player,HR,OBP,R,RBI,SB,Rank,
Big Sticks,Ronald Acuna Jr. OF | ATL ,41,.416,149,106,73,1
Big Sticks,Matt Olson 1B | ATL,54,.389,127,139,1,2
Rieken Havoc,Freddie Freeman 1B | LAD,29,.410,131,102,23,3
Like a Nightmare,Mookie Betts SS | LAD ,39,.408,126,107,14,4
Magnum GI,Corbin Carroll OF | ARI,25,.361,116,76,54,5
Long Balls,Bobby Witt SS | KC,30,.319,97,96,49,6
MAGA DOGE ,Shohei Ohtani (Batter) DH | LAD ,44,.412,102,95,20,7
Guillotine,Julio Rodriguez OF | SEA,32,.333,102,103,37,8
Trex,Kyle Tucker OF | CHC ,29,.369,97,112,30,9
Gashouse Gang,Francisco Lindor SS | NYM ,31,.336,108,98,31,10
Young Guns,Marcus Semien 2B | NYM ,29,.348,122,100,14,11
Gashouse Gang,Cody Bellinger OF | NYY ,26,.356,95,97,20,12
Rieken Havoc,Ozzie Albies 2B | ATL ,33,.336,96,109,13,13
Young Guns,Juan Soto OF | NYM,35,.410,97,109,12,14
W ,Austin Riley 3B | ATL ,37,.345,117,97,3,15
Big Sticks,Adolis Garcia OF | PHI ,39,.328,108,107,9,16
Like a Nightmare,Trea Turner SS | PHI,26,.320,102,76,30,17
Long Balls,Luis Robert OF | CHW ,38,.315,90,80,20,18
W ,Corey Seager SS | TEX ,33,.390,88,96,2,19
Rieken Havoc,Lane Thomas OF | KC ,28,.315,101,86,20,21
Young Guns,Jose Ramirez 3B | CLE,24,.356,87,80,28,23
MAGA DOGE ,Christian Yelich DH | MIL,19,.370,106,76,28,24
Like a Nightmare,Nico Hoerner 2B | CHC,9,.346,98,68,43,25
Simba's Dublin Green Sox,Pete Alonso 1B | BAL ,46,.318,92,118,4,26
Like a Nightmare,Joshua Lowe OF | TB,20,.335,71,83,32,27
Like a Nightmare,Fernando Tatis Jr. OF | SD,25,.322,91,78,29,28
Big Sticks,Christian Walker 1B | HOU,33,.333,86,103,11,29
Trex,Marcell Ozuna DH | ATL,40,.346,84,100,0,30
Big Sticks,Rafael Devers 1B | SF,33,.351,90,100,5,31
W ,Nick Castellanos OF | PHI ,29,.311,79,106,11,32
Runtime Terror,C.J. Abrams SS | WAS,18,.299,83,64,47,33
Guillotine,Randy Arozarena OF | SEA,23,.364,95,83,22,34
Guillotine,Kyle Schwarber DH | PHI ,47,.343,108,104,0,35
Like a Nightmare,Yandy Diaz 1B | TB,22,.410,95,78,0,37
Guillotine,Ha-seong Kim SS | ATL ,17,.351,84,60,38,38
Young Guns,Gunnar Henderson SS | BAL,28,.325,100,82,10,39
Gashouse Gang,Alex Bregman 3B | BOS ,25,.363,103,98,3,40
Long Balls,Yordan Alvarez DH | HOU ,31,.407,77,97,0,41
MAGA DOGE ,Ketel Marte 2B | ARI,25,.358,94,82,8,42
Young Guns,Bryson Stott 2B | PHI,15,.329,78,62,31,44
Trex,Paul Goldschmidt 1B | NYY,25,.363,89,80,11,45
Dawg,Max Muncy 3B | LAD ,36,.333,95,105,1,46
Big Sticks,Gleyber Torres 2B | DET ,25,.347,90,68,13,47
Rieken Havoc,Aaron Judge OF | NYY ,37,.406,79,75,3,48
MAGA DOGE ,Spencer Steer 1B | CIN,23,.356,74,86,15,49
W ,Justin Turner 1B | CHC ,23,.345,86,96,4,50
Simba's Dublin Green Sox,TJ Friedl OF | CIN,18,.352,73,66,27,51
Dawg,Bryan Reynolds OF | PIT,24,.330,85,84,12,52
W ,Esteury Ruiz OF | LAD,5,.309,47,47,67,53
Runtime Terror,Bryce Harper 1B | PHI,21,.401,84,72,11,54
Runtime Terror,George Springer OF | TOR ,21,.328,87,72,20,55
W ,J.D. Martinez DH | NYM,33,.321,61,103,1,56
MAGA DOGE ,Anthony Santander OF | TOR ,28,.325,81,95,5,57
Gashouse Gang,Xander Bogaerts SS | SD,19,.350,83,58,19,61
MAGA DOGE ,Vladimir Guerrero Jr. 1B | TOR,26,.345,78,94,5,62
W ,Wander Franco SS | TB ,17,.344,65,58,30,63
Magnum GI,Michael Harris OF | ATL,18,.331,76,57,20,64
Runtime Terror,Manny Machado 3B | SD,30,.320,75,91,3,65
Runtime Terror,Ian Happ OF | CHC,21,.360,86,84,14,67
W ,James Outman OF | MIN,23,.353,86,70,16,68
Long Balls,Spencer Torkelson 1B | DET,31,.313,88,94,3,69
Gashouse Gang,William Contreras C | MIL ,17,.369,86,78,6,70
