"last_name, first_name","player_id","year","player_age","ab","pa","hit","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","b_rbi","r_total_caught_stealing","r_total_stolen_base","b_intent_walk","r_run","xba","xslg","xwoba","xobp","exit_velocity_avg","launch_angle_avg","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent","sprint_speed"
"Solano, Donovan",456781,2023,35,394,450,111,79,26,1,5,100,40,22.2,8.9,".282",".391",".369","0.760","0.109",".366","38","0","0","1","43",".284",".429",".351",".371","90.2","13.1",43.1,6.1,43.7,"100.102935676","94.475306983",25.4,47.4,"25.4"
"Verdugo, Alex",657077,2023,27,546,602,144,89,37,5,13,93,45,15.4,7.5,".264",".421",".324","0.745","0.157",".294","54","3","5","1","81",".278",".417",".331",".340","89.2","8.8",35.4,5,37.6,"99.116993728","93.701176864",15.6,40.9,"27.3"
"Choi, Ji Man",596847,2023,32,104,117,17,6,5,0,6,35,10,29.9,8.5,".163",".385",".239","0.624","0.222",".169","13","0","0","0","12",".237",".493",".349",".312","93.4","11.9",33.8,19.7,59.2,"103.507719167","97.052984225",30.8,46.4,"24.9"
"Benintendi, Andrew",643217,2023,28,562,621,147,106,34,2,5,89,52,14.3,8.4,".262",".356",".326","0.682","0.094",".301","45","2","13","5","72",".270",".375",".310",".334","86.6","14.5",40.9,2.9,27,"95.498075212","91.757391695",19.3,49,"27.3"
"Zavala, Seby",664874,2023,29,175,193,30,19,4,0,7,70,12,36.3,6.2,".171",".314",".230","0.544","0.143",".230","18","0","1","0","17",".188",".305",".246",".249","87.5","14.9",34.9,5.5,36.7,"97.657285556","92.931823645",38.4,54.3,"26.4"
"McCormick, Chas",676801,2023,28,403,457,110,69,17,2,22,117,40,25.6,8.8,".273",".489",".353","0.842","0.216",".331","70","6","19","0","59",".246",".457",".341",".330","88","14.6",38.4,11.1,38.8,"98.933604225","93.594692676",29.4,49.2,"28.2"
"Benson, Will",666181,2023,25,287,329,79,45,15,8,11,103,40,31.3,12.2,".275",".498",".365","0.863","0.223",".391","31","3","19","0","51",".230",".398",".321",".327","90.2","14.6",40.5,10.3,42.2,"100.059735699","94.448386703",31.5,42.8,"28.8"
"Julien, Edouard",666397,2023,24,338,408,89,56,16,1,16,128,64,31.4,15.7,".263",".459",".381","0.840","0.196",".371","37","0","3","0","60",".233",".427",".345",".357","89.5","8",38.8,13.1,44.9,"100.916636636","94.651510141",29.1,37.6,"27.0"
"Harris II, Michael",671739,2023,22,505,539,148,94,33,3,18,101,25,18.7,4.6,".293",".477",".331","0.808","0.184",".334","57","4","20","1","76",".304",".490",".357",".342","90.9","7.6",34.6,10,48.5,"103.586789505","96.131496609",24.4,52.9,"28.8"
"Segura, Jean",516416,2023,33,301,326,66,56,5,2,3,47,22,14.4,6.7,".219",".279",".277","0.556","0.060",".251","21","2","6","1","25",".239",".340",".281",".296","88","2.9",22.4,3.5,38.8,"99.845816452","94.042211093",19.2,50.5,"27.4"
