#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
1,Aaron Judge,NYY,156,672,45,116,110,9,17.70%,24.50%,0.303,0.325,0.285,0.417,0.588,0.415,172,-1.9,54.9,-7.3,7.2
2,Bobby Witt Jr.,KCR,157,679,28,104,92,34,7.40%,16.70%,0.219,0.316,0.292,0.349,0.511,0.364,133,3.7,29.7,14,6.9
3,Julio Rodríguez,SEA,159,686,33,94,101,25,7.20%,21.70%,0.216,0.31,0.275,0.334,0.49,0.352,133,1.8,28.6,8.4,6.2
4,Juan Soto,NYM,159,686,38,111,102,22,18.90%,17.80%,0.26,0.285,0.274,0.413,0.534,0.403,165,-0.7,52.1,-15,6.1
5,Cal Raleigh,SEA,159,637,39,91,94,8,12.40%,26.70%,0.257,0.254,0.23,0.331,0.487,0.345,129,-2.1,19.7,8.1,6.1
6,Gunnar Henderson,BAL,156,672,28,95,94,23,10.60%,20.20%,0.214,0.31,0.274,0.356,0.488,0.362,135,2.5,30.3,5.4,6
7,Fernando Tatis Jr.,SDP,156,672,33,106,85,26,10.90%,19.30%,0.228,0.3,0.275,0.36,0.503,0.369,142,2.4,35.8,-3.8,5.6
8,Shohei Ohtani,LAD,157,679,45,122,101,23,13.90%,24.40%,0.3,0.308,0.275,0.38,0.576,0.397,158,1,47.6,-17,5.4
9,Junior Caminero,TBR,154,665,43,94,115,6,6.80%,18.80%,0.262,0.283,0.278,0.33,0.54,0.368,137,-0.6,28.6,1.2,5.4
10,Francisco Lindor,NYM,159,686,28,100,78,24,9.00%,18.30%,0.193,0.283,0.259,0.337,0.452,0.342,123,0.8,19.4,8.6,5.2
11,Vladimir Guerrero Jr.,TOR,157,679,34,100,106,5,11.60%,13.60%,0.234,0.304,0.299,0.385,0.533,0.389,153,-1.5,41.1,-13.7,5.2
12,Ronald Acuña Jr.,ATL,151,651,30,106,82,23,13.40%,20.00%,0.218,0.323,0.286,0.388,0.503,0.383,148,2.5,39.2,-10.9,5.1
13,Corbin Carroll,ARI,154,665,29,99,93,35,10.80%,20.60%,0.238,0.292,0.261,0.349,0.499,0.362,132,5.6,31.2,-4.1,5
14,Elly De La Cruz,CIN,156,672,25,90,89,41,10.20%,25.00%,0.202,0.324,0.264,0.342,0.466,0.345,117,4.7,18.3,8.3,5
15,Mookie Betts,LAD,151,651,24,96,81,9,10.80%,11.80%,0.193,0.278,0.273,0.355,0.467,0.355,129,-0.7,21.7,4.9,4.9
16,José Ramírez,CLE,157,679,30,93,98,34,9.70%,12.00%,0.215,0.274,0.275,0.348,0.49,0.351,127,2.2,24,-0.1,4.8
17,Ketel Marte,ARI,147,637,28,96,84,6,10.90%,16.30%,0.215,0.299,0.28,0.365,0.495,0.368,136,-0.7,26.7,-1.3,4.8
18,Yordan Alvarez,HOU,130,560,31,91,85,4,12.70%,17.00%,0.258,0.316,0.3,0.397,0.558,0.401,161,-1.7,38.9,-11.5,4.8
19,Geraldo Perdomo,ARI,159,686,15,94,67,23,12.10%,13.10%,0.142,0.295,0.27,0.365,0.412,0.343,119,1.2,16.9,6.7,4.8
20,Alejandro Kirk,TOR,125,495,16,60,62,1,10.30%,12.30%,0.159,0.288,0.276,0.354,0.435,0.344,122,-2.6,10.1,7,4.6
21,William Contreras,MIL,152,610,21,77,78,6,11.80%,18.80%,0.175,0.306,0.27,0.359,0.445,0.349,125,-1.4,16.8,6.1,4.5
22,Pete Crow-Armstrong,CHC,149,644,26,80,88,35,5.50%,23.50%,0.2,0.292,0.252,0.301,0.452,0.322,108,3,9.1,13,4.5
23,Jackson Merrill,SDP,146,630,24,82,82,7,6.70%,19.20%,0.197,0.301,0.269,0.322,0.466,0.338,121,0.9,16.3,5.9,4.4
24,Kyle Tucker,,152,658,29,98,87,21,13.60%,15.20%,0.215,0.278,0.268,0.371,0.483,0.366,136,1.1,29.5,-9.2,4.4
25,Corey Seager,TEX,130,560,27,78,81,3,10.80%,18.20%,0.222,0.295,0.275,0.358,0.497,0.362,135,-1.9,21.4,1.5,4.3
26,Trea Turner,PHI,149,644,19,90,69,28,6.50%,18.10%,0.161,0.319,0.28,0.332,0.441,0.335,113,4.3,14.3,5,4.2
27,Jacob Wilson,ATH,141,609,15,72,70,6,5.90%,8.10%,0.144,0.307,0.301,0.348,0.445,0.344,119,-0.6,12.9,6.2,4.1
28,Zach Neto,LAA,154,665,29,92,77,30,6.90%,23.90%,0.204,0.295,0.252,0.32,0.456,0.333,113,2.1,12.1,5.1,4.1
29,Bryce Harper,PHI,154,665,30,92,96,10,12.50%,21.50%,0.222,0.312,0.273,0.368,0.495,0.368,136,-0.2,28.2,-11.2,4
30,Bo Bichette,,152,658,20,84,79,7,6.40%,16.00%,0.162,0.326,0.293,0.341,0.455,0.344,121,-0.2,16.1,0.6,4
31,Alex Bregman,,157,679,24,87,84,3,10.50%,13.80%,0.18,0.273,0.262,0.346,0.441,0.342,120,-1.8,14.1,1.7,4
32,Patrick Bailey,SFG,133,525,11,50,50,2,7.80%,26.00%,0.121,0.292,0.226,0.291,0.347,0.282,81,-1.1,-12.9,10.8,4
33,Wyatt Langford,TEX,149,644,26,90,79,22,12.00%,22.60%,0.197,0.298,0.254,0.349,0.451,0.346,125,1.3,19.9,-3.8,3.9
34,Nick Kurtz,ATH,143,616,39,97,89,5,12.20%,28.40%,0.275,0.306,0.258,0.353,0.534,0.376,141,-0.4,29,-12.1,3.9
35,Nico Hoerner,CHC,156,672,9,80,64,27,6.50%,9.60%,0.107,0.304,0.285,0.339,0.391,0.321,107,2.5,8.2,6.8,3.8
36,Maikel Garcia,KCR,154,665,14,87,66,28,8.50%,14.60%,0.139,0.307,0.275,0.338,0.414,0.329,108,2.3,8.5,6,3.8
37,Gabriel Moreno,ARI,113,450,11,53,55,4,9.70%,17.00%,0.147,0.319,0.28,0.354,0.427,0.34,117,-0.2,9.1,10.1,3.8
38,Jeremy Peña,HOU,151,651,19,86,70,18,5.90%,17.60%,0.157,0.307,0.272,0.326,0.429,0.327,110,1.3,9.3,5.1,3.8
39,Austin Wells,NYY,125,495,21,60,63,6,8.50%,24.30%,0.194,0.265,0.23,0.302,0.424,0.314,102,-0.3,1,8.5,3.7
40,Adley Rutschman,BAL,143,573,18,71,68,1,11.40%,15.50%,0.166,0.276,0.255,0.342,0.421,0.333,115,-1.4,9,5.7,3.7
41,Masyn Winn,STL,146,630,16,72,69,12,7.20%,17.10%,0.143,0.295,0.261,0.319,0.404,0.316,104,1.1,4.1,11.1,3.7
42,Matt Chapman,SFG,156,672,25,80,86,10,11.20%,24.70%,0.189,0.286,0.238,0.33,0.427,0.33,114,-0.7,10.4,3.3,3.7
43,Carlos Correa,HOU,131,567,18,69,73,1,9.10%,19.60%,0.164,0.308,0.268,0.338,0.432,0.334,115,-0.9,9.2,7.2,3.7
44,Manny Machado,SDP,151,651,29,82,93,10,8.10%,19.50%,0.197,0.295,0.268,0.329,0.465,0.34,122,-0.9,16.4,-2.1,3.7
