#,Name,Team,W,L,SV,G,GS,IP,K/9,BB/9,HR/9,BABIP,LOB%,GB%,ERA,FIP,WAR
1,Tarik Skubal,DET,14,9,0,32,32,199.2,10.92,1.96,0.92,0.289,77.20%,42.30%,2.81,2.79,5.9
2,Paul Skenes,PIT,13,9,0,32,32,194,11,2.39,0.81,0.298,75.90%,44.40%,2.92,2.77,5.7
3,Garrett Crochet,BOS,14,9,0,32,32,193,11.14,2.32,0.91,0.3,75.90%,45.60%,3.01,2.84,5.6
4,Cristopher Sánchez,PHI,13,9,0,32,32,198,8.74,2.27,0.8,0.303,74.80%,54.50%,3.16,3.21,4.7
5,Jacob deGrom,TEX,12,10,0,31,31,184.2,10.42,2.05,1.2,0.288,74.70%,37.90%,3.48,3.33,4.3
6,Cole Ragans,KCR,12,8,0,29,29,172,11.02,3.25,0.93,0.292,76.10%,39.90%,3.23,3.22,4.2
7,Chris Sale,ATL,12,7,0,28,28,168.2,10.97,2.36,0.97,0.297,75.00%,41.70%,3.19,3.03,4.2
8,Logan Webb,SFG,12,11,0,32,32,199.1,8.45,2.12,0.76,0.308,73.20%,54.70%,3.32,3.15,4.1
9,Sonny Gray,BOS,12,10,0,31,31,181.1,9.42,2.37,1.05,0.304,73.00%,45.10%,3.68,3.45,3.9
10,Dylan Cease,TOR,12,10,0,32,32,185,10.52,3.29,1.09,0.289,74.90%,38.20%,3.6,3.57,3.8
11,Framber Valdez,,12,10,0,31,31,190.1,8.44,2.96,0.76,0.31,73.30%,55.90%,3.47,3.47,3.7
12,Max Fried,NYY,13,9,0,31,31,189.1,8.5,2.59,0.9,0.299,75.00%,50.60%,3.34,3.52,3.6
13,Yoshinobu Yamamoto,LAD,11,8,0,28,28,161.1,9.46,2.74,0.97,0.299,74.50%,49.40%,3.43,3.45,3.6
14,Hunter Brown,HOU,12,10,0,31,31,184.1,9.77,2.98,1.02,0.3,73.60%,47.30%,3.63,3.55,3.6
15,Hunter Greene,CIN,11,11,0,31,31,183.2,10.78,3.01,1.38,0.286,74.10%,33.70%,3.94,3.9,3.6
16,Jesús Luzardo,PHI,12,10,0,31,31,181,9.89,2.83,1.16,0.29,75.40%,40.50%,3.57,3.65,3.5
17,Joe Ryan,MIN,11,10,0,31,31,182.1,9.84,2.18,1.31,0.289,73.30%,33.60%,3.83,3.71,3.4
18,Nathan Eovaldi,TEX,11,9,0,29,29,174.2,8.84,2.29,1.05,0.298,73.40%,46.00%,3.6,3.57,3.4
19,Bryan Woo,SEA,12,11,0,32,32,195,9.04,2.03,1.21,0.284,74.10%,39.50%,3.59,3.66,3.3
20,Blake Snell,LAD,11,8,0,28,28,163.2,11.01,3.94,1.04,0.291,75.80%,43.00%,3.52,3.58,3.3
21,Ranger Suárez,,11,9,0,29,29,168.2,8.23,2.55,0.95,0.299,73.90%,48.10%,3.55,3.62,3.3
22,Pablo López,MIN,11,10,0,31,31,182,8.96,2.32,1.14,0.3,72.70%,42.10%,3.81,3.69,3.2
23,Logan Gilbert,SEA,11,9,0,29,29,166.1,9.84,2.09,1.13,0.286,74.80%,39.90%,3.39,3.39,3.2
24,George Kirby,SEA,12,10,0,31,31,178.1,8.79,1.7,1.12,0.289,73.50%,42.40%,3.5,3.48,3.2
25,Kyle Bradish,BAL,10,8,0,28,28,158,9.49,2.81,1.08,0.301,73.80%,45.30%,3.7,3.65,3.1
26,Tyler Glasnow,LAD,10,8,0,26,26,147.2,10.47,3.3,1.06,0.295,74.30%,44.80%,3.59,3.52,3.1
27,Michael King,SDP,11,10,0,31,31,175.2,9.33,3.11,1.18,0.288,74.30%,40.20%,3.79,3.92,3.1
28,Zack Wheeler,PHI,9,6,0,21,21,125.2,10.38,2.25,1.04,0.289,75.60%,41.60%,3.2,3.21,3
29,José Soriano,LAA,11,11,0,31,31,177.1,8.36,3.83,0.76,0.31,73.60%,57.20%,3.66,3.79,3
30,Spencer Schwellenbach,ATL,11,8,0,28,28,166.2,8.78,2.07,1.09,0.301,73.20%,45.30%,3.65,3.55,3
31,Brandon Woodruff,MIL,10,9,0,28,28,159.2,9.48,2.45,1.31,0.286,73.70%,36.40%,3.84,3.86,3
32,Aaron Nola,PHI,11,10,0,31,31,180.2,8.76,2.3,1.32,0.294,73.20%,42.30%,3.99,3.96,3
33,Freddy Peralta,MIL,11,10,0,31,31,177.2,10.12,3.32,1.26,0.285,74.00%,36.60%,3.91,3.95,2.9
34,MacKenzie Gore,WSN,11,11,0,31,31,175.2,9.89,3.41,1.13,0.29,74.40%,39.40%,3.76,3.83,2.9
35,Shane McClanahan,TBR,9,8,0,24,24,142.1,9.72,2.63,1.13,0.299,75.00%,45.60%,3.56,3.57,2.9
36,Nick Pivetta,SDP,12,11,0,32,32,191,9.89,2.77,1.39,0.286,74.30%,33.80%,3.96,3.95,2.9
37,Drew Rasmussen,TBR,10,11,0,31,31,171,8.23,2.36,1.13,0.303,72.40%,46.70%,3.92,3.83,2.8
38,Kevin Gausman,TOR,11,11,0,31,31,185.1,8.76,2.65,1.25,0.293,72.70%,38.00%,4.05,3.95,2.8
39,Chase Burns,CIN,8,8,0,33,23,134,10.23,2.83,1.22,0.295,74.50%,41.00%,3.73,3.67,2.7
40,Spencer Strider,ATL,11,9,0,28,28,161,10.47,3.23,1.18,0.295,73.90%,37.20%,3.83,3.73,2.7
41,Eury Pérez,MIA,9,10,0,28,28,154,10.04,3.13,1.29,0.285,73.30%,32.40%,3.99,3.91,2.6
42,Jack Flaherty,DET,10,10,0,29,29,165.2,9.72,3.16,1.19,0.294,73.70%,39.80%,3.91,3.87,2.6
43,Shohei Ohtani,LAD,9,6,0,23,23,117,10.48,2.79,1.13,0.29,75.40%,41.30%,3.44,3.48,2.6
44,Yusei Kikuchi,LAA,10,11,0,31,31,177.2,9.2,3.18,1.34,0.295,73.80%,40.70%,4.1,4.17,2.5
45,Sandy Alcantara,MIA,10,12,0,31,31,186.2,7.65,2.7,1.07,0.304,70.90%,47.00%,4.15,4.01,2.5
46,Merrill Kelly,ARI,11,11,0,31,31,185,8.23,2.75,1.16,0.303,72.00%,42.20%,4.15,3.99,2.5
47,Kris Bubic,KCR,10,9,0,40,24,155.1,8.56,3.11,1.01,0.3,73.40%,45.00%,3.8,3.83,2.5
48,Shane Bieber,TOR,10,9,0,26,26,153,8.21,2.14,1.15,0.301,72.70%,45.90%,3.86,3.77,2.5
49,Nick Lodolo,CIN,9,10,0,28,28,154.1,9.19,2.5,1.3,0.3,72.30%,42.30%,4.07,4.04,2.4
50,Luis Castillo,SEA,11,11,0,31,31,181.1,8.52,2.53,1.24,0.286,73.60%,40.00%,3.86,3.98,2.4
51,Trevor Rogers,BAL,11,11,0,31,31,184.1,7.66,3.04,1.16,0.3,72.30%,43.50%,4.18,4.22,2.4
52,Matthew Boyd,CHC,11,11,0,31,31,183.1,8.09,2.71,1.26,0.285,73.80%,37.70%,3.93,4.18,2.4
53,David Peterson,NYM,12,10,0,31,31,182,7.94,3.47,0.92,0.299,74.50%,51.60%,3.67,3.98,2.3
54,Zac Gallen,,11,12,0,32,32,191.1,8.55,2.91,1.24,0.3,72.20%,42.20%,4.22,4.1,2.3
55,Tanner Bibee,CLE,10,11,0,31,31,182,8.46,2.75,1.26,0.292,72.80%,39.60%,4.08,4.13,2.3
56,Joe Musgrove,SDP,10,9,0,28,28,159,8.51,2.3,1.22,0.293,72.90%,42.00%,3.9,3.96,2.3
57,Cody Ponce,TOR,9,9,0,38,24,152.2,8.66,2.59,1.16,0.302,72.30%,44.10%,4.01,3.87,2.3
58,Mitch Keller,PIT,10,12,0,31,31,179.2,7.79,2.74,1.15,0.302,70.10%,42.80%,4.35,4.15,2.3
59,Brady Singer,CIN,10,11,0,31,31,175.2,8.4,2.87,1.36,0.302,71.80%,44.00%,4.4,4.35,2.3
60,Casey Mize,DET,10,10,0,29,29,162.1,7.94,2.49,1.21,0.295,72.10%,41.50%,4.09,4.04,2.3
61,Grayson Rodriguez,LAA,8,8,0,23,23,129,9.47,3.04,1.17,0.295,74.10%,42.40%,3.81,3.84,2.3
62,Carlos Rodón,NYY,10,9,0,28,28,161.2,9.71,3.27,1.29,0.287,73.60%,36.50%,4.03,4.06,2.2
63,Nolan McLean,NYM,10,9,0,28,28,163,8.51,3.49,0.94,0.295,73.50%,50.00%,3.74,3.93,2.2
64,Michael Wacha,KCR,10,11,0,29,29,170,7.15,2.64,1.27,0.294,71.00%,37.70%,4.39,4.36,2.2
65,Cade Cavalli,WSN,9,10,0,26,26,151.2,7.55,3.09,1,0.299,72.10%,49.90%,3.98,4.09,2.2
66,Shota Imanaga,CHC,10,10,0,29,29,171.1,8.17,1.96,1.55,0.284,74.20%,33.40%,4.12,4.3,2.2
67,Clay Holmes,NYM,11,10,0,31,31,175.2,7.5,3.62,0.84,0.303,72.40%,54.30%,3.91,4.07,2.1
68,Reese Olson,DET,8,9,0,32,24,141.1,8.37,2.99,1.03,0.299,72.30%,44.90%,3.94,3.88,2.1
69,Trey Yesavage,TOR,9,8,0,34,24,146.2,9.91,3.66,1.11,0.291,74.10%,41.40%,3.81,3.86,2.1
70,Chris Bassitt,,10,10,0,29,29,164,8.14,3.11,1.13,0.297,71.80%,43.80%,4.15,4.18,2.1
71,Ryan Pepiot,TBR,10,11,0,31,31,174.2,9.23,3.23,1.41,0.291,73.40%,37.20%,4.26,4.33,2.1
72,Foster Griffin,WSN,8,9,0,37,23,143.1,7.74,2.62,1.08,0.3,72.60%,46.20%,3.92,3.98,2.1
73,Zach Eflin,,10,10,0,29,29,164,7.03,1.76,1.32,0.297,71.70%,42.60%,4.16,4.16,2
74,Andrew Abbott,CIN,9,11,0,29,29,167.2,8.31,2.9,1.59,0.289,72.60%,33.10%,4.58,4.63,2
75,Edward Cabrera,MIA,8,9,0,26,26,142.1,9.46,3.64,1.05,0.3,72.00%,45.50%,4.03,3.91,2
76,Gavin Williams,CLE,10,11,0,31,31,177.1,9.16,3.88,1.15,0.295,73.50%,42.10%,4.07,4.16,2
77,Brayan Bello,BOS,9,11,0,29,29,168,7.5,3.16,1.06,0.311,70.40%,49.70%,4.39,4.21,2
78,Shane Baz,BAL,10,10,0,29,29,168.1,8.83,3.28,1.28,0.298,72.30%,42.20%,4.27,4.25,2
79,Seth Lugo,KCR,9,10,0,28,28,161.1,7.72,2.94,1.22,0.301,71.30%,41.30%,4.38,4.29,1.9
80,Reid Detmers,LAA,8,9,0,34,24,148.2,9.5,3.45,1.23,0.293,73.50%,39.60%,4.04,4.09,1.9
81,Emmet Sheehan,LAD,8,6,0,40,18,120,10.21,3.12,1.32,0.285,74.60%,35.90%,3.88,3.94,1.9
82,Braxton Garrett,MIA,7,7,0,40,18,121.2,8.03,2.21,1.02,0.302,72.30%,47.40%,3.76,3.73,1.9
83,Gerrit Cole,NYY,8,7,0,23,23,131,9.16,2.64,1.35,0.287,73.50%,38.00%,4,4.04,1.9
84,Brandon Pfaadt,ARI,10,11,0,31,31,175.2,7.8,2.15,1.28,0.305,70.60%,41.20%,4.33,4.09,1.9
85,Luis Severino,ATH,10,11,0,31,31,182.1,7.34,2.89,1.32,0.297,70.90%,42.30%,4.51,4.55,1.9
86,Quinn Priester,MIL,10,11,0,29,29,169,7.33,3.1,1.07,0.303,71.90%,51.00%,4.14,4.2,1.9
87,Jeffrey Springs,ATH,10,11,0,31,31,175.1,7.7,2.87,1.51,0.291,71.70%,35.70%,4.63,4.65,1.9
88,Bubba Chandler,PIT,9,11,0,38,26,162.1,8.22,3.52,1.15,0.296,71.60%,41.50%,4.3,4.29,1.9
