#,Name,Team,G,PA,HR,R,RBI,SB,BB%,K%,ISO,BABIP,AVG,OBP,SLG,wOBA,wRC+,BsR,Off,Def,WAR
1,Aaron Judge,NYY,141,635,43,110,104,9,17.70%,24.50%,0.303,0.325,0.285,0.417,0.588,0.415,172,-1.7,51.9,-7.1,6.8
2,Bobby Witt Jr.,KCR,140,634,26,97,86,31,7.40%,16.70%,0.219,0.316,0.292,0.349,0.511,0.364,133,3.3,27.6,13,6.4
3,Cal Raleigh,SEA,138,615,38,88,90,8,12.40%,26.70%,0.257,0.254,0.23,0.331,0.487,0.345,129,-1.9,19.1,7.4,5.9
4,Gunnar Henderson,BAL,141,626,26,89,87,21,10.60%,20.20%,0.214,0.31,0.274,0.356,0.488,0.362,135,2.3,28.1,5.4,5.6
5,Julio Rodríguez,SEA,139,618,30,85,91,23,7.20%,21.70%,0.216,0.31,0.275,0.334,0.49,0.352,133,1.6,25.8,7.6,5.6
6,Juan Soto,NYM,140,626,35,101,94,20,18.90%,17.80%,0.26,0.285,0.274,0.413,0.534,0.403,165,-0.6,47.6,-14,5.6
7,Ronald Acuña Jr.,ATL,147,676,31,110,85,24,13.40%,20.00%,0.218,0.323,0.286,0.388,0.503,0.383,148,2.5,40.7,-11.7,5.3
8,Shohei Ohtani,LAD,142,658,43,118,98,22,13.90%,24.40%,0.3,0.308,0.275,0.38,0.576,0.397,158,1,46.1,-16.6,5.3
9,Fernando Tatis Jr.,SDP,134,618,30,97,78,24,10.90%,19.30%,0.228,0.3,0.275,0.36,0.503,0.369,142,2.2,32.9,-3.7,5.1
10,Francisco Lindor,NYM,139,644,26,94,73,23,9.00%,18.30%,0.193,0.283,0.259,0.337,0.452,0.342,123,0.8,18.3,8.1,4.9
11,Vladimir Guerrero Jr.,TOR,143,637,32,94,99,5,11.60%,13.60%,0.234,0.304,0.299,0.385,0.533,0.389,153,-1.4,38.5,-13.4,4.8
12,Elly De La Cruz,CIN,140,617,23,83,82,38,10.20%,25.00%,0.202,0.324,0.264,0.342,0.466,0.345,117,4.2,16.7,8,4.6
13,Yordan Alvarez,HOU,122,551,30,90,84,4,12.70%,17.00%,0.258,0.316,0.3,0.397,0.558,0.401,161,-1.6,38.3,-12.3,4.6
14,Corbin Carroll,ARI,137,611,27,91,86,33,10.80%,20.60%,0.238,0.292,0.261,0.349,0.499,0.362,132,5,28.6,-4.1,4.6
15,Ketel Marte,ARI,133,601,26,90,79,6,10.90%,16.30%,0.215,0.299,0.28,0.365,0.495,0.368,136,-0.7,25.3,-1.3,4.5
16,Mookie Betts,LAD,125,566,21,84,71,8,10.80%,11.80%,0.193,0.278,0.273,0.355,0.467,0.355,129,-0.6,18.9,4.5,4.3
17,José Ramírez,CLE,136,604,27,83,87,30,9.70%,12.00%,0.215,0.274,0.275,0.348,0.49,0.351,127,1.9,21.4,-0.1,4.3
18,William Contreras,MIL,132,586,20,74,74,6,11.80%,18.80%,0.175,0.306,0.27,0.359,0.445,0.349,125,-1.3,16.2,5.4,4.3
19,Junior Caminero,TBR,119,522,34,74,91,5,6.80%,18.80%,0.262,0.283,0.278,0.33,0.54,0.368,137,-0.5,22.5,1,4.2
20,Alejandro Kirk,TOR,107,446,14,54,56,1,10.30%,12.30%,0.159,0.288,0.276,0.354,0.435,0.344,122,-2.3,9.2,6.4,4.2
21,Jackson Merrill,SDP,134,586,23,76,77,7,6.70%,19.20%,0.197,0.301,0.269,0.322,0.466,0.338,121,0.9,15.2,5.6,4.1
22,Trea Turner,PHI,132,609,18,85,65,26,6.50%,18.10%,0.161,0.319,0.28,0.332,0.441,0.335,113,3.9,13.4,4.9,3.9
23,Geraldo Perdomo,ARI,126,562,12,77,55,19,12.10%,13.10%,0.142,0.295,0.27,0.365,0.412,0.343,119,0.9,13.9,5.8,3.9
24,Corey Seager,TEX,114,508,25,71,74,2,10.80%,18.20%,0.222,0.295,0.275,0.358,0.497,0.362,135,-1.7,19.5,1.3,3.9
25,Alex Bregman,,143,636,23,82,79,3,10.50%,13.80%,0.18,0.273,0.262,0.346,0.441,0.342,120,-1.7,13.2,1.8,3.7
26,Zach Neto,LAA,133,599,26,83,70,27,6.90%,23.90%,0.204,0.295,0.252,0.32,0.456,0.333,113,1.8,10.8,4.9,3.7
27,Masyn Winn,STL,145,621,16,71,68,12,7.20%,17.10%,0.143,0.295,0.261,0.319,0.404,0.316,104,1.1,4,11.6,3.7
28,Kyle Tucker,,125,560,24,83,74,18,13.60%,15.20%,0.215,0.278,0.268,0.371,0.483,0.366,136,1,25.1,-8.1,3.7
29,Bo Bichette,,131,587,17,75,70,6,6.40%,16.00%,0.162,0.326,0.293,0.341,0.455,0.344,121,-0.2,14.3,1,3.6
30,Maikel Garcia,KCR,138,620,13,81,61,26,8.50%,14.60%,0.139,0.307,0.275,0.338,0.414,0.329,108,2.1,7.9,5.5,3.6
31,Bryce Harper,PHI,135,598,27,83,87,9,12.50%,21.50%,0.222,0.312,0.273,0.368,0.495,0.368,136,-0.2,25.4,-10.7,3.5
32,Nico Hoerner,CHC,142,619,9,74,59,25,6.50%,9.60%,0.107,0.304,0.285,0.339,0.391,0.321,107,2.3,7.6,6.4,3.5
33,Pete Crow-Armstrong,CHC,121,500,21,62,68,27,5.50%,23.50%,0.2,0.292,0.252,0.301,0.452,0.322,108,2.4,7.1,10.7,3.5
34,Jeremy Peña,HOU,133,600,18,79,64,16,5.90%,17.60%,0.157,0.307,0.272,0.326,0.429,0.327,110,1.2,8.5,5,3.5
35,Adley Rutschman,BAL,126,539,17,67,64,1,11.40%,15.50%,0.166,0.276,0.255,0.342,0.421,0.333,115,-1.3,8.5,5.1,3.5
36,Gabriel Moreno,ARI,96,405,10,48,50,4,9.70%,17.00%,0.147,0.319,0.28,0.354,0.427,0.34,117,-0.2,8.2,9.1,3.4
37,Wyatt Langford,TEX,126,559,22,78,69,19,12.00%,22.60%,0.197,0.298,0.254,0.349,0.451,0.346,125,1.2,17.3,-3.5,3.4
38,Willy Adames,SFG,140,623,24,78,73,11,10.90%,24.60%,0.185,0.278,0.233,0.321,0.418,0.321,108,-0.2,5.9,6.3,3.4
39,Patrick Bailey,SFG,111,433,9,42,41,2,7.80%,26.00%,0.121,0.292,0.226,0.291,0.347,0.282,81,-0.9,-10.7,9.7,3.4
40,Manny Machado,SDP,135,595,26,75,85,9,8.10%,19.50%,0.197,0.295,0.268,0.329,0.465,0.34,122,-0.8,15,-2.2,3.3
41,Matt Chapman,SFG,138,593,22,71,76,9,11.20%,24.70%,0.189,0.286,0.238,0.33,0.427,0.33,114,-0.6,9.2,3.1,3.3
42,Jacob Wilson,ATH,113,472,11,56,55,5,5.90%,8.10%,0.144,0.307,0.301,0.348,0.445,0.344,119,-0.4,10,5.4,3.2
43,Matt Olson,ATL,147,654,31,94,91,1,11.90%,24.10%,0.222,0.299,0.256,0.349,0.478,0.355,129,-2.1,20.1,-10.5,3.2
44,Jordan Westburg,BAL,123,550,23,74,72,5,6.60%,21.50%,0.201,0.301,0.264,0.321,0.466,0.338,119,-0.3,11.9,0.5,3.2
